"hh","wgt_X","HHID","region","urban","district_code","district_name","scounty_code","subcounty_name","parish_code","parish_name","h1aq5","ea","HHID_old","rotate","wgt","wave","a1bq6","a1bq7","a1bq8","day_v1","month_v1","year_v1","day_v2","month_v2","year_v2","nonresp"
"H00101-04-01",2792.466796875,1010401,1,0,"101","Kalangala",101204,"Mazinga",10120402,"Butulume",,1,1013000201,1,2792.466796875,4,1,3,,,,,,,,1
"H00102-04-01",2792.466796875,1020401,1,0,"111","Ssembabule",111203,"Mateete",11120306,"Nakagongo",,1,1013000202,1,2792.466796875,4,1,,,"15","10","2014","15","10","2014",1
"H00104-04-01",2792.466796875,1040401,1,1,"101","Kalangala",101204,"Mazinga",10120402,"Butulume",,1,1013000204,1,2792.466796875,4,1,1,,"09","12","2013",,,,1
"H00110-04-01",2792.466796875,1100401,1,0,"101","Kalangala",101204,"Mazinga",10120402,"Butulume",,1,1013000210,1,2792.466796875,4,1,1,,"09","12","2013","28","06","2014",1
"H00801-04-01",1874.79821777344,8010401,1,1,"102","Kampala",102102,"Kawempe Division",10210208,"Kikaaya",,8,1021000701,1,1874.79821777344,4,1,,,,,,,,,1
"H01607-04-01",1874.79821777344,16070401,1,1,"102","Kampala",102104,"Makindye Division",10210411,"Kisugu",,16,1021001507,1,1874.79821777344,4,,,,,,,,,,1
"H02110-04-01",1874.79821777344,21100401,1,1,"102","Kampala",102105,"Nakawa Division",10210503,"Bukoto I",,21,1021002010,1,1874.79821777344,4,1,,,"16","10","2013",,,,1
"H02113-04-01",1874.79821777344,21130401,1,1,"102","Kampala",102105,"Nakawa Division",10210503,"Bukoto I",,21,1021002013,1,1874.79821777344,4,1,3,1,"20","10","2013","02","10","2014",2
"H02207-04-01",1874.79821777344,22070401,1,1,"102","Kampala",102105,"Nakawa Division",10210504,"Bukoto Ii",,22,1021002107,1,1874.79821777344,4,1,1,,,,,,,,1
"H02310-04-01",1874.79821777344,23100401,1,1,"102","Kampala",102105,"Nakawa Division",10210510,"Kyanja",,23,1021002210,1,1874.79821777344,4,1,1,,"05","12","2013","27","06","2014",1
"H02710-04-01",1874.79821777344,27100401,1,1,"102","Kampala",102103,"Lubaga Division",10210301,"Busega",,27,1021002610,1,1874.79821777344,4,3,3,1,,,,,,,1
"H02711-04-01",624.932739257813,27110401,1,1,"102","Kampala",102103,"Lubaga Division",10210301,"Busega",,27,1021002611,1,624.932739257813,4,1,1,,"16","10","2013","22","04","2014",1
"H03005-04-01",1874.79821777344,30050401,1,1,"102","Kampala",102103,"Lubaga Division",10210305,"Lubya",,30,1021002905,1,1874.79821777344,4,,,,,,,,,,1
"H03408-04-01",1874.79821777344,34080401,1,0,"113","Wakiso",113104,"Kasanje",11310406,"Ssazi",,34,1021003308,1,1874.79821777344,4,1,,,"19","10","2014","19","10","2014",1
"H03601-04-01",2551.70141601563,36010401,1,0,"103","Kiboga",103106,"Kiboga Town Council",10310602,"Buzibweera Ward",,36,1033000301,1,2551.70141601563,4,1,1,,"27","09","2013","16","03","2014",1
"H03602-04-04",2551.70141601563,36020404,1,0,"103","Kiboga",103106,"Kiboga Town Council",10310602,"Buzibweera Ward",,36,,0,2551.70141601563,4,1,1,,"27","09","2013","16","03","2014",1
"H03603-04-05",2551.70141601563,36030405,1,0,"103","Kiboga",103106,"Kiboga Town Council",10310602,"Buzibweera Ward",,36,,0,2551.70141601563,4,1,1,,"29","09","2013","17","03","2014",1
"H03604-04-04",850.567138671875,36040404,1,0,"103","Kiboga",103107,"Lwamata",10310702,"Kasejjere",,36,2103300030402,1,850.567138671875,4,1,1,,"28","09","2013","17","03","2014",1
"H03604-04-08",850.567138671875,36040408,1,0,"103","Kiboga",103107,"Lwamata",10310702,"Kasejjere",,36,,0,850.567138671875,4,1,1,,"27","09","2013","17","03","2014",1
"H03604-04-09",850.567138671875,36040409,1,0,"103","Kiboga",103107,"Lwamata",10310702,"Kasejjere",,36,,0,850.567138671875,4,1,,,"18","03","2014","18","03","2014",1
