"HHID","A10itemcod","Farm_Implement","A10Q1_other","a10q1","a10q2","a10q3","a10q4","a10q5","a10q6","a10q7","a10q8","hh","wgt_X"
1010401,1,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,2,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,3,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,4,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,5,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,6,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,7,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,8,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,9,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,10,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,11,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,12,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,13,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,14,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,15,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,16,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,17,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,18,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,19,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,20,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,21,2,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,22,2,,,,,,,,,,"H00101-04-01",2792.466796875
1020401,1,1,,2,15000,1,1,,2,,,"H00102-04-01",2792.466796875
1020401,2,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,3,1,,1,4000,1,1,,2,,,"H00102-04-01",2792.466796875
1020401,4,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,5,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,6,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,7,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,8,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,9,2,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,10,2,,,,,,,,,,"H00102-04-01",2792.466796875
