"HHID","AGroup_ID","a11q1a","a11q1b","a11q1c","a11q2","a11q3","a11q4","a11q5","hh","wgt_X"
1010401,106,6,6,,2,2,2,,"H00101-04-01",2792.466796875
1010401,107,6,6,,,,,,"H00101-04-01",2792.466796875
1020401,106,6,6,,2,2,2,,"H00102-04-01",2792.466796875
1040401,107,6,6,,,,,,"H00104-04-01",2792.466796875
1100401,102,6,6,,2,2,2,,"H00110-04-01",2792.466796875
1100401,107,6,6,,,,,,"H00110-04-01",2792.466796875
1100401,108,6,6,,,,,,"H00110-04-01",2792.466796875
8010401,107,6,6,,,,,,"H00801-04-01",1874.79821777344
16070401,107,6,6,,,,,,"H01607-04-01",1874.79821777344
21100401,103,6,6,,,,,,"H02110-04-01",1874.79821777344
22070401,107,1,6,,,,,,"H02207-04-01",1874.79821777344
23100401,104,1,1,,,,,,"H02310-04-01",1874.79821777344
23100401,106,1,1,,2,2,2,,"H02310-04-01",1874.79821777344
27110401,101,1,6,,2,2,2,,"H02711-04-01",624.932739257813
27110401,106,1,6,,2,2,2,,"H02711-04-01",624.932739257813
30050401,104,6,6,,,,,,"H03005-04-01",1874.79821777344
34080401,106,6,6,,2,2,2,,"H03408-04-01",1874.79821777344
34080401,107,6,6,,,,,,"H03408-04-01",1874.79821777344
36010401,107,6,6,,,,,,"H03601-04-01",2551.70141601563
36020404,106,6,6,,2,2,2,,"H03602-04-04",2551.70141601563
36020404,108,6,6,,,,,,"H03602-04-04",2551.70141601563
36030405,106,1,6,,2,2,2,,"H03603-04-05",2551.70141601563
36040409,105,6,6,,2,2,2,,"H03604-04-09",850.567138671875
36040409,106,6,6,,2,2,2,,"H03604-04-09",850.567138671875
36040409,107,6,6,,,,,,"H03604-04-09",850.567138671875
36050402,107,6,6,,,,,,"H03605-04-02",2551.70141601563
36050402,108,6,6,,,,,,"H03605-04-02",2551.70141601563
36070401,107,6,6,,,,,,"H03607-04-01",2551.70141601563
36070401,108,6,6,,,,,,"H03607-04-01",2551.70141601563
36080401,107,6,6,,,,,,"H03608-04-01",2551.70141601563
36080401,108,6,6,,,,,,"H03608-04-01",2551.70141601563
37040401,107,6,6,,,,,,"H03704-04-01",2551.70141601563
37050401,105,1,1,,2,2,2,,"H03705-04-01",2551.70141601563
37050401,107,1,1,,,,,,"H03705-04-01",2551.70141601563
37050401,108,1,1,,,,,,"H03705-04-01",2551.70141601563
37060401,105,6,6,,2,2,2,,"H03706-04-01",2551.70141601563
37060401,107,6,6,,,,,,"H03706-04-01",2551.70141601563
37070401,106,6,6,,2,2,2,,"H03707-04-01",1275.85070800781
37070401,107,6,6,,,,,,"H03707-04-01",1275.85070800781
37070401,108,6,6,,,,,,"H03707-04-01",1275.85070800781
37090401,107,6,6,,,,,,"H03709-04-01",2551.70141601563
38090401,106,6,6,,2,2,2,,"H03809-04-01",2551.70141601563
39020401,107,6,6,,,,,,"H03902-04-01",2551.70141601563
39030401,106,6,6,,2,2,2,,"H03903-04-01",2551.70141601563
39030401,107,6,6,,,,,,"H03903-04-01",2551.70141601563
39070401,107,1,6,,,,,,"H03907-04-01",2551.70141601563
39090401,105,1,5,25000,2,2,2,,"H03909-04-01",1275.85070800781
39090401,106,1,1,,2,2,2,,"H03909-04-01",1275.85070800781
39090401,107,6,6,,,,,,"H03909-04-01",1275.85070800781
39090402,105,1,1,,2,2,2,,"H03909-04-02",1275.85070800781
39090402,106,6,6,,2,2,2,,"H03909-04-02",1275.85070800781
39100401,101,1,6,,2,2,2,,"H03910-04-01",2551.70141601563
39100401,106,1,6,,2,2,2,,"H03910-04-01",2551.70141601563
39100401,107,1,6,,,,,,"H03910-04-01",2551.70141601563
40010401,107,1,6,,,,,,"H04001-04-01",2551.70141601563
40020401,105,6,6,,2,2,2,,"H04002-04-01",2551.70141601563
40020401,106,6,6,,2,2,2,,"H04002-04-01",2551.70141601563
40030401,106,6,6,,2,2,2,,"H04003-04-01",850.567138671875
40030401,107,6,6,,,,,,"H04003-04-01",850.567138671875
40040401,106,6,6,,2,2,2,,"H04004-04-01",2551.70141601563
40040401,107,6,6,,,,,,"H04004-04-01",2551.70141601563
40050401,106,6,6,,2,2,2,,"H04005-04-01",2551.70141601563
40050401,107,6,6,,,,,,"H04005-04-01",2551.70141601563
40070401,106,6,6,,2,2,2,,"H04007-04-01",2551.70141601563
40070401,108,6,6,,,,,,"H04007-04-01",2551.70141601563
40100401,106,1,6,,2,2,2,,"H04010-04-01",1275.85070800781
40100401,107,1,6,,,,,,"H04010-04-01",1275.85070800781
40100401,108,1,6,,,,,,"H04010-04-01",1275.85070800781
40110401,107,6,6,,,,,,"H04011-04-01",1275.85070800781
42010401,101,1,6,,2,2,2,,"H04201-04-01",2551.70141601563
42010401,106,1,6,,2,2,2,,"H04201-04-01",2551.70141601563
42010401,107,6,6,,,,,,"H04201-04-01",2551.70141601563
42020401,108,6,1,,,,,,"H04202-04-01",2551.70141601563
42030401,105,1,6,,2,2,2,,"H04203-04-01",2551.70141601563
42030401,107,6,6,,,,,,"H04203-04-01",2551.70141601563
42030401,108,1,6,,,,,,"H04203-04-01",2551.70141601563
42040401,105,1,6,,2,2,2,,"H04204-04-01",2551.70141601563
42040401,106,1,6,,2,2,2,,"H04204-04-01",2551.70141601563
42040401,107,6,6,,,,,,"H04204-04-01",2551.70141601563
42040401,108,1,6,,,,,,"H04204-04-01",2551.70141601563
42050401,105,6,6,,2,2,2,,"H04205-04-01",2551.70141601563
42050401,106,6,6,,2,2,2,,"H04205-04-01",2551.70141601563
42060401,105,1,1,,2,2,2,,"H04206-04-01",2551.70141601563
42060401,107,1,1,,,,,,"H04206-04-01",2551.70141601563
42070401,106,6,6,,2,2,2,,"H04207-04-01",2551.70141601563
42080402,107,6,6,,,,,,"H04208-04-02",1275.85070800781
42080402,108,6,6,,,,,,"H04208-04-02",1275.85070800781
42090401,105,6,6,,2,2,2,,"H04209-04-01",2551.70141601563
42090401,107,6,6,,,,,,"H04209-04-01",2551.70141601563
42100401,107,6,6,,,,,,"H04210-04-01",2551.70141601563
45080403,105,5,6,60000,2,2,2,,"H04508-04-03",698.11669921875
45090401,105,1,1,,2,2,2,,"H04509-04-01",2792.466796875
45090401,106,1,1,,2,2,2,,"H04509-04-01",2792.466796875
45090401,107,1,1,,,,,,"H04509-04-01",2792.466796875
46020401,108,6,6,,,,,,"H04602-04-01",2792.466796875
46030401,105,1,6,,2,2,2,,"H04603-04-01",2792.466796875
46030401,107,6,6,,,,,,"H04603-04-01",2792.466796875
46030401,108,6,6,,,,,,"H04603-04-01",2792.466796875
46040401,107,6,6,,,,,,"H04604-04-01",2792.466796875
46060402,105,1,6,,2,2,2,,"H04606-04-02",1396.2333984375
46060402,108,1,6,,,,,,"H04606-04-02",1396.2333984375
46070401,102,6,6,,2,2,2,,"H04607-04-01",2792.466796875
46070401,107,6,6,,,,,,"H04607-04-01",2792.466796875
46080401,106,6,6,,2,2,2,,"H04608-04-01",2792.466796875
46080401,107,6,6,,,,,,"H04608-04-01",2792.466796875
46090401,106,6,6,,2,2,2,,"H04609-04-01",2792.466796875
46090401,107,6,6,,,,,,"H04609-04-01",2792.466796875
46100401,101,1,6,,2,2,2,,"H04610-04-01",930.822265625
46100401,108,6,6,,,,,,"H04610-04-01",930.822265625
46100402,108,6,6,,,,,,"H04610-04-02",930.822265625
