"HHID","parcelID","a2aq1owned","a2aq4","a2aq5","a2aq5_1","a2aq5_2","a2aq5_2_1","a2aq6","a2aq7","a2aq8","a2aq9","a2aq10","a2aq11a","a2aq11b","a2aq12","a2aq13a","a2aq13b","a2aq14","a2aq15a","a2aq15b","a2aq16","a2aq17","a2aq18","a2aq19","a2aq20","a2aq21","a2aq22a","a2aq22b","a2aq23","a2aq24a","a2aq24b","a2aq25","a2aq26a","a2aq26b","a2aq27a","a2aq27b","hh","wgt_X"
1100401,1,1,0.180000007152557,0.25,110001,1,,1,3,4,999,1,2,2,9999,,,,100,100,2,2,2,3,2,,,,4,110001,99999999,2,,,110004,99999999,"H00110-04-01",2792.466796875
21100401,1,1,,3,2110002,2,1,5,4,2,999,1,1,96,2010,0,3,,100,,1,2,2,3,2,,,,4,2110001,,2,,,2110001,,"H02110-04-01",1874.79821777344
21130401,1,1,,2,2113001,2,1,5,1,1,1998,1,1,1,9999,,,,100,100,3,1,2,2,2,,,,3,,,2,2113001,99999999,2113001,99999999,"H02113-04-01",1874.79821777344
23100401,1,1,,4.5,2310002,2,1,3,4,1,2010,1,1,1,9999,,,,60,60,1,1,2,2,2,,,,1,,,2,2310001,2310002,2310001,2310002,"H02310-04-01",1874.79821777344
27110401,1,1,0.200000002980232,0.400000005960464,2711001,1,,1,3,1,1978,1,1,2,9999,,,,100,100,1,1,2,2,2,,,,1,,,2,2711001,99999999,2711001,99999999,"H02711-04-01",624.932739257813
36010401,1,1,,4,3601001,2,2,1,4,2,1987,1,1,1,9999,,,,80,80,1,2,2,3,2,,,,4,3601001,99999999,2,,,3601001,99999999,"H03601-04-01",2551.70141601563
36030405,1,1,2.41000008583069,2,3603001,1,,1,1,1,2002,1,2,2,9999,,,,90,90,3,1,2,3,2,,,,3,,,2,3603001,3603002,3603001,3603002,"H03603-04-05",2551.70141601563
36040404,1,1,4,7,3604001,1,,1,1,1,999,1,1,1,2012,3,3,,60,70,1,1,2,3,2,,,,3,,,2,3604001,99999999,3604001,99999999,"H03604-04-04",850.567138671875
36040408,2,1,,1,3604023,2,2,1,3,1,2004,1,2,2,9999,,,,100,100,1,2,2,3,2,,,,4,3604022,3604023,2,,,3604022,3604023,"H03604-04-08",850.567138671875
36040409,1,1,,0.5,3604032,2,4,1,1,1,2003,1,1,1,9999,,,,100,100,3,3,2,3,2,,,,4,3604031,3604032,2,,,3604031,3604032,"H03604-04-09",850.567138671875
