"HHID","parcelID","a2bq1owned","Parcel_Resp","a2bq4","a2bq5","a2bq5_2_1","a2bq5_2","a2bq6","a2bq7","a2bq8","a2bq9","a2bq10","a2bq11","a2bq12a","a2bq12b","a2bq12a1","a2bq12b1","a2bq13","a2bq14","a2bq15","a2bq16","a2bq17","a2bq18","a2bq19","a2bq20a","a2bq20b","a2bq21a","a2bq21b","A2BQ12B_plots","A2BQ12A_plots","hh","wgt_X"
1020401,1,2,102001,,1.5,2,2,2,1,1,100000,2,1,2,2,,,,2,1,2,3,2,,,,102001,99999999,4,3,"H00102-04-01",2792.466796875
1040401,1,2,104001,,0.25,4,2,4,6,2,,2,1,1,96,,,,3,1,2,3,2,,,,104001,104002,,2,"H00104-04-01",2792.466796875
21130401,2,2,2113001,,2,1,2,5,1,2,,2,1,1,1,,,,3,1,2,3,2,,,,2113001,,2,2,"H02113-04-01",1874.79821777344
34080401,1,2,3408001,,1,2,2,1,2,2,,3,2,1,1,,,,3,1,2,3,2,,,,3408001,99999999,2,2,"H03408-04-01",1874.79821777344
36020404,1,2,3602001,2.5699999332428,3,,1,1,1,2,,11,1,1,1,,,,1,1,2,3,2,,,,3602001,,4,4,"H03602-04-04",2551.70141601563
36020404,2,2,3602010,,1.5,1,2,4,6,1,100000,1,1,1,1,,,,1,1,2,3,2,,,,3602011,,2,2,"H03602-04-04",2551.70141601563
36040408,1,2,3604023,,1,1,2,4,6,2,,1,1,1,1,,,,1,1,2,3,2,,,,3604022,3604023,4,2,"H03604-04-08",850.567138671875
36040409,2,2,3604032,,1,1,2,4,6,2,,3,2,1,1,,,,3,1,2,3,2,,,,3604032,3604031,1,2,"H03604-04-09",850.567138671875
36050402,3,2,3605007,,1,1,2,4,1,1,200000,1,2,1,1,,,,3,1,2,4,2,,,,3605007,3605002,1,1,"H03605-04-02",2551.70141601563
36080401,1,2,3608001,,1,1,2,4,6,2,,3,1,1,1,,,,3,1,2,1,2,,,,3608001,,1,2,"H03608-04-01",2551.70141601563
36080401,2,2,3608001,,1.25,1,2,4,6,2,,1,1,96,1,,,,3,1,2,1,2,,,,3608001,,2,,"H03608-04-01",2551.70141601563
37110403,1,2,3711002,,1,1,2,3,1,2,,0,2,96,2,,,,3,1,2,2,2,,,,3711002,3711001,1,,"H03711-04-03",637.925354003906
38090401,1,2,3809010,,1,1,2,4,1,1,50000,5,1,1,1,,,,3,1,3,5,1,2,6,6,3809010,3809002,4,4,"H03809-04-01",2551.70141601563
38100401,2,2,3810010,,1,1,2,3,6,1,0,0,1,96,1,,,,2,1,2,3,2,,,,3810001,99999999,1,,"H03810-04-01",2551.70141601563
39030401,1,2,3903003,,2,2,2,1,4,2,,12,1,1,1,,,,3,1,2,2,2,,,,3903003,3903001,3,3,"H03903-04-01",2551.70141601563
39030401,2,2,3903003,,0.25,1,2,3,1,2,,2,2,5,1,1,,,2,2,2,3,2,,,,3903003,,1,,"H03903-04-01",2551.70141601563
39080401,1,2,3908002,,0.200000002980232,1,2,3,1,2,,2,1,1,1,,,,2,1,2,2,2,,,,3908002,3908001,2,2,"H03908-04-01",2551.70141601563
39100401,2,2,3910001,,3,1,2,3,1,2,,10,2,1,1,,,,2,1,2,3,2,,8,,3910001,3910002,1,1,"H03910-04-01",2551.70141601563
40010401,1,2,4001002,1.03999996185303,1,,1,1,3,2,,4,2,1,1,,,,1,1,1,3,1,2,1,6,4001001,4001002,1,1,"H04001-04-01",2551.70141601563
40020401,1,2,4002002,,0.5,2,2,2,3,1,0,3,2,1,1,,,,2,1,2,2,2,,,,4002001,4002002,2,2,"H04002-04-01",2551.70141601563
40020401,2,2,4002002,,0.75,2,2,1,3,1,0,3,2,2,2,,,,3,1,2,2,2,,,,4002001,4002002,2,2,"H04002-04-01",2551.70141601563
40020401,3,2,4002002,,0.25,2,2,2,3,1,0,0,2,5,1,1,,,3,2,2,2,2,,,,4002001,4002002,1,,"H04002-04-01",2551.70141601563
40040401,2,2,4004001,,1,1,2,2,1,2,,2,1,1,1,,,,1,2,2,2,2,,,,4004001,,1,2,"H04004-04-01",2551.70141601563
40040401,3,2,4004001,,0.25,1,2,2,1,2,,3,1,1,1,,,,1,3,2,2,2,,,,4004001,,1,1,"H04004-04-01",2551.70141601563
40050401,2,2,4005001,,0.25,1,2,3,1,2,,2,2,1,1,,,,1,2,2,2,2,,,,4005001,,1,1,"H04005-04-01",2551.70141601563
42010401,2,2,4201001,,0.5,2,2,2,1,1,0,3,2,1,1,,,,2,1,2,3,1,2,8,,4201001,,2,2,"H04201-04-01",2551.70141601563
42020401,1,2,4202002,,0.25,1,2,3,1,2,,2,1,1,1,,,,3,1,2,3,2,,,,4202002,4202001,2,3,"H04202-04-01",2551.70141601563
42030401,2,2,4203002,,1,3,2,3,1,2,,3,1,1,1,,,,1,1,2,3,2,,,,4203001,,1,3,"H04203-04-01",2551.70141601563
42030401,3,2,4203002,,1.5,1,2,4,1,2,,3,1,1,1,,,,3,1,2,5,1,2,6,8,4203001,,3,1,"H04203-04-01",2551.70141601563
42030401,4,2,4203002,,1,1,2,4,1,2,,2,1,1,1,,,,1,1,2,3,2,,,,4203001,4203002,2,1,"H04203-04-01",2551.70141601563
42040401,2,2,4204001,,0.5,2,2,2,1,2,,4,2,1,1,,,,3,1,2,2,2,,,,4204001,4204002,1,1,"H04204-04-01",2551.70141601563
42040401,3,2,4204001,,0.5,2,2,2,1,2,,4,2,1,1,,,,3,1,2,2,2,,,,4204001,4204002,3,3,"H04204-04-01",2551.70141601563
42050401,1,2,4205002,0.850000023841858,1,,1,2,4,2,,8,1,1,1,,,,2,2,2,5,2,,,,4205001,4205005,3,2,"H04205-04-01",2551.70141601563
42080401,1,2,4208012,0.109999999403954,0.5,,1,1,1,2,,4,1,2,96,,,,3,1,2,2,2,,,,4208016,99999999,,3,"H04208-04-01",1275.85070800781
42080401,2,2,4208012,0.639999985694885,1,,1,3,1,2,,2,2,1,96,,,,3,1,2,2,2,,,,4208016,99999999,,2,"H04208-04-01",1275.85070800781
42080401,3,2,4208012,,1,1,2,4,1,1,100000,5,1,1,1,,,,3,1,3,2,2,,,,4208016,4208012,1,1,"H04208-04-01",1275.85070800781
42080402,2,2,4208002,,0.5,1,2,3,1,2,,4,1,1,1,,,,3,2,3,5,1,2,1,8,4208002,99999999,1,1,"H04208-04-02",1275.85070800781
42090401,3,2,4209001,,2,1,2,2,4,2,,30,1,2,1,,,,1,1,2,3,2,,,,4209001,,1,1,"H04209-04-01",2551.70141601563
42100401,2,2,4210001,,0.25,2,2,1,1,1,0,2,2,1,1,,,,2,2,2,3,2,,,,4210001,4210002,1,1,"H04210-04-01",2551.70141601563
45090401,4,2,4509002,,4.5,1,2,2,6,1,200000,4,1,1,1,,,,3,2,2,5,2,,,,4509002,4509001,2,2,"H04509-04-01",2792.466796875
46070401,1,2,4607002,5,4,,1,1,1,1,0,10,1,1,1,,,,2,1,2,5,2,,,,4607002,4607004,2,2,"H04607-04-01",2792.466796875
46070401,2,2,4607002,,7,4,2,1,1,1,0,10,1,5,5,3,3,,3,2,2,5,1,6,8,,4607002,4607006,,,"H04607-04-01",2792.466796875
46100402,1,2,4610005,,0.5,2,2,2,4,1,40000,1,2,1,1,,,,1,2,2,3,2,,,,4610005,,1,1,"H04610-04-02",930.822265625
48010401,1,2,4801001,,0.25,1,2,4,6,2,,2,1,1,96,,,,3,2,2,3,2,,,,4801001,,,1,"H04801-04-01",2792.466796875
48020401,1,2,4802001,0.109999999403954,0.119999997317791,,1,1,1,2,,15,2,1,1,,,,3,2,2,2,2,,,,4802001,4802002,1,1,"H04802-04-01",930.822265625
48020401,2,2,4802001,,0.5,1,2,3,1,2,,2,2,2,2,,,,3,1,2,2,2,,,,4802001,4802002,2,2,"H04802-04-01",930.822265625
49070401,2,2,4907001,,0.25,2,2,2,3,1,40000,0,1,96,1,,,,3,1,2,4,2,,,,4907001,4907002,1,,"H04907-04-01",2792.466796875
50080401,2,2,5008001,,0.25,4,2,3,6,2,,1,2,1,96,,,,2,1,2,3,2,,,,5008002,,,1,"H05008-04-01",2792.46655273438
51030401,3,2,5103002,,0.5,1,2,3,1,1,0,2,2,1,1,,,,1,1,2,1,2,,,,5103001,5103002,1,1,"H05103-04-01",2792.466796875
51040401,1,2,5104001,,0.5,1,2,3,1,2,,2,2,1,1,,,,1,2,2,3,2,,8,,5104001,,1,1,"H05104-04-01",2792.466796875
51040401,2,2,5104001,,0.400000005960464,1,2,3,1,2,,2,2,1,1,,,,1,2,2,4,2,,8,,5104001,,1,1,"H05104-04-01",2792.466796875
51070401,2,2,5107001,,0.25,2,2,1,1,2,,2,2,1,1,,,,1,2,2,4,1,1,10,8,5107001,99999999,1,1,"H05107-04-01",2792.466796875
51080401,5,2,5108001,,0.25,1,2,3,1,2,,0,2,96,5,,3,,6,2,2,2,2,,,,5108001,,,,"H05108-04-01",2792.466796875
53030401,2,2,5303001,,2.5,1,2,2,2,1,200000,1,1,1,1,,,,2,1,2,3,2,,,,5303001,5303002,4,1,"H05303-04-01",2792.466796875
53060401,2,2,5306001,,0.5,2,2,1,4,1,0,1,2,1,1,,,,1,2,2,3,2,,,,5306001,,2,1,"H05306-04-01",1396.2333984375
53060402,1,2,5306002,,0.25,2,2,1,4,1,30000,1,2,1,1,,,,1,2,2,2,2,,,,5306002,,1,1,"H05306-04-02",1396.2333984375
53080401,2,2,5308001,,1.5,2,2,4,4,1,133000,1,2,1,1,,,,1,2,2,2,2,,,,5308001,5308002,2,1,"H05308-04-01",2792.466796875
54030401,2,2,5403001,,0.5,2,2,1,1,1,0,6,2,96,96,,,,1,1,2,3,2,,,,5403001,,,,"H05403-04-01",2792.46655273438
54070401,2,2,5407001,0.680000007152557,0.400000005960464,,1,2,1,2,,5,2,1,1,,,,1,2,2,3,2,,,,5407001,5407008,1,1,"H05407-04-01",1396.23327636719
54070401,3,2,5407001,,0.5,1,2,2,1,2,,0,2,96,1,,,,1,2,2,3,2,,,,5407001,5407002,1,,"H05407-04-01",1396.23327636719
54070402,1,2,5407010,,1,1,2,5,1,2,,2,2,1,1,,,,2,1,2,2,2,,,,5407010,5407014,1,1,"H05407-04-02",1396.23327636719
54120401,2,2,5412007,,4,2,2,1,1,1,0,10,2,1,1,,,,1,2,2,3,2,,,,5412007,5412008,3,2,"H05412-04-01",930.822265625
54120403,1,2,5412018,,0.25,4,2,3,1,1,30000,1,1,1,1,,,,2,1,2,2,2,,,,5412018,99999999,1,1,"H05412-04-03",930.822265625
57010401,2,2,5701001,,1,1,2,2,1,1,120000,1,1,1,1,,,,1,1,2,2,2,,,,5701001,,1,1,"H05701-04-01",2792.466796875
57050401,1,2,5705001,,0.5,2,2,1,1,2,,1,2,1,1,,,,1,2,2,2,1,6,6,6,5705001,,3,4,"H05705-04-01",2792.466796875
57050401,2,2,5705001,,0.5,2,2,3,1,2,,2,2,1,1,,,,1,1,2,2,2,,,,5705001,,2,2,"H05705-04-01",2792.466796875
57110401,2,2,5711001,0.389999985694885,0.25,,1,2,1,2,,20,2,1,1,,,,3,1,2,2,2,,,,5711001,5711003,1,2,"H05711-04-01",1396.2333984375
57110401,3,2,5711001,,0.5,1,2,4,1,2,,20,2,1,1,,,,3,1,2,4,1,2,8,,5711001,5711003,2,2,"H05711-04-01",1396.2333984375
60080401,1,2,6008002,,2,1,2,4,6,2,,4,2,1,1,,,,1,2,2,3,2,,,,6008001,,2,2,"H06008-04-01",2551.70141601563
60090401,1,2,6009001,,1.5,1,2,3,1,2,,8,2,1,1,,,,1,1,2,2,2,,,,6009001,,2,2,"H06009-04-01",2551.70141601563
60090401,4,2,6009001,,3,1,2,3,1,2,,2,2,1,1,,,,1,1,2,2,2,,,,6009001,,1,1,"H06009-04-01",2551.70141601563
60090401,5,2,6009001,,5,1,2,4,1,1,100000,0,1,5,1,1,,,2,2,2,2,2,,,,6009001,,1,,"H06009-04-01",2551.70141601563
60100401,2,2,6010004,,3,1,2,3,1,1,0,8,2,1,1,,,,1,2,2,2,2,,,,6010001,6010002,2,2,"H06010-04-01",2551.70141601563
61010401,1,2,6101001,,1.25,3,2,1,1,2,,2,1,1,1,,,,2,1,2,3,2,,,,6101001,6101002,2,1,"H06101-04-01",2551.70141601563
61100401,4,2,6110006,,0.5,2,2,3,1,2,,0,2,5,1,1,,,2,2,2,2,2,,,,6110001,,1,,"H06110-04-01",2551.70141601563
62090401,1,2,6209001,0.850000023841858,1,,1,1,1,2,,7,2,1,1,,,,3,1,2,3,2,,,,6209001,,2,2,"H06209-04-01",2551.701171875
63010401,1,2,6301001,,0.5,2,2,2,1,2,,5,2,1,1,,,,1,1,2,3,2,,,,6301001,,2,2,"H06301-04-01",2551.70141601563
63010401,2,2,6301001,,0.25,2,2,1,1,2,,1,2,1,1,,,,1,1,2,3,2,,,,6301001,,1,1,"H06301-04-01",2551.70141601563
63010401,3,2,6301001,,1,2,2,3,1,2,,0,2,6,1,,,,2,1,2,5,2,,,,6301001,,3,,"H06301-04-01",2551.70141601563
63020401,1,2,6302002,,0.5,1,2,2,1,1,0,1,2,1,1,,,,1,1,2,3,2,,,,6302002,99999999,3,2,"H06302-04-01",2551.70141601563
64060401,2,2,6406001,,2,3,2,3,1,1,300000,1,1,1,1,,,,3,1,2,4,2,,,,6406001,6406006,1,1,"H06406-04-01",2551.70141601563
66020401,2,2,6602001,,0.5,2,2,1,1,2,,6,2,2,2,,,,3,2,2,3,2,,,,6602001,6602004,2,2,"H06602-04-01",2551.70141601563
66030401,2,2,6603001,,3,2,2,4,1,2,,3,1,1,1,,,,1,2,2,3,2,,,,6603001,6603003,1,1,"H06603-04-01",2551.70141601563
66070401,1,2,6607002,2.15000009536743,2,,1,1,1,2,,2,1,1,1,,,,1,1,2,3,1,2,6,8,6607002,6607001,4,2,"H06607-04-01",2551.70141601563
66080401,2,2,6608002,,4,1,2,4,1,1,400000,1,1,1,1,,,,2,1,2,3,2,,,,6608001,,1,2,"H06608-04-01",2551.70141601563
67010401,2,2,6701001,,0.699999988079071,1,2,3,1,2,,1,2,1,1,,,,6,2,2,3,1,6,6,8,6701001,6701002,3,3,"H06701-04-01",2551.701171875
67040401,2,2,6704001,0.449999988079071,0.5,,1,1,1,2,,4,2,1,1,,,,1,1,2,2,2,,8,,6704001,6704006,1,1,"H06704-04-01",2551.701171875
67040401,3,2,6704001,0.170000001788139,0.25,,1,1,1,2,,3,2,1,1,,,,1,1,2,3,2,,8,,6704001,6704004,1,1,"H06704-04-01",2551.701171875
67040401,4,2,6704001,0.479999989271164,0.5,,1,2,1,2,,3,2,2,2,,,,1,1,2,2,2,,8,,6704001,6704004,1,2,"H06704-04-01",2551.701171875
67040401,5,2,6704001,0.310000002384186,0.25,,1,2,1,2,,2,2,1,1,,,,3,1,2,3,2,,8,,6704001,6704004,1,1,"H06704-04-01",2551.701171875
67040401,6,2,6704001,0.409999996423721,0.5,,1,2,1,2,,5,2,1,1,,,,1,1,2,3,2,,8,,6704001,6704004,1,1,"H06704-04-01",2551.701171875
67060401,3,2,6706001,,1,1,2,2,1,2,,0,2,96,1,,,,2,1,2,4,2,,,,6706001,6706002,1,,"H06706-04-01",2551.701171875
67090401,2,2,6709001,,0.5,1,2,4,1,2,,1,2,1,1,,,,1,2,2,1,2,,,,6709001,,1,1,"H06709-04-01",2551.701171875
67100401,2,2,6710001,,0.25,2,2,4,1,1,0,0,2,96,1,,,,1,2,2,3,2,,,,6710001,99999999,1,,"H06710-04-01",2551.701171875
68010401,1,2,6801004,,1,2,2,2,3,1,40000,2,1,1,1,,,,1,2,2,1,1,6,8,,6801004,6801008,4,5,"H06801-04-01",2551.701171875
68060401,1,2,6806001,,0.5,1,2,2,1,2,,1,2,1,1,,,,2,2,2,3,2,,,,6806001,,2,2,"H06806-04-01",2551.701171875
68070401,1,2,6807002,,0.5,3,2,2,1,2,,13,2,1,1,,,,2,2,3,5,2,,,,6807002,,1,1,"H06807-04-01",2551.701171875
68070401,2,2,6807002,,1,1,2,3,1,2,,15,1,1,1,,,,6,1,2,2,2,,,,6807002,,4,4,"H06807-04-01",2551.701171875
68100401,1,2,6810002,,0.25,2,2,1,1,2,,15,2,1,1,,,,3,1,2,3,2,,,,6810002,,1,1,"H06810-04-01",1275.8505859375
69020401,1,2,6902002,,0.25,2,2,4,1,2,,1,2,1,1,,,,1,2,2,2,2,,,,6902002,6902001,2,1,"H06902-04-01",2551.70141601563
69030401,1,2,6903002,,0.25,1,2,3,1,1,50000,1,1,1,1,,,,3,2,2,3,2,,,,6903002,6903010,1,2,"H06903-04-01",2551.70141601563
69090401,1,2,6909001,,0.200000002980232,3,2,1,1,2,,10,2,2,2,,,,2,1,2,1,2,,,,6909001,6909003,1,1,"H06909-04-01",2551.70141601563
69090401,3,2,6909001,,0.200000002980232,1,2,3,1,2,,10,2,2,2,,,,3,1,3,5,2,,,,6909001,,1,1,"H06909-04-01",2551.70141601563
69090401,4,2,6909001,,0.100000001490116,1,2,2,1,2,,10,2,1,1,,,,3,1,2,1,2,,,,6909001,,1,1,"H06909-04-01",2551.70141601563
