"HHID","parcelID","plotID","a3aq3_1","a3aq3_2","a3aq3_3","a3aq3_4a","a3aq3_4b","a3aq3a","a3aq4","a3aq5","a3aq6","a3aq7","a3aq8","a3aq9","a3aq12","a3aq13","a3aq14","a3aq15","a3aq16","a3aq17","a3aq18","a3aq19","a3aq22","a3aq23","a3aq24b","a3aq24a","a3aq25","a3aq26","a3aq27","a3aq28","a3aq33a","a3aq33b","a3aq33c","a3aq33d","a3aq33e","a3aq33a_1","a3aq33b_1","a3aq33c_1","a3aq33d_1","a3aq33e_1","a3aq34","a3aq35a","a3aq35b","a3aq35c","a3aq36","a3aq33","hh","wgt_X"
1020401,1,1,102001,1,102001,,,2,2,,,,,,,1,4,0.25,1,0.25,5000,4,2,,,,,,,,102001,102002,,,,36,20,,,,2,,,,,2,"H00102-04-01",2792.466796875
1020401,1,2,102001,1,102001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,102001,102002,,,,40,21,,,,2,,,,,2,"H00102-04-01",2792.466796875
1020401,1,3,102001,1,102001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,102001,102002,,,,30,18,,,,2,,,,,2,"H00102-04-01",2792.466796875
1040401,1,1,104001,2,,104001,104002,1,2,,,,,,,2,,,,,,,2,,,,,,,,104001,,,,,37,,,,,2,,,,,1,"H00104-04-01",2792.466796875
1040401,1,2,104001,1,104001,,,1,2,,,,,,,2,,,,,,,2,,,,,,,,104001,,,,,20,,,,,2,,,,,1,"H00104-04-01",2792.466796875
1100401,1,1,110001,1,110001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,110001,110004,,,,15,15,,,,1,1,0,0,2000,2,"H00110-04-01",2792.466796875
21100401,1,1,2110002,2,,2110002,2110001,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H02110-04-01",1874.79821777344
21100401,1,2,2110002,2,,2110001,2110002,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,0,"H02110-04-01",1874.79821777344
21130401,1,1,2113001,1,2113001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2113001,,,,,10,,,,,1,15,0,0,60000,1,"H02113-04-01",1874.79821777344
21130401,1,2,2113001,1,2113001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2113001,,,,,12,,,,,1,15,0,0,60000,1,"H02113-04-01",1874.79821777344
21130401,1,3,2113001,1,2113001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2113001,,,,,10,,,,,1,12,0,0,50000,1,"H02113-04-01",1874.79821777344
21130401,1,4,2113001,1,2113001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2113001,,,,,10,,,,,1,10,0,0,40000,1,"H02113-04-01",1874.79821777344
21130401,2,5,2113001,1,2113001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2113001,,,,,9,,,,,1,6,0,0,40000,1,"H02113-04-01",1874.79821777344
21130401,2,6,2113001,1,2113001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,2113001,,,,,10,,,,,1,10,0,0,50000,1,"H02113-04-01",1874.79821777344
23100401,1,1,2310002,2,,2310001,2310002,2,2,,,,,,,2,,,,,,,2,,,,,,,,2310001,2310002,,,,10,10,,,,1,6,0,0,15000,2,"H02310-04-01",1874.79821777344
23100401,1,2,2310002,2,,2310001,2310002,2,2,,,,,,,2,,,,,,,2,,,,,,,,2310001,2310002,,,,10,12,,,,1,8,0,0,18000,2,"H02310-04-01",1874.79821777344
23100401,1,3,2310002,2,,2310001,2310002,2,2,,,,,,,2,,,,,,,2,,,,,,,,2310001,2310002,,,,6,10,,,,1,4,1,0,10000,2,"H02310-04-01",1874.79821777344
27110401,1,1,2711001,1,2711001,,,2,2,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,1,7,0,0,20000,0,"H02711-04-01",624.932739257813
