"HHID","ACrop2_ID","parcelID","plotID","cropID","cropID_other","a4bq6_1","a4bq7","a4bq8","a4bq9","a4bq9_1","a4bq9_2","a4bq16","a4bq11a","a4bq11b","a4bq12a","a4bq12b","a4bq13","a4bq14","a4bq10","a4bq15","hh","wgt_X"
1020401,1,1,1,130,,102001,0.5,2,50,8,14,1,10,22,20,,1,,2,,"H00102-04-01",2792.466796875
1020401,2,1,1,210,,102001,0.5,2,50,8,14,1,12,1,20,,1,,2,,"H00102-04-01",2792.466796875
1020401,3,1,2,630,,102001,0.300000011920929,1,,10,14,2,,,,,,,,,"H00102-04-01",2792.466796875
1020401,4,1,3,310,,102001,0.400000005960464,1,,8,14,1,15,1,,,1,,2,,"H00102-04-01",2792.466796875
1020401,5,1,4,620,,102001,0.300000011920929,1,,9,14,2,,,,,,,,,"H00102-04-01",2792.466796875
1100401,3,1,1,640,,110001,0.25,2,20,2,13,2,,,,,,,,,"H00110-04-01",2792.466796875
1100401,1,1,1,630,,110001,0.25,2,50,1,14,2,,,,,,,,,"H00110-04-01",2792.466796875
1100401,2,1,1,741,,110001,0.25,2,30,4,14,2,,,,,,,,,"H00110-04-01",2792.466796875
23100401,1,1,1,630,,2310002,0.5,1,,3,14,2,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,2,1,2,741,,2310002,0.5,1,,2,14,2,,,,,,,,,"H02310-04-01",1874.79821777344
34080401,3,1,1,741,,3408001,0.600000023841858,2,20,99,12,2,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,1,1,1,630,,3408001,0.600000023841858,2,30,1,14,2,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,2,1,1,210,,3408001,0.600000023841858,2,50,8,14,1,6,1,11,1,1,,2,,"H03408-04-01",1874.79821777344
34080401,4,1,2,620,,3408001,0.400000005960464,1,,9,14,2,,,,,,,,,"H03408-04-01",1874.79821777344
36010401,1,1,1,741,,3601009,1,2,80,99,1,2,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,2,1,1,812,,3601009,1,2,20,99,1,2,,,,,,,,,"H03601-04-01",2551.70141601563
36010401,3,1,2,130,,3601009,0.5,1,,8,14,1,20,1,,,1,,2,,"H03601-04-01",2551.70141601563
36010401,4,1,3,210,,3601009,0.5,1,,8,14,1,20,1,,,1,,2,,"H03601-04-01",2551.70141601563
