"HHID","parcelID","plotID","Production2_ID","cropID","a5bq5_1","a5bq5_2","a5bq6a","a5bq6b","a5bq6c","a5bq6d","a5bq6a_1","a5bq6a_2","a5bq6a_3","a5bq6a_4","a5bq6e","a5bq6e_1","a5bq6f","a5bq6f_1","a5bq7a","a5bq7b","a5bq7c","a5bq7d","a5bq8","a5bq9","a5bq10","a5bq11e","a5bq11f","a5bq11g","a5bq11h","a5bq12","a5bq13","a5bq14a","a5bq14b","a5bq15","a5bq16","a5bq17","a5bq18","a5bq19","a5bq20","a5bq21","a5bq22","a5bq23a","a5bq23b","hh","wgt_X"
1020401,1,1,2,210,102001,2,3,45,20,20,1,102001,,,11,2013,12,2013,0,,,,,,,,,,,0,2,0,0,1,0,,6,2,,0,,3,,"H00102-04-01",2792.466796875
1020401,1,1,1,130,102001,2,10,45,20,20,1,102001,,,12,2013,1,2014,5,45,20,20,100000,2,0,1,102001,,,0,4,0,0,1,0,,4,2,,0,,3,,"H00102-04-01",2792.466796875
1020401,1,2,3,630,102001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,1,3,4,310,102001,2,5,32,20,15,1,102001,,,11,2013,12,2013,0,,,,,,,,,,,0,3,0,0,2,0,,4,2,,0,,3,,"H00102-04-01",2792.466796875
1020401,1,4,5,620,102001,2,1.5,20,10,120,1,102001,,,12,2013,1,2014,0,,,,,,,,,,,0,1.5,0,0,0,0,,6,2,,0,,3,,"H00102-04-01",2792.466796875
1100401,1,1,3,640,110001,2,2,20,39,3,1,110001,,,,2013,,2013,0,,,,,,,,,,,2,0,0,0,0,0,,6,2,,0,,3,,"H00110-04-01",2792.466796875
1100401,1,1,2,741,110001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,1,1,1,630,110001,2,4,20,14,10,1,110001,,,,2013,,2013,0,,,,,,,,,,,4,0,0,0,0,0,,6,2,,0,,3,,"H00110-04-01",2792.466796875
23100401,1,1,1,630,2310002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
23100401,1,2,2,741,2310002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
34080401,1,1,1,630,3408001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,1,1,3,210,3408001,2,2,24,20,18,1,3408001,,,12,2013,12,2013,0,,,,,,,,,,,0,1.75,0,0,0.25,0,,4,2,,0,,3,,"H03408-04-01",1874.79821777344
34080401,1,1,2,210,3408001,2,7,24,38,7,1,3408001,,,10,2013,11,2013,0,,,,,,,,,,,1,6,0,0,0,0,,6,2,,0,,3,,"H03408-04-01",1874.79821777344
34080401,1,1,4,741,3408001,2,10,20,69,6,1,3408001,,,8,2013,12,2013,0,,,,,,,,,,,0,10,0,0,0,0,,6,2,,0,,3,,"H03408-04-01",1874.79821777344
34080401,1,2,5,620,3408001,2,15,20,20,20,1,3408001,,,12,2013,12,2013,8,20,20,20,160000,2,0,1,3408001,,,0,5,0,0,0,0,,6,2,,0,,3,,"H03408-04-01",1874.79821777344
36010401,1,1,4,812,3601009,2,4,24,20,14,2,,3601001,3601009,10,2013,10,2013,4,24,20,15,32000,2,0,2,,3601001,3601009,0,0,0,0,0,0,,6,2,,0,,3,,"H03601-04-01",2551.70141601563
36010401,1,1,2,741,3601009,2,15,20,68,10,2,,3601001,3601009,7,2013,12,2013,0,,,,,,,,,,,5,10,0,0,0,0,,6,2,,0,,3,,"H03601-04-01",2551.70141601563
36010401,1,1,3,812,3601009,2,2,44,10,90,2,,3601001,3601009,10,2013,12,2013,2,44,10,90,320000,2,0,2,,3601001,3601009,0,0,0,0,0,0,,4,2,,0,,3,,"H03601-04-01",2551.70141601563
36010401,1,1,1,741,3601009,2,20,20,69,7,2,,3601001,3601009,7,2013,12,2013,0,,,,,,,,,,,2,18,0,0,0,0,,6,2,,0,,3,,"H03601-04-01",2551.70141601563
36010401,1,2,5,130,3601009,2,150,45,1,,2,,3601001,3601009,11,2013,12,2013,100,45,1,,60000,2,0,2,,3601001,3601009,0,10,0,0,0,0,,4,2,,40,,1,2,"H03601-04-01",2551.70141601563
36010401,1,2,6,130,3601009,2,6,23,39,6,2,,3601001,3601009,10,2013,12,2013,0,,,,,,,,,,,1,5,0,0,0,0,,6,2,,0,,1,2,"H03601-04-01",2551.70141601563
36010401,1,3,7,210,3601009,2,160,45,1,,2,,3601001,3601009,10,2013,12,2013,100,45,1,,120000,2,0,2,,3601001,3601009,0,20,0,0,0,0,,4,2,,40,,3,,"H03601-04-01",2551.70141601563
36010401,1,3,8,210,3601009,2,3,24,20,15,2,,3601001,3601009,10,2013,11,2013,0,,,,,,,,,,,1,2,0,0,0,0,,4,2,,0,,3,,"H03601-04-01",2551.70141601563
36010401,1,4,9,620,3601009,2,2,20,20,10,2,,3601001,3601009,12,2013,12,2013,0,,,,,,,,,,,0,2,0,0,0,0.5,3,6,2,,0,,3,,"H03601-04-01",2551.70141601563
36010401,1,5,10,742,3601009,2,20,20,90,15,2,,3601001,3601009,7,2013,12,2013,0,,,,,,,,,,,0,0,20,0,0,0,,6,2,,0,,3,,"H03601-04-01",2551.70141601563
36010401,1,6,11,630,3601009,2,2,20,12,55,2,,3601001,3601009,7,2013,12,2013,0,,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,3,,"H03601-04-01",2551.70141601563
36020404,1,1,1,741,3602001,2,20,20,67,20,2,,3602001,3602010,8,2013,12,2013,10,20,67,20,90000,2,0,2,,3602001,3602010,2,8,0,0,0,0,,6,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,1,1,2,741,3602001,2,35,20,69,6,2,,3602001,3602010,7,2013,12,2013,0,,,,,,,,,,,5,30,0,0,0,0,,6,2,,0,,3,,"H03602-04-04",2551.70141601563
36020404,1,1,3,812,3602001,2,3,44,10,100,2,,3602001,3602010,10,2013,12,2013,3,44,10,100,300000,2,0,2,,3602001,3602010,0,0,0,0,0,0,,4,2,,0,,3,,"H03602-04-04",2551.70141601563
