"HHID","LiveStockID","a6aq2","a6aq3a","a6aq3b","a6aq3c","a6aq3d","a6aq3e","a6aq4a","a6aq4b","a6aq4c","a6aq5a","a6aq5b","a6aq5c","a6aq6","a6aq7","a6aq8","a6aq9","a6aq10","a6aq11","a6aq12","a6aq13a","a6aq13b","a6aq14a","a6aq14b","a6aq15","a6aq15b","a6aq15c","a6aq16","hh","wgt_X"
27110401,1,1,6,2711001,99999999,99999999,,0,,,30,3,600000,0,6,0,0,0,0,0,0,,0,,0,6,9,2,"H02711-04-01",624.932739257813
27110401,2,1,1,2711001,99999999,99999999,,0,,,30,3,600000,1,0,0,0,0,0,0,0,,0,,0,9,6,1,"H02711-04-01",624.932739257813
27110401,3,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,4,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,5,1,14,2711001,,99999999,,0,,,30,3,600000,16,0,0,0,0,0,0,0,,2,1000000,0,2,6,2,"H02711-04-01",624.932739257813
27110401,6,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,7,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,8,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,9,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,10,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,11,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
27110401,12,2,,,,,,,,,30,3,600000,,,,,,,,,,,,,,,,"H02711-04-01",624.932739257813
36040409,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,7,1,2,3604032,99999999,3604033,3604034,2,3604033,3604034,0,,,2,0,0,0,0,0,0,1,450000,1,550000,0,1,5,1,"H03604-04-09",850.567138671875
36040409,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,10,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03604-04-09",850.567138671875
37050401,1,2,,,,,,,,,12,3,700000,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,2,2,,,,,,,,,12,3,700000,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,3,2,,,,,,,,,12,3,700000,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,4,2,,,,,,,,,12,3,700000,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,5,2,,,,,,,,,12,3,700000,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,6,1,2,3705002,3705005,3705002,3705005,0,,,12,3,700000,0,2,0,0,0,0,0,0,,0,,0,1,1,1,"H03705-04-01",2551.70141601563
37050401,7,2,,,,,,,,,12,3,700000,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,8,1,4,3705002,3705005,3705002,3705005,0,,,12,3,700000,4,0,0,0,0,0,0,0,,0,,0,1,1,1,"H03705-04-01",2551.70141601563
37050401,9,1,0,,,,,0,,,12,3,700000,3,0,0,0,0,0,1,0,,2,1500000,0,1,1,1,"H03705-04-01",2551.70141601563
37050401,10,1,2,3705002,3705001,3705005,3705002,0,,,12,3,700000,2,0,0,0,0,0,0,0,,0,,0,1,1,1,"H03705-04-01",2551.70141601563
37050401,11,2,,,,,,,,,12,3,700000,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,12,2,,,,,,,,,12,3,700000,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37060401,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
