"HHID","ALiveStock_Small_ID","a6bq2","a6bq3a","a6bq3b","a6bq3c","a6bq3d","a6bq3e","a6bq4a","a6bq4b","a6bq4c","a6bq5a","a6bq5b","a6bq5c","a6bq6","a6bq7","a6bq8","a6bq9","a6bq10","a6bq11","a6bq12","a6bq13a","a6bq13b","a6bq14a","a6bq14b","a6bq15","a6bq15b","a6bq15c","a6bq16","hh","wgt_X"
1010401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,19,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00101-04-01",2792.466796875
1010401,22,1,2,101001,,101001,,0,,,0,,,2,0,0,0,0,0,0,0,,0,,0,1,1,2,"H00101-04-01",2792.466796875
1020401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,19,1,1,102001,99999999,102001,102002,0,,,0,,,2,0,0,0,1,0,0,0,,0,,0,3,1,1,"H00102-04-01",2792.466796875
1020401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1020401,22,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H00102-04-01",2792.466796875
1100401,13,1,8,110001,,110001,,0,,,30,2,720000,9,4,0,0,0,0,0,0,,5,120000,0,1,3,1,"H00110-04-01",2792.466796875
1100401,14,1,76,110001,,110001,,0,,,30,2,720000,87,11,0,0,0,0,0,0,,22,120000,0,1,3,1,"H00110-04-01",2792.466796875
1100401,15,2,,,,,,,,,30,2,720000,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,16,2,,,,,,,,,30,2,720000,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,17,2,,,,,,,,,30,2,720000,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,18,2,,,,,,,,,30,2,720000,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,19,2,,,,,,,,,30,2,720000,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,20,2,,,,,,,,,30,2,720000,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,21,2,,,,,,,,,30,2,720000,,,,,,,,,,,,,,,,"H00110-04-01",2792.466796875
1100401,22,1,5,110004,,110004,,0,,,30,2,720000,5,10,0,0,0,0,10,0,,0,,0,1,3,1,"H00110-04-01",2792.466796875
23100401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H02310-04-01",1874.79821777344
