"HHID","a6bq1","hh","wgt_X"
1010401,1,"H00101-04-01",2792.466796875
1020401,1,"H00102-04-01",2792.466796875
1040401,2,"H00104-04-01",2792.466796875
1100401,1,"H00110-04-01",2792.466796875
8010401,2,"H00801-04-01",1874.79821777344
16070401,2,"H01607-04-01",1874.79821777344
21100401,2,"H02110-04-01",1874.79821777344
21130401,2,"H02113-04-01",1874.79821777344
22070401,2,"H02207-04-01",1874.79821777344
23100401,1,"H02310-04-01",1874.79821777344
27100401,,"H02710-04-01",1874.79821777344
27110401,1,"H02711-04-01",624.932739257813
30050401,1,"H03005-04-01",1874.79821777344
34080401,1,"H03408-04-01",1874.79821777344
36010401,2,"H03601-04-01",2551.70141601563
36020404,1,"H03602-04-04",2551.70141601563
36030405,1,"H03603-04-05",2551.70141601563
36040404,2,"H03604-04-04",850.567138671875
36040408,2,"H03604-04-08",850.567138671875
36040409,1,"H03604-04-09",850.567138671875
36050402,1,"H03605-04-02",2551.70141601563
36070401,1,"H03607-04-01",2551.70141601563
36080401,1,"H03608-04-01",2551.70141601563
37040401,2,"H03704-04-01",2551.70141601563
37050401,1,"H03705-04-01",2551.70141601563
37060401,2,"H03706-04-01",2551.70141601563
37070401,1,"H03707-04-01",1275.85070800781
37090401,2,"H03709-04-01",2551.70141601563
37110402,2,"H03711-04-02",637.925354003906
37110403,2,"H03711-04-03",637.925354003906
38070401,2,"H03807-04-01",2551.70141601563
38090401,1,"H03809-04-01",2551.70141601563
38100401,2,"H03810-04-01",2551.70141601563
39020401,2,"H03902-04-01",2551.70141601563
39030401,1,"H03903-04-01",2551.70141601563
39060401,2,"H03906-04-01",2551.70141601563
39070401,2,"H03907-04-01",2551.70141601563
39080401,2,"H03908-04-01",2551.70141601563
39090401,1,"H03909-04-01",1275.85070800781
39090402,1,"H03909-04-02",1275.85070800781
39100401,1,"H03910-04-01",2551.70141601563
40010401,2,"H04001-04-01",2551.70141601563
40020401,1,"H04002-04-01",2551.70141601563
40030401,1,"H04003-04-01",850.567138671875
40040401,1,"H04004-04-01",2551.70141601563
40050401,1,"H04005-04-01",2551.70141601563
40070401,1,"H04007-04-01",2551.70141601563
40100401,1,"H04010-04-01",1275.85070800781
40110401,2,"H04011-04-01",1275.85070800781
42010401,1,"H04201-04-01",2551.70141601563
42020401,1,"H04202-04-01",2551.70141601563
42030401,1,"H04203-04-01",2551.70141601563
42040401,1,"H04204-04-01",2551.70141601563
42050401,1,"H04205-04-01",2551.70141601563
42060401,2,"H04206-04-01",2551.70141601563
42070401,2,"H04207-04-01",2551.70141601563
42080401,2,"H04208-04-01",1275.85070800781
42080402,1,"H04208-04-02",1275.85070800781
42090401,2,"H04209-04-01",2551.70141601563
42100401,2,"H04210-04-01",2551.70141601563
45080403,2,"H04508-04-03",698.11669921875
45090401,1,"H04509-04-01",2792.466796875
46020401,1,"H04602-04-01",2792.466796875
46030401,1,"H04603-04-01",2792.466796875
46040401,2,"H04604-04-01",2792.466796875
46060401,2,"H04606-04-01",1396.2333984375
46060402,1,"H04606-04-02",1396.2333984375
46070401,1,"H04607-04-01",2792.466796875
46080401,1,"H04608-04-01",2792.466796875
46090401,1,"H04609-04-01",2792.466796875
46100401,1,"H04610-04-01",930.822265625
46100402,1,"H04610-04-02",930.822265625
46100403,1,"H04610-04-03",930.822265625
48010401,2,"H04801-04-01",2792.466796875
48020401,2,"H04802-04-01",930.822265625
48020402,2,"H04802-04-02",930.822265625
48030402,2,"H04803-04-02",2792.466796875
48040401,1,"H04804-04-01",2792.466796875
48050401,2,"H04805-04-01",2792.466796875
48060401,1,"H04806-04-01",2792.466796875
48070401,2,"H04807-04-01",2792.466796875
48080401,1,"H04808-04-01",1396.2333984375
48100401,1,"H04810-04-01",2792.466796875
49030401,1,"H04903-04-01",2792.466796875
49050401,1,"H04905-04-01",2792.466796875
49070401,1,"H04907-04-01",2792.466796875
49080401,1,"H04908-04-01",2792.466796875
49090401,1,"H04909-04-01",2792.466796875
49100401,1,"H04910-04-01",2792.466796875
49120401,1,"H04912-04-01",2792.466796875
49130401,1,"H04913-04-01",465.4111328125
49130402,2,"H04913-04-02",465.4111328125
49130403,2,"H04913-04-03",465.4111328125
49130405,2,"H04913-04-05",465.4111328125
49130406,1,"H04913-04-06",465.4111328125
50020401,2,"H05002-04-01",2792.46655273438
50030401,1,"H05003-04-01",1396.23327636719
50040401,2,"H05004-04-01",2792.46655273438
50050401,1,"H05005-04-01",2792.46655273438
50060401,2,"H05006-04-01",2792.46655273438
50070401,2,"H05007-04-01",2792.46655273438
50080401,1,"H05008-04-01",2792.46655273438
50090401,2,"H05009-04-01",2792.46655273438
50100401,1,"H05010-04-01",2792.46655273438
51010401,2,"H05101-04-01",2792.466796875
51020401,1,"H05102-04-01",2792.466796875
51030401,2,"H05103-04-01",2792.466796875
51040401,2,"H05104-04-01",2792.466796875
51050401,2,"H05105-04-01",2792.466796875
51060401,1,"H05106-04-01",2792.466796875
51070401,2,"H05107-04-01",2792.466796875
51080401,1,"H05108-04-01",2792.466796875
51090401,2,"H05109-04-01",2792.466796875
53020401,1,"H05302-04-01",2792.466796875
53030401,2,"H05303-04-01",2792.466796875
53040401,1,"H05304-04-01",2792.466796875
53050401,1,"H05305-04-01",465.4111328125
53050402,2,"H05305-04-02",465.4111328125
53050403,2,"H05305-04-03",465.4111328125
53060401,2,"H05306-04-01",1396.2333984375
53060402,2,"H05306-04-02",1396.2333984375
53080401,2,"H05308-04-01",2792.466796875
53090401,2,"H05309-04-01",2792.466796875
53100401,1,"H05310-04-01",1396.2333984375
53100402,2,"H05310-04-02",1396.2333984375
54030401,1,"H05403-04-01",2792.46655273438
54040401,1,"H05404-04-01",2792.46655273438
54050401,2,"H05405-04-01",2792.46655273438
54070401,2,"H05407-04-01",1396.23327636719
54070402,1,"H05407-04-02",1396.23327636719
54090401,1,"H05409-04-01",2792.46655273438
54100401,1,"H05410-04-01",2792.46655273438
54120401,1,"H05412-04-01",930.822265625
54120402,1,"H05412-04-02",930.822265625
54120403,2,"H05412-04-03",930.822265625
57010401,1,"H05701-04-01",2792.466796875
57020401,1,"H05702-04-01",2792.466796875
57030401,1,"H05703-04-01",2792.466796875
57040401,1,"H05704-04-01",2792.466796875
57050401,2,"H05705-04-01",2792.466796875
57060401,2,"H05706-04-01",2792.466796875
57070401,1,"H05707-04-01",2792.466796875
57090401,1,"H05709-04-01",2792.466796875
57100401,2,"H05710-04-01",2792.466796875
57110401,1,"H05711-04-01",1396.2333984375
59010401,2,"H05901-04-01",2551.701171875
59100401,1,"H05910-04-01",2551.701171875
60010401,1,"H06001-04-01",2551.70141601563
60050401,2,"H06005-04-01",2551.70141601563
60060401,1,"H06006-04-01",2551.70141601563
60080401,2,"H06008-04-01",2551.70141601563
60090401,1,"H06009-04-01",2551.70141601563
60100401,1,"H06010-04-01",2551.70141601563
61010401,2,"H06101-04-01",2551.70141601563
61020401,1,"H06102-04-01",2551.70141601563
61030401,1,"H06103-04-01",2551.70141601563
61040401,2,"H06104-04-01",850.567138671875
61050401,1,"H06105-04-01",1275.85070800781
61050402,1,"H06105-04-02",1275.85070800781
61070401,2,"H06107-04-01",2551.70141601563
61080401,1,"H06108-04-01",2551.70141601563
61090401,1,"H06109-04-01",2551.70141601563
61100401,1,"H06110-04-01",2551.70141601563
62010401,2,"H06201-04-01",2551.701171875
62070401,2,"H06207-04-01",2551.701171875
62080401,1,"H06208-04-01",2551.701171875
62090401,2,"H06209-04-01",2551.701171875
63010401,2,"H06301-04-01",2551.70141601563
63020401,2,"H06302-04-01",2551.70141601563
63030401,1,"H06303-04-01",850.567138671875
63050401,2,"H06305-04-01",2551.70141601563
63060401,1,"H06306-04-01",2551.70141601563
63070401,1,"H06307-04-01",2551.70141601563
63100401,1,"H06310-04-01",850.567138671875
63100402,1,"H06310-04-02",850.567138671875
64010401,2,"H06401-04-01",2551.70141601563
64020401,2,"H06402-04-01",2551.70141601563
64030401,2,"H06403-04-01",2551.70141601563
64040401,1,"H06404-04-01",2551.70141601563
64050401,1,"H06405-04-01",2551.70141601563
64060401,1,"H06406-04-01",2551.70141601563
64080401,1,"H06408-04-01",2551.70141601563
64090401,2,"H06409-04-01",2551.70141601563
64100401,1,"H06410-04-01",2551.70141601563
64110401,2,"H06411-04-01",2551.70141601563
66020401,2,"H06602-04-01",2551.70141601563
66030401,2,"H06603-04-01",2551.70141601563
66040401,1,"H06604-04-01",2551.70141601563
66050401,2,"H06605-04-01",2551.70141601563
66060401,1,"H06606-04-01",2551.70141601563
66070401,1,"H06607-04-01",2551.70141601563
66080401,1,"H06608-04-01",2551.70141601563
66090401,1,"H06609-04-01",2551.70141601563
67010401,2,"H06701-04-01",2551.701171875
67020401,1,"H06702-04-01",2551.701171875
67030401,1,"H06703-04-01",2551.701171875
67040401,1,"H06704-04-01",2551.701171875
67060401,1,"H06706-04-01",2551.701171875
67070401,2,"H06707-04-01",1275.8505859375
67080401,1,"H06708-04-01",2551.701171875
67090401,1,"H06709-04-01",2551.701171875
67100401,2,"H06710-04-01",2551.701171875
68010401,2,"H06801-04-01",2551.701171875
68020401,2,"H06802-04-01",2551.701171875
68030401,2,"H06803-04-01",2551.701171875
68060401,1,"H06806-04-01",2551.701171875
68070401,1,"H06807-04-01",2551.701171875
68100401,2,"H06810-04-01",1275.8505859375
68100402,2,"H06810-04-02",1275.8505859375
69020401,2,"H06902-04-01",2551.70141601563
69030401,2,"H06903-04-01",2551.70141601563
69080401,1,"H06908-04-01",1275.85070800781
69090401,2,"H06909-04-01",2551.70141601563
69110401,1,"H06911-04-01",1275.85070800781
69140401,1,"H06914-04-01",2551.70141601563
70030401,2,"H07003-04-01",2551.70141601563
70070401,1,"H07007-04-01",1275.85070800781
70080401,1,"H07008-04-01",2551.70141601563
70090401,1,"H07009-04-01",2551.70141601563
70100401,1,"H07010-04-01",2551.70141601563
72010401,2,"H07201-04-01",2551.70141601563
72020402,2,"H07202-04-02",1275.85070800781
72030401,2,"H07203-04-01",2551.70141601563
72040401,1,"H07204-04-01",2551.70141601563
72050401,2,"H07205-04-01",2551.70141601563
72060401,2,"H07206-04-01",2551.70141601563
72070401,2,"H07207-04-01",1275.85070800781
72080401,1,"H07208-04-01",1275.85070800781
72080402,1,"H07208-04-02",1275.85070800781
72090401,2,"H07209-04-01",2551.70141601563
72100401,1,"H07210-04-01",2551.70141601563
73020401,2,"H07302-04-01",2551.701171875
73030401,1,"H07303-04-01",2551.701171875
73040401,2,"H07304-04-01",1275.8505859375
73060401,1,"H07306-04-01",2551.701171875
73070401,1,"H07307-04-01",2551.701171875
73090401,1,"H07309-04-01",2551.701171875
73100401,1,"H07310-04-01",2551.701171875
73110401,2,"H07311-04-01",2551.701171875
74080401,1,"H07408-04-01",850.567138671875
74080402,1,"H07408-04-02",850.567138671875
74080403,2,"H07408-04-03",850.567138671875
75020402,2,"H07502-04-02",425.283569335938
75020406,1,"H07502-04-06",425.283569335938
75040401,1,"H07504-04-01",2551.70141601563
75060401,1,"H07506-04-01",2551.70141601563
75080401,1,"H07508-04-01",2551.70141601563
75090401,2,"H07509-04-01",637.925354003906
75090402,1,"H07509-04-02",637.925354003906
75090403,2,"H07509-04-03",637.925354003906
75100401,1,"H07510-04-01",2551.70141601563
81020401,1,"H08102-04-01",465.4111328125
81020402,1,"H08102-04-02",465.4111328125
81030401,2,"H08103-04-01",2792.466796875
81070401,2,"H08107-04-01",2792.466796875
83010401,1,"H08301-04-01",2792.466796875
83020401,1,"H08302-04-01",698.11669921875
83020402,1,"H08302-04-02",698.11669921875
83020403,1,"H08302-04-03",698.11669921875
83020404,1,"H08302-04-04",698.11669921875
83030401,1,"H08303-04-01",2792.466796875
83040401,1,"H08304-04-01",2792.466796875
83070402,2,"H08307-04-02",1396.2333984375
83070403,1,"H08307-04-03",1396.2333984375
83080401,1,"H08308-04-01",1396.2333984375
83080403,2,"H08308-04-03",1396.2333984375
83090401,2,"H08309-04-01",2792.466796875
83100401,2,"H08310-04-01",2792.466796875
84020401,1,"H08402-04-01",2792.466796875
84040401,1,"H08404-04-01",2792.466796875
84050401,1,"H08405-04-01",2792.466796875
84060401,2,"H08406-04-01",698.11669921875
84060402,2,"H08406-04-02",698.11669921875
84060404,2,"H08406-04-04",698.11669921875
84080401,2,"H08408-04-01",2792.466796875
84090401,1,"H08409-04-01",1396.2333984375
84090402,1,"H08409-04-02",1396.2333984375
84100401,1,"H08410-04-01",2792.466796875
85010401,1,"H08501-04-01",2792.466796875
85020401,1,"H08502-04-01",2792.466796875
85030401,1,"H08503-04-01",930.822265625
85030403,1,"H08503-04-03",930.822265625
85040401,1,"H08504-04-01",2792.466796875
85050401,1,"H08505-04-01",2792.466796875
85060401,1,"H08506-04-01",2792.466796875
85070401,2,"H08507-04-01",2792.466796875
85080401,1,"H08508-04-01",2792.466796875
85090401,1,"H08509-04-01",2792.466796875
85100401,1,"H08510-04-01",1396.2333984375
86020401,1,"H08602-04-01",930.822265625
86020402,2,"H08602-04-02",930.822265625
86020403,1,"H08602-04-03",930.822265625
86030401,1,"H08603-04-01",1396.23327636719
86050401,1,"H08605-04-01",2792.46655273438
86090401,1,"H08609-04-01",2792.46655273438
86110401,1,"H08611-04-01",2792.46655273438
87010401,1,"H08701-04-01",2792.466796875
87030401,1,"H08703-04-01",2792.466796875
87040401,1,"H08704-04-01",2792.466796875
87060401,2,"H08706-04-01",2792.466796875
87070401,1,"H08707-04-01",2792.466796875
87080401,1,"H08708-04-01",1396.2333984375
87080402,2,"H08708-04-02",1396.2333984375
87090401,1,"H08709-04-01",2792.466796875
87100401,1,"H08710-04-01",2792.466796875
88010401,1,"H08801-04-01",2792.466796875
88020401,1,"H08802-04-01",1396.2333984375
88020402,1,"H08802-04-02",1396.2333984375
88030401,2,"H08803-04-01",2792.466796875
88040401,2,"H08804-04-01",2792.466796875
88050401,2,"H08805-04-01",2792.466796875
88060401,1,"H08806-04-01",2792.466796875
88100401,1,"H08810-04-01",2792.466796875
88110401,1,"H08811-04-01",2792.466796875
90010401,1,"H09001-04-01",1275.85070800781
90030401,2,"H09003-04-01",2551.70141601563
90050401,2,"H09005-04-01",2551.70141601563
90070401,2,"H09007-04-01",2551.70141601563
90080401,1,"H09008-04-01",1275.85070800781
90080402,2,"H09008-04-02",1275.85070800781
90100401,2,"H09010-04-01",2551.70141601563
91010401,1,"H09101-04-01",2551.701171875
91020401,1,"H09102-04-01",2551.701171875
91030401,1,"H09103-04-01",2551.701171875
91050401,2,"H09105-04-01",1275.8505859375
91050402,2,"H09105-04-02",1275.8505859375
91060401,2,"H09106-04-01",1275.8505859375
91080401,1,"H09108-04-01",2551.701171875
91090401,1,"H09109-04-01",2551.701171875
91100401,2,"H09110-04-01",2551.701171875
91110401,2,"H09111-04-01",2551.701171875
92030401,1,"H09203-04-01",2551.70141601563
92060401,2,"H09206-04-01",2551.70141601563
92080401,2,"H09208-04-01",2551.70141601563
92090401,2,"H09209-04-01",2551.70141601563
92100401,1,"H09210-04-01",2551.70141601563
94100401,1,"H09410-04-01",2792.466796875
95050401,2,"H09505-04-01",2792.466796875
95100401,2,"H09510-04-01",2792.466796875
96080401,2,"H09608-04-01",2792.466796875
96090401,2,"H09609-04-01",2792.466796875
97100401,2,"H09710-04-01",2792.466796875
99090401,2,"H09909-04-01",2792.466796875
