"HHID","AGroup_ID","a8bq1","a8bq2","a8bq3","a8bq4","a8bq5","a8bq5_1","a8bq6","a8bq7","a8bq8","a8bq9","a8bq10a","a8bq10b","hh","wgt_X"
1010401,106,0,,,,,,,,,,,,"H00101-04-01",2792.466796875
1020401,106,0,,,,,,,,,,,,"H00102-04-01",2792.466796875
1100401,102,0,,,,,,,,,,,,"H00110-04-01",2792.466796875
23100401,106,0,,,,,,,,,,,,"H02310-04-01",1874.79821777344
27110401,101,6,6,1,1,4,14,0,,4,126000,2711001,,"H02711-04-01",624.932739257813
27110401,106,0,,,,,,,,,,,,"H02711-04-01",624.932739257813
34080401,106,0,,,,,,,,,,,,"H03408-04-01",1874.79821777344
36020404,106,0,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36030405,106,0,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36040409,105,0,,,,,,,,,,,,"H03604-04-09",850.567138671875
36040409,106,0,,,,,,,,,,,,"H03604-04-09",850.567138671875
37050401,105,2,6,1,1,1,1,0,,2,120000,3705002,3705005,"H03705-04-01",2551.70141601563
37060401,105,7,7,1,1,1,0,0,,,,,,"H03706-04-01",2551.70141601563
37070401,106,0,,,,,,,,,,,,"H03707-04-01",1275.85070800781
38090401,106,0,,,,,,,,,,,,"H03809-04-01",2551.70141601563
39030401,106,0,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39090401,105,1,8,4,2,4,4,0,,4,500,3909001,3909002,"H03909-04-01",1275.85070800781
39090401,106,0,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090402,105,1,2,2,0,2,0,0,,,,,,"H03909-04-02",1275.85070800781
39090402,106,0,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39100401,101,3,3,6,1,1,5,0,,2,4800000,3910001,,"H03910-04-01",2551.70141601563
39100401,106,0,,,,,,,,,,,,"H03910-04-01",2551.70141601563
40020401,105,0,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40020401,106,0,,,,,,,,,,,,"H04002-04-01",2551.70141601563
40030401,106,0,,,,,,,,,,,,"H04003-04-01",850.567138671875
40040401,106,0,,,,,,,,,,,,"H04004-04-01",2551.70141601563
40050401,106,0,,,,,,,,,,,,"H04005-04-01",2551.70141601563
40070401,106,0,,,,,,,,,,,,"H04007-04-01",2551.70141601563
40100401,106,0,,,,,,,,,,,,"H04010-04-01",1275.85070800781
42010401,101,2,5,3.5,1,3.5,0,0,,,,,,"H04201-04-01",2551.70141601563
42010401,106,0,,,,,,,,,,,,"H04201-04-01",2551.70141601563
42030401,105,0,,,,,,,,,,,,"H04203-04-01",2551.70141601563
42040401,105,0,,,,,,,,,,,,"H04204-04-01",2551.70141601563
42040401,106,0,,,,,,,,,,,,"H04204-04-01",2551.70141601563
42050401,105,0,,,,,,,,,,,,"H04205-04-01",2551.70141601563
42050401,106,0,,,,,,,,,,,,"H04205-04-01",2551.70141601563
42060401,105,1,3,0.5,1,0.5,0,0,,,,,,"H04206-04-01",2551.70141601563
42070401,106,0,,,,,,,,,,,,"H04207-04-01",2551.70141601563
