"District_Name","SubCounty","Parish","Villagecode","Payment_ID","C3DQ26","Other_C3DQ26","C3DQ27","C3DQ28","C3DQ29","Education_Response","Reason_Edu_Not_Done"
101,101204,10120402,1012040204,1,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,2,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,3,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,4,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,5,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,6,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,7,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,8,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,9,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,10,,,,,,3,"no school at the island"
102,102101,10210104,1021010402,1,,,1,12500,2,1,
102,102101,10210104,1021010402,2,1,,1,25000,2,1,
102,102101,10210104,1021010402,3,1,,1,22000,4,1,
102,102101,10210104,1021010402,4,2,,,,,1,
102,102101,10210104,1021010402,5,1,,2,,,1,
102,102101,10210104,1021010402,6,2,,,,,1,
102,102101,10210104,1021010402,7,2,,,,,1,
102,102101,10210104,1021010402,8,2,,,,,1,
102,102101,10210104,1021010402,9,2,,,,,1,
102,102101,10210104,1021010402,10,2,,,,,1,
102,102101,10210108,1021010802,1,,,2,,,2,
102,102101,10210108,1021010802,2,2,,,,,2,
102,102101,10210108,1021010802,3,1,,1,13000,4,2,
102,102101,10210108,1021010802,4,2,,,,,2,
102,102101,10210108,1021010802,5,1,,2,,,2,
102,102101,10210108,1021010802,6,2,,,,,2,
102,102101,10210108,1021010802,7,2,,,,,2,
102,102101,10210108,1021010802,8,2,,,,,2,
102,102101,10210108,1021010802,9,2,,,,,2,
102,102101,10210108,1021010802,10,1,"tuition",1,50000,2,2,
102,102102,10210202,1021020205,1,,,2,,,2,
102,102102,10210202,1021020205,2,1,,1,12000,2,2,
102,102102,10210202,1021020205,3,1,,1,15000,4,2,
102,102102,10210202,1021020205,4,2,,,,,2,
102,102102,10210202,1021020205,5,1,,2,,,2,
102,102102,10210202,1021020205,6,2,,,,,2,
102,102102,10210202,1021020205,7,2,,,,,2,
102,102102,10210202,1021020205,8,2,,,,,2,
102,102102,10210202,1021020205,9,2,,,,,2,
102,102102,10210202,1021020205,10,2,,,,,2,
102,102102,10210205,1021020504,1,,,2,,,1,
102,102102,10210205,1021020504,2,1,,1,30000,2,1,
102,102102,10210205,1021020504,3,1,,1,25000,4,1,
102,102102,10210205,1021020504,4,2,,,,,1,
102,102102,10210205,1021020504,5,1,,2,,,1,
102,102102,10210205,1021020504,6,2,,,,,1,
102,102102,10210205,1021020504,7,2,,,,,1,
102,102102,10210205,1021020504,8,2,,,,,1,
102,102102,10210205,1021020504,9,2,,,,,1,
102,102102,10210205,1021020504,10,1,"TUITIO",1,125000,2,1,
102,102102,10210206,1021020601,1,,,2,,,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,2,1,,1,30000,2,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,3,1,,1,18000,4,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,4,2,,,,,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,5,2,,,,,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,6,2,,,,,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,7,2,,,,,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,8,2,,,,,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,9,2,,,,,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,10,2,,,,,3,"The school was still closed for holidays"
102,102102,10210208,1021020805,1,,,2,,,1,
102,102102,10210208,1021020805,2,1,,1,25000,2,1,
102,102102,10210208,1021020805,3,2,,,,,1,
102,102102,10210208,1021020805,4,2,,,,,1,
102,102102,10210208,1021020805,5,1,,2,,,1,
102,102102,10210208,1021020805,6,2,,,,,1,
102,102102,10210208,1021020805,7,2,,,,,1,
102,102102,10210208,1021020805,8,2,,,,,1,
102,102102,10210208,1021020805,9,2,,,,,1,
102,102102,10210208,1021020805,10,2,,,,,1,
102,102103,10210301,1021030109,1,,,2,,,1,
102,102103,10210301,1021030109,2,1,,1,10000,2,1,
102,102103,10210301,1021030109,3,2,,,,,1,
102,102103,10210301,1021030109,4,2,,,,,1,
102,102103,10210301,1021030109,5,2,,,,,1,
102,102103,10210301,1021030109,6,2,,,,,1,
102,102103,10210301,1021030109,7,2,,,,,1,
102,102103,10210301,1021030109,8,1,,2,,,1,
102,102103,10210301,1021030109,9,2,,,,,1,
102,102103,10210301,1021030109,10,2,,,,,1,
102,102103,10210302,1021030203,1,,,2,,,1,
102,102103,10210302,1021030203,2,1,,2,,,1,
102,102103,10210302,1021030203,3,2,,,,,1,
102,102103,10210302,1021030203,4,2,,,,,1,
102,102103,10210302,1021030203,5,2,,,,,1,
102,102103,10210302,1021030203,6,2,,,,,1,
102,102103,10210302,1021030203,7,2,,,,,1,
102,102103,10210302,1021030203,8,2,,,,,1,
102,102103,10210302,1021030203,9,2,,,,,1,
102,102103,10210302,1021030203,10,1,"MANTAINANCE FEE",1,20000,2,1,
102,102103,10210304,1021030412,1,,,,,,3,"holiday"
102,102103,10210304,1021030412,2,,,,,,3,"holiday"
102,102103,10210304,1021030412,3,,,,,,3,"holiday"
102,102103,10210304,1021030412,4,,,,,,3,"holiday"
102,102103,10210304,1021030412,5,,,,,,3,"holiday"
102,102103,10210304,1021030412,6,,,,,,3,"holiday"
102,102103,10210304,1021030412,7,,,,,,3,"holiday"
102,102103,10210304,1021030412,8,,,,,,3,"holiday"
102,102103,10210304,1021030412,9,,,,,,3,"holiday"
102,102103,10210304,1021030412,10,,,,,,3,"holiday"
102,102103,10210305,1021030504,1,,,1,10400,2,2,
102,102103,10210305,1021030504,2,1,,1,30000,2,2,
102,102103,10210305,1021030504,3,1,,1,16000,4,2,
102,102103,10210305,1021030504,4,2,,,,,2,
102,102103,10210305,1021030504,5,2,,,,,2,
102,102103,10210305,1021030504,6,2,,,,,2,
102,102103,10210305,1021030504,7,2,,,,,2,
102,102103,10210305,1021030504,8,2,,,,,2,
102,102103,10210305,1021030504,9,2,,,,,2,
102,102103,10210305,1021030504,10,2,,,,,2,
102,102103,10210305,1021030509,1,,,1,5000,2,3,"No Contact"
102,102103,10210305,1021030509,2,1,,1,20000,2,3,"No Contact"
102,102103,10210305,1021030509,3,2,,,,,3,"No Contact"
102,102103,10210305,1021030509,4,2,,,,,3,"No Contact"
102,102103,10210305,1021030509,5,2,,,,,3,"No Contact"
102,102103,10210305,1021030509,6,2,,,,,3,"No Contact"
102,102103,10210305,1021030509,7,2,,,,,3,"No Contact"
102,102103,10210305,1021030509,8,2,,,,,3,"No Contact"
102,102103,10210305,1021030509,9,2,,,,,3,"No Contact"
102,102103,10210305,1021030509,10,2,,,,,3,"No Contact"
102,102103,10210306,1021030606,1,,,1,2000,2,3,"school closed for holidays"
102,102103,10210306,1021030606,2,1,,1,20000,2,3,"school closed for holidays"
102,102103,10210306,1021030606,3,1,,1,20000,4,3,"school closed for holidays"
102,102103,10210306,1021030606,4,2,,,,,3,"school closed for holidays"
102,102103,10210306,1021030606,5,1,,2,,,3,"school closed for holidays"
102,102103,10210306,1021030606,6,2,,,,,3,"school closed for holidays"
102,102103,10210306,1021030606,7,2,,,,,3,"school closed for holidays"
102,102103,10210306,1021030606,8,2,,,,,3,"school closed for holidays"
102,102103,10210306,1021030606,9,2,,,,,3,"school closed for holidays"
102,102103,10210306,1021030606,10,1,"tuition",1,68500,2,3,"school closed for holidays"
102,102103,10210308,1021030803,1,,,2,,,,
102,102103,10210308,1021030803,2,1,,1,40000,2,,
102,102103,10210308,1021030803,3,1,,1,25000,4,,
102,102103,10210308,1021030803,4,2,,,,,,
102,102103,10210308,1021030803,5,2,,,,,,
102,102103,10210308,1021030803,6,2,,,,,,
102,102103,10210308,1021030803,7,2,,,,,,
102,102103,10210308,1021030803,8,2,,,,,,
102,102103,10210308,1021030803,9,2,,,,,,
102,102103,10210308,1021030803,10,1,"SCHOOL FEES",1,240000,2,,
102,102103,10210309,1021030904,1,,,1,15000,2,1,
102,102103,10210309,1021030904,1,,,1,15000,2,1,
102,102103,10210309,1021030904,2,1,,1,50000,2,1,
102,102103,10210309,1021030904,2,1,,1,50000,2,1,
102,102103,10210309,1021030904,3,1,,1,23000,4,1,
102,102103,10210309,1021030904,3,1,,1,23000,4,1,
102,102103,10210309,1021030904,4,2,,,,,1,
102,102103,10210309,1021030904,4,2,,,,,1,
102,102103,10210309,1021030904,5,2,,,,,1,
102,102103,10210309,1021030904,5,2,,,,,1,
102,102103,10210309,1021030904,6,2,,,,,1,
102,102103,10210309,1021030904,6,2,,,,,1,
102,102103,10210309,1021030904,7,2,,,,,1,
102,102103,10210309,1021030904,7,2,,,,,1,
102,102103,10210309,1021030904,8,2,,,,,1,
102,102103,10210309,1021030904,8,2,,,,,1,
102,102103,10210309,1021030904,9,2,,,,,1,
102,102103,10210309,1021030904,9,2,,,,,1,
102,102103,10210309,1021030904,10,1,"1",1,61000,2,1,
102,102103,10210309,1021030904,10,1,"1",1,61000,2,1,
102,102103,10210312,1021031208,1,,,1,10000,2,2,
102,102103,10210312,1021031208,2,1,,1,30000,2,2,
102,102103,10210312,1021031208,3,1,,1,20000,4,2,
102,102103,10210312,1021031208,4,2,,,,,2,
102,102103,10210312,1021031208,5,1,,2,,,2,
102,102103,10210312,1021031208,6,2,,,,,2,
102,102103,10210312,1021031208,7,2,,,,,2,
102,102103,10210312,1021031208,8,2,,,,,2,
102,102103,10210312,1021031208,9,2,,,,,2,
102,102103,10210312,1021031208,10,2,,,,,2,
102,102104,10210401,1021040102,1,,,2,,,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,2,1,,1,20000,2,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,3,1,,1,20000,4,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,4,2,,,,,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,5,1,,2,,,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,6,2,,,,,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,7,2,,,,,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,8,2,,,,,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,9,2,,,,,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,10,1,"REMEDIAL LESSONS",1,10000000,2,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210402,1021040203,1,,,,,,3,
102,102104,10210402,1021040203,2,,,,,,3,
102,102104,10210402,1021040203,3,,,,,,3,
102,102104,10210402,1021040203,4,,,,,,3,
102,102104,10210402,1021040203,5,,,,,,3,
102,102104,10210402,1021040203,6,,,,,,3,
102,102104,10210402,1021040203,7,,,,,,3,
102,102104,10210402,1021040203,8,,,,,,3,
102,102104,10210402,1021040203,9,,,,,,3,
102,102104,10210402,1021040203,10,,,,,,3,
102,102104,10210410,1021041002,1,,,2,,,2,
102,102104,10210410,1021041002,2,1,,1,20000,2,2,
102,102104,10210410,1021041002,3,1,,1,20000,4,2,
102,102104,10210410,1021041002,4,2,,,,,2,
102,102104,10210410,1021041002,5,2,,,,,2,
102,102104,10210410,1021041002,6,2,,,,,2,
102,102104,10210410,1021041002,7,2,,,,,2,
102,102104,10210410,1021041002,8,2,,,,,2,
102,102104,10210410,1021041002,9,2,,,,,2,
102,102104,10210410,1021041002,10,2,,,,,2,
102,102104,10210411,1021041118,1,,,,,,,
102,102104,10210411,1021041118,2,,,,,,,
102,102104,10210411,1021041118,3,,,,,,,
102,102104,10210411,1021041118,4,,,,,,,
102,102104,10210411,1021041118,5,,,,,,,
102,102104,10210411,1021041118,6,,,,,,,
102,102104,10210411,1021041118,7,,,,,,,
102,102104,10210411,1021041118,8,,,,,,,
102,102104,10210411,1021041118,9,,,,,,,
102,102104,10210411,1021041118,10,,,,,,,
102,102104,10210417,1021041701,1,,,2,,,3,"no one was present at school"
102,102104,10210417,1021041701,2,1,,1,78600,2,3,"no one was present at school"
102,102104,10210417,1021041701,3,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,4,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,5,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,6,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,7,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,8,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,9,2,,,,,3,"no one was present at school"
102,102104,10210417,1021041701,10,2,,,,,3,"no one was present at school"
