"District_Name","SubCounty","Parish","Villagecode","Year1_ID","C3F_Year","C3FQ34","C3FQ35A","C3FQ35B","C3FQ36A","C3FQ36B","Education_Response","Reason_Edu_Not_Done"
101,101204,10120402,1012040204,,,,,,,,3,"no school at the island"
102,102101,10210104,1021010402,1,3,1,12,13,8,8,1,
102,102101,10210104,1021010402,2,2,1,17,14,8,8,1,
102,102101,10210104,1021010402,3,1,1,18,20,8,8,1,
102,102101,10210108,1021010802,1,3,1,9,6,8,8,2,
102,102101,10210108,1021010802,2,2,1,3,5,8,8,2,
102,102101,10210108,1021010802,3,1,1,3,6,8,8,2,
102,102102,10210202,1021020205,1,4,1,0,4,,96,2,
102,102102,10210205,1021020504,1,3,1,6,4,8,8,1,
102,102102,10210205,1021020504,2,2,1,1,0,8,,1,
102,102102,10210205,1021020504,3,1,2,,,,,1,
102,102102,10210206,1021020601,1,4,1,5,5,8,8,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,2,3,1,2,0,8,,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,3,2,2,,,,,3,"The school was still closed for holidays"
102,102102,10210208,1021020805,1,3,1,6,4,8,8,1,
102,102102,10210208,1021020805,2,2,1,10,6,8,8,1,
102,102102,10210208,1021020805,3,1,1,5,7,8,8,1,
102,102103,10210301,1021030109,1,3,2,,,,,1,
102,102103,10210301,1021030109,2,2,1,0,3,,8,1,
102,102103,10210301,1021030109,3,1,1,2,3,9,8,1,
102,102103,10210302,1021030203,,,,,,,,1,
102,102103,10210304,1021030412,,,,,,,,3,"holiday"
102,102103,10210305,1021030504,1,3,1,5,5,9,8,2,
102,102103,10210305,1021030504,2,2,1,4,3,9,8,2,
102,102103,10210305,1021030504,3,1,1,2,1,8,4,2,
102,102103,10210305,1021030509,1,3,1,0,2,,5,3,"No Contact"
102,102103,10210306,1021030606,2,2,1,279,242,8,8,3,"school closed for holidays"
102,102103,10210308,1021030803,1,3,2,,,,,,
102,102103,10210308,1021030803,2,4,2,,,,,,
102,102103,10210308,1021030803,3,2,1,1,0,96,,,
102,102103,10210309,1021030904,1,3,1,13,9,8,8,1,
102,102103,10210309,1021030904,1,3,1,13,9,8,8,1,
102,102103,10210309,1021030904,2,4,1,11,12,8,8,1,
102,102103,10210309,1021030904,2,4,1,11,12,8,8,1,
102,102103,10210312,1021031208,1,3,1,1,1,9,96,2,
102,102103,10210312,1021031208,2,2,1,0,2,,96,2,
102,102103,10210312,1021031208,3,1,1,1,1,6,96,2,
102,102103,10210312,1021031208,4,4,1,1,1,96,96,2,
102,102104,10210401,1021040102,1,4,1,21,29,8,96,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,2,3,1,25,22,8,8,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,3,2,1,17,40,8,8,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210402,1021040203,,,,,,,,3,
