"District_Name","SubCounty","Parish","Villagecode","Class_ID","C3KQ52","C3KQ53","C3KQ54","C3KQ55A","C3KQ55B","C3KQ56","C3KQ57","C3KQ58","C3KQ59","C3KQ60","C3KQ61","C3KQ62","C3KQ63","C3KQ64","C3KQ65","C3KQ66","C3KQ52_V2","C3KQ53_V2","C3KQ54_V2","C3KQ55A_V2","C3KQ55B_V2","C3KQ56_V2","C3KQ57_V2","C3KQ58_V2","C3KQ59_V2","C3KQ60_V2","C3KQ61_V2","C3KQ62_V2","C3KQ63_V2","C3KQ64_V2","C3KQ65_V2","C3KQ66_V2","Education_Response","Reason_Edu_Not_Done"
101,101204,10120402,1012040204,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"no school at the island"
101,101204,10120402,1012040204,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"no school at the island"
102,102101,10210104,1021010402,1,,2,1,32,24,2,2,1,,,,1,50,1,1,1,,2,1,24,26,2,3,1,,,,1,46,1,1,1,1,
102,102101,10210104,1021010402,2,,2,1,21,29,1,2,1,,,,1,48,1,1,1,,2,1,29,30,2,5,1,,,,1,58,1,1,1,1,
102,102101,10210104,1021010402,3,,2,1,35,36,1,3,1,,,,1,64,1,1,1,,2,2,36,35,1,3,1,,,,1,65,1,1,1,1,
102,102101,10210104,1021010402,4,,1,2,33,38,1,3,1,,,,1,68,1,1,1,,1,2,30,36,1,3,1,,,,1,59,1,1,1,1,
102,102101,10210104,1021010402,5,,2,1,35,40,1,2,1,,,,1,65,1,1,1,,2,1,27,47,1,1,1,,,,1,64,1,1,1,1,
102,102101,10210104,1021010402,6,,1,1,31,28,1,2,1,,,,1,55,1,1,2,,2,1,24,39,1,3,1,,,,1,63,1,1,1,1,
102,102101,10210104,1021010402,7,,1,1,19,28,1,2,1,,,,1,45,1,1,1,,2,1,31,28,1,2,1,,,,1,43,1,1,1,1,
102,102101,10210108,1021010802,1,,2,2,20,26,2,5,1,,,,2,56,1,1,1,,,,,,,,,,,,,,,,,2,
102,102101,10210108,1021010802,2,,2,2,24,25,2,2,1,,,,2,56,1,1,1,,,,,,,,,,,,,,,,,2,
102,102101,10210108,1021010802,3,,2,2,27,25,1,3,1,,,,2,58,1,1,1,,,,,,,,,,,,,,,,,2,
102,102101,10210108,1021010802,4,,1,2,28,30,1,2,1,,,,2,61,1,1,1,,,,,,,,,,,,,,,,,2,
102,102101,10210108,1021010802,5,,2,3,28,40,1,2,1,,,,2,50,1,1,1,,,,,,,,,,,,,,,,,2,
102,102101,10210108,1021010802,6,,2,2,20,26,1,5,1,,,,2,42,1,1,1,,,,,,,,,,,,,,,,,2,
102,102101,10210108,1021010802,7,,1,2,23,20,1,5,1,,,,2,41,1,1,1,,,,,,,,,,,,,,,,,2,
102,102102,10210202,1021020205,1,,2,1,101,108,2,1,,,,,,,,,,,2,1,93,94,1,2,1,,,,1,173,3,3,1,2,
102,102102,10210202,1021020205,2,,2,2,47,43,1,2,,,,,,,,,,,2,2,35,45,1,2,1,,,,1,80,3,3,1,2,
102,102102,10210202,1021020205,3,,2,2,64,66,2,2,,,,,,,,,,,2,2,58,50,1,2,1,,,,1,119,3,3,1,2,
102,102102,10210202,1021020205,4,,1,1,56,89,2,2,,,,,,,,,,,1,1,63,79,1,2,1,,,,1,126,3,3,,2,
102,102102,10210202,1021020205,5,,1,1,61,89,2,2,,,,,,,,,,,1,1,43,87,1,3,1,,,,1,123,3,3,1,2,
102,102102,10210202,1021020205,6,,2,1,63,74,2,2,,,,,,,,,,,1,1,55,74,1,2,1,,,,1,116,3,2,1,2,
102,102102,10210202,1021020205,7,,1,1,69,83,2,2,,,,,,,,,,,1,1,57,87,1,2,1,,,,1,118,2,2,1,2,
102,102102,10210205,1021020504,1,,2,2,21,15,2,5,1,,,,2,36,1,1,1,,,,,,,,,,,,,,,,,1,
102,102102,10210205,1021020504,2,,2,2,13,16,2,5,1,,,,2,27,1,1,1,,,,,,,,,,,,,,,,,1,
102,102102,10210205,1021020504,3,,1,2,12,14,2,4,1,,,,2,24,1,1,1,,,,,,,,,,,,,,,,,1,
102,102102,10210205,1021020504,4,,1,2,9,12,1,4,1,,,,2,20,1,1,1,,,,,,,,,,,,,,,,,1,
102,102102,10210205,1021020504,5,,1,2,16,21,1,4,1,,,,2,37,1,1,1,,,,,,,,,,,,,,,,,1,
102,102102,10210205,1021020504,6,,1,2,16,10,1,3,1,,,,2,26,1,1,1,,,,,,,,,,,,,,,,,1,
102,102102,10210205,1021020504,7,,1,2,8,14,1,3,1,,,,2,22,1,1,1,,,,,,,,,,,,,,,,,1,
102,102102,10210206,1021020601,1,,2,2,13,15,2,5,1,,,,2,27,1,1,1,,2,2,13,15,2,5,1,,,,2,27,1,1,1,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,2,,2,2,14,17,2,5,1,,,,2,27,1,1,1,,2,2,14,17,2,5,1,,,,2,27,1,1,1,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,3,,1,2,15,19,2,5,1,,,,2,34,1,1,1,,1,2,15,19,2,5,1,,,,2,34,1,1,1,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,4,,1,2,11,18,1,4,1,,,,2,27,1,1,1,,1,2,11,18,1,4,1,,,,2,27,1,1,1,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,5,,1,2,13,13,1,3,1,,,,2,26,1,1,1,,1,2,13,13,1,3,1,,,,2,26,1,1,1,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,6,,1,2,13,17,1,3,1,,,,2,30,1,1,1,,1,2,13,17,1,3,1,,,,2,30,1,1,1,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,7,,1,2,17,18,1,3,1,,,,2,35,1,1,1,,1,2,17,18,1,3,1,,,,2,35,1,1,1,3,"The school was still closed for holidays"
102,102102,10210208,1021020805,1,,2,2,116,111,2,5,1,,,,1,175,1,1,1,,2,2,83,76,2,4,1,,,,1,113,1,1,1,1,
102,102102,10210208,1021020805,2,,2,1,99,109,2,5,1,,,,1,176,1,1,1,,1,2,102,104,2,3,1,,,,1,138,1,1,1,1,
102,102102,10210208,1021020805,3,,2,1,106,118,1,1,1,,,,1,174,1,1,1,,2,1,91,123,2,3,1,,,,1,202,1,1,1,1,
102,102102,10210208,1021020805,4,,1,2,93,131,1,1,1,,,,1,164,1,1,1,,1,2,103,113,2,3,1,,,,1,200,1,1,1,1,
102,102102,10210208,1021020805,5,,2,1,109,98,1,1,1,,,,1,177,1,1,1,,1,1,80,120,2,3,1,,,,1,181,1,1,1,1,
102,102102,10210208,1021020805,6,,1,1,81,89,1,1,1,,,,1,135,1,1,1,,1,1,100,94,2,2,1,,,,1,163,1,1,1,1,
102,102102,10210208,1021020805,7,,1,2,59,70,1,1,1,,,,1,125,1,1,1,,1,1,69,76,1,2,1,,,,1,112,1,1,1,1,
102,102103,10210301,1021030109,1,,2,2,26,29,2,3,1,,,,1,44,1,3,2,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,2,,2,1,32,30,2,3,1,,,,1,48,1,2,2,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,3,,1,2,44,46,1,3,1,,,,1,74,1,1,1,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,4,,2,1,38,47,1,3,1,,,,1,79,1,1,1,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,5,,2,1,38,50,1,1,1,,,,1,74,1,2,1,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,6,,1,1,44,66,1,2,1,,,,1,83,1,2,1,,,,,,,,,,,,,,,,,1,
102,102103,10210301,1021030109,7,,2,2,17,39,1,1,1,,,,1,40,1,1,1,,,,,,,,,,,,,,,,,1,
102,102103,10210302,1021030203,1,,2,2,12,13,2,3,,,,,,,,,,,2,2,11,11,2,3,1,,,,2,6,1,2,1,1,
102,102103,10210302,1021030203,2,,2,2,14,16,2,3,,,,,,,,,,,2,2,10,16,2,3,1,,,,2,10,1,2,1,1,
102,102103,10210302,1021030203,3,,2,2,8,12,2,3,,,,,,,,,,,2,2,13,11,2,3,1,,,,2,8,1,1,1,1,
102,102103,10210302,1021030203,4,,1,1,13,14,2,3,,,,,,,,,,,1,3,15,7,2,3,1,,,,2,9,1,1,,1,
102,102103,10210302,1021030203,5,,2,2,12,10,2,3,,,,,,,,,,,1,1,16,12,2,3,1,,,,2,10,1,1,1,1,
102,102103,10210302,1021030203,6,,1,2,9,12,2,3,,,,,,,,,,,1,2,12,20,2,3,1,,,,2,17,1,1,1,1,
102,102103,10210302,1021030203,7,,,,,,,,,,,,,,,,,,1,3,6,7,2,3,1,,,,2,13,1,1,1,1,
102,102103,10210304,1021030412,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210304,1021030412,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"holiday"
102,102103,10210305,1021030504,1,,2,1,29,21,1,4,1,,,,1,43,1,3,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,2,,2,1,25,15,1,4,1,,,,1,29,1,1,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,3,,2,1,6,16,1,1,1,,,,1,21,1,3,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,4,,2,1,27,17,1,4,1,,,,1,32,1,3,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,5,,2,1,12,25,1,4,1,,,,1,32,1,2,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,6,,1,1,30,20,1,4,1,,,,1,50,1,2,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030504,7,,1,2,12,18,1,3,2,1,96,,1,26,1,2,1,,,,,,,,,,,,,,,,,2,
102,102103,10210305,1021030509,1,,,,,,,,,,,,,,,,,,2,2,28,36,2,4,1,,,,1,49,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,2,,,,,,,,,,,,,,,,,,2,1,39,33,1,4,1,,,,1,26,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,3,,,,,,,,,,,,,,,,,,2,2,47,52,1,4,1,,,,1,54,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,4,,,,,,,,,,,,,,,,,,2,2,35,43,1,4,1,,,,1,56,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,5,,,,,,,,,,,,,,,,,,2,1,35,53,1,4,1,,,,1,84,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,6,,,,,,,,,,,,,,,,,,2,1,31,47,1,4,1,,,,1,50,1,1,1,3,"No Contact"
102,102103,10210305,1021030509,7,,,,,,,,,,,,,,,,,,1,2,27,27,1,4,1,,,,1,54,1,1,1,3,"No Contact"
102,102103,10210306,1021030606,1,,2,2,20,36,2,4,1,,,,1,53,1,1,1,,2,2,20,36,2,4,1,,,,1,53,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,2,,2,2,13,39,1,3,1,,,,1,49,1,1,1,,2,2,13,39,1,3,1,,,,1,49,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,3,,2,1,28,26,2,4,1,,,,1,53,1,1,1,,2,1,28,26,1,4,1,,,,1,53,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,4,,1,1,25,26,1,3,1,,,,2,70,1,1,1,,1,1,25,26,1,3,1,,,,1,70,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,5,,2,1,20,43,1,4,1,,,,1,58,1,1,1,,2,1,20,43,1,4,1,,,,1,58,1,1,1,3,"school closed for holidays"
102,102103,10210306,1021030606,6,,1,1,15,34,1,3,1,,,,1,63,1,1,1,,1,1,15,34,1,3,1,,,,1,63,1,1,1,3,"school closed for holidays"
