"District_Name","SubCounty","Parish","Villagecode","C3LQ64","C3LQ65","C3LQ66","C3LQ67","Education_Response","Reason_Edu_Not_Done"
101,101204,10120402,1012040204,,,,,3,"no school at the island"
102,102101,10210104,1021010402,2,2,,,1,
102,102101,10210108,1021010802,2,2,,,2,
102,102102,10210202,1021020205,2,2,,,2,
102,102102,10210205,1021020504,2,2,,,1,
102,102102,10210206,1021020601,1,2,,,3,"The school was still closed for holidays"
102,102102,10210208,1021020805,1,2,,,1,
102,102103,10210301,1021030109,1,2,,,1,
102,102103,10210302,1021030203,2,2,,,1,
102,102103,10210304,1021030412,,,,,3,"holiday"
102,102103,10210305,1021030504,2,2,,,2,
102,102103,10210305,1021030509,96,2,,,3,"No Contact"
102,102103,10210306,1021030606,2,2,,,3,"school closed for holidays"
102,102103,10210308,1021030803,4,2,,,,
102,102103,10210309,1021030904,3,1,3,4,1,
102,102103,10210309,1021030904,3,1,3,4,1,
102,102103,10210309,1021030904,2,1,3,4,1,
102,102103,10210309,1021030904,2,1,3,4,1,
102,102103,10210312,1021031208,1,2,,,2,
102,102104,10210401,1021040102,1,2,,,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210402,1021040203,,,,,3,
102,102104,10210410,1021041002,1,2,,,2,
102,102104,10210411,1021041118,,,,,,
102,102104,10210417,1021041701,1,2,,,3,"no one was present at school"
102,102104,10210419,1021041903,2,2,,,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102105,10210501,1021050106,96,2,,,1,
102,102105,10210503,1021050307,,,,,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210504,1021050405,2,2,,,3,
102,102105,10210510,1021051004,,,,,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210513,1021051305,1,2,,,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210515,1021051506,2,2,,,2,
102,102105,10210518,1021051832,1,2,,,1,
103,103105,10310505,1031050505,2,2,,,3,"On holiday"
104,104102,10410204,1041020405,2,2,,,1,
104,104104,10410403,1041040304,96,2,,,2,
104,104105,10410504,1041050403,96,2,,,1,
104,104208,10420804,1042080404,96,2,,,2,
105,105105,10510502,1051050201,2,2,,,2,
106,106101,10610101,1061010108,1,2,,,1,
106,106101,10610109,1061010902,96,2,,,3,"On holiday"
106,106106,10610606,1061060602,96,2,,,1,
107,107105,10710503,1071050302,1,2,,,1,
107,107105,10710505,1071050503,2,2,,,1,
107,107202,10720206,1072020601,2,1,3,96,1,
107,107302,10730203,1073020305,96,2,,,3,"On holiday"
107,107305,10730507,1073050702,2,2,,,3,"On holiday"
108,108106,10810603,1081060309,2,2,,,3,"On holiday"
108,108301,10830101,1083010101,,,,,3,"On holiday"
108,108301,10830105,1083010505,96,2,,,3,"On holiday"
