"District_Name","SubCounty","Parish","Villagecode","C4BQ16","C4BQ17","C4BQ18","C4BQ19","C4BQ20","C4BQ21","C4BQ22","C4BQ23","C4BQ24","C4BQ25","C4BQ26","C4BQ27","C4BQ28","C4BQ29","C4BQ30","C4BQ31","C4BQ32","C4BQ33","C4BQ34","C4BQ35","C4BQ36","C4BQ37","C4BQ38","C4BQ39","C4BQ40","C4BQ41","C4BQ42","C4BQ43","C4BQ44","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"no health centre at the island"
102,102101,10210104,1021010402,0,1,0,2,2,1,,,2,2,0.5,2,0,1,3,3,1,2,1,1,1,1,1,1,2,2,1,1,1,2,
102,102101,10210108,1021010802,0,1,0,2,2,1,,,2,2,0.5,2,0,1,3,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1,
102,102102,10210202,1021020205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102102,10210205,1021020504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,4,1,7,2,1,2,1,4,1,2,0.5,1,0.100000001490116,2,3,3,1,2,1,1,1,1,1,1,2,2,1,1,2,1,
102,102102,10210208,1021020805,6,1,0,2,1,1,,,2,2,2,3,0.5,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,1,1,
102,102103,10210301,1021030109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,10,1,4,2,1,1,,,2,2,6,4,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,
102,102103,10210304,1021030412,10,1,4,2,1,1,,,2,2,6,4,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,3,"done by another team in trip 1"
102,102103,10210305,1021030504,10,1,1,1,2,1,,,2,2,2,3,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,
102,102103,10210305,1021030509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"the community uses a private hospital"
102,102103,10210308,1021030803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102103,10210309,1021030904,10,1,4,2,1,1,,,2,2,6,4,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,
102,102103,10210309,1021030904,10,1,4,2,1,1,,,2,2,6,4,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,
102,102103,10210312,1021031208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,20,1,0,1,2,1,,,2,2,2,2,0.5,1,1,3,1,2,1,1,1,1,1,1,2,2,1,1,1,1,
102,102104,10210402,1021040203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
102,102104,10210410,1021041002,6,1,0,2,2,1,,,2,2,2,2,0.5,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,1,2,
102,102104,10210411,1021041118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,102104,10210417,1021041701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102105,10210501,1021050106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"the community uses Naguru  Hospital"
102,102105,10210503,1021050307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210504,1021050405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
102,102105,10210510,1021051004,6,1,0,2,1,1,,,1,2,2,3,0.5,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,
102,102105,10210513,1021051305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210515,1021051506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210518,1021051832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Available facility is a hospital NAGURU"
103,103105,10310505,1031050505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Hospital level"
104,104102,10410204,1041020405,11,1,2,1,2,1,,,2,2,4,18,4,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
104,104104,10410403,1041040304,6,3,,1,1,2,1,6,2,2,40,44,6,1,3,2,1,2,1,1,1,1,1,1,2,2,1,2,2,1,
104,104105,10410504,1041050403,8,1,2,2,1,2,1,16,2,2,0.400000005960464,35.2000007629395,0.5,1,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,
104,104208,10420804,1042080404,3,1,3,2,2,2,1,6,2,2,1.5,7,1.5,1,3,3,1,2,1,1,1,1,1,1,2,2,1,1,1,1,
105,105105,10510502,1051050201,1,3,,2,2,2,2,,2,2,23,13,1,2,3,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,
106,106101,10610101,1061010108,10,1,2,2,1,2,2,,2,2,8,15,0.200000002980232,1,3,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,
106,106101,10610109,1061010902,10,1,2,2,1,2,2,,2,2,8,15,0.200000002980232,1,3,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,
106,106106,10610606,1061060602,8,1,2,2,1,2,1,12,2,2,12,12,5,2,3,2,1,2,1,1,1,1,1,2,2,2,1,1,2,1,
107,107105,10710503,1071050302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Refferal Hospital"
107,107202,10720206,1072020601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"Hospital"
107,107302,10730203,1073020305,5,3,,2,1,2,1,12,2,2,12,12,0.200000002980232,2,3,2,2,2,1,1,2,1,2,2,1,2,1,1,2,1,
107,107305,10730507,1073050702,10,1,4,2,1,2,1,12,2,1,47,12,0.100000001490116,2,3,2,1,2,2,1,1,1,1,1,2,2,1,1,1,1,
108,108106,10810603,1081060309,5,3,,2,2,2,2,,2,2,11,11,0.5,2,3,2,2,2,1,1,1,1,1,2,2,1,1,1,2,1,
108,108301,10830101,1083010101,10,1,2,2,2,2,2,,2,2,0.5,9,0.5,2,3,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,
108,108301,10830105,1083010505,10,1,2,2,2,2,2,,2,2,0.5,9,0.5,2,3,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,
108,108305,10830502,1083050204,5,1,5,2,2,2,2,,2,2,20,20,0,1,3,2,1,2,1,1,1,1,1,1,2,1,2,2,2,1,
110,110105,11010501,1101050107,0,3,,2,2,2,2,,2,2,65,45,2,2,3,2,2,2,1,1,2,2,1,2,1,2,1,1,2,3,"Facility not open. Staff absenteeism."
110,110203,11020306,1102030601,2,3,,2,1,2,2,,2,2,30,68,0.300000011920929,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,
110,110204,11020401,1102040107,0,3,,2,2,2,2,,2,2,22,10,0.100000001490116,2,3,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,
110,110206,11020603,1102060309,5,3,,2,2,2,2,,2,2,40,20,2,2,3,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,
110,110207,11020704,1102070403,1,3,,2,2,2,2,,2,2,22,22,0.800000011920929,2,3,3,2,2,1,1,2,2,1,2,1,2,2,1,2,1,
110,110305,11030501,1103050102,0,3,,2,2,2,2,,2,2,20,40,0.5,2,3,2,2,2,1,1,2,1,1,2,1,2,1,1,2,1,
110,110306,11030601,1103060102,8,1,2,1,2,2,2,,1,2,0,10,0,2,3,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,
111,111102,11110201,1111020105,3,3,,1,2,1,,,2,2,40,40,1,1,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,
111,111202,11120204,1112020403,4,1,3,1,2,2,2,,2,2,0,16,0,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,
111,111202,11120206,1112020618,4,1,3,1,2,2,2,,2,2,0.5,16,0.5,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,
112,112102,11210203,1121020302,3,3,,2,1,2,2,,2,2,90,90,0.5,2,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,
