"District_Name","SubCounty","Parish","Villagecode","HSD_ID","C4H_Element","C4H_Month","C4H_Year","C4HQ82","C4HQ83","C4HQ84","C4HQ85","C4HQ86","C4H_Element_V2","C4H_Month_V2","C4H_Year_V2","C4HQ82_V2","C4HQ83_V2","C4HQ84_V2","C4HQ85_V2","C4HQ86_V2","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,,,,,,,,,,,,,,,,,,3,"no health centre at the island"
102,102101,10210104,1021010402,1,1,1,4,3436,"03436","2658",1,"SOME REGISTER MISSING",,,,,,,,,2,
102,102101,10210104,1021010402,2,1,2,4,6483,"4262","4262",1,"SOME REGISTERS MISSING",,,,,,,,,2,
102,102101,10210104,1021010402,3,3,1,4,137,"137","118",1,"POOR TALLYING",,,,,,,,,2,
102,102101,10210104,1021010402,4,3,2,4,103,"103","106",1,"POOR TALLYING",,,,,,,,,2,
102,102101,10210108,1021010802,1,1,1,4,3436,"3436","2658",1,"REGISTERS TOR OTHER CLINICS NOT FOUND",1,3,4,5444,"5444",4223,1,"teenage centre registre not got",1,
102,102101,10210108,1021010802,2,1,2,4,6483,"6483","4262",1,"REGISTER FPR OTHER CLINICS NOT FOUND",1,4,4,4482,"4482",448,1,"teenage centre register  and some OPD registers not found",1,
102,102101,10210108,1021010802,3,3,1,4,137,"137","118",1,"POOR TALLYING",3,3,4,127,"127",121,1,"poor recording",1,
102,102101,10210108,1021010802,4,3,2,4,103,"103","106",1,"POOR TALLYING",3,4,4,127,"127",127,2,,1,
102,102102,10210202,1021020205,,,,,,,,,,,,,,,,,,,
102,102102,10210205,1021020504,,,,,,,,,,,,,,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,1,1,1,4,439,"439","460",1,"REATTENDENCE",1,3,4,,,,,,1,
102,102102,10210206,1021020601,2,1,2,4,454,"454","466",1,"REATTENDENCES",1,4,4,,,,,,1,
102,102102,10210206,1021020601,3,2,1,4,53,"53","53",2,,2,3,4,54,"54",54,2,,1,
102,102102,10210206,1021020601,4,2,2,4,53,"53","53",2,,2,4,4,,,,,,1,
102,102102,10210206,1021020601,5,3,1,4,65,"65","65",2,,3,3,4,,,,,,1,
102,102102,10210206,1021020601,6,3,2,4,39,"39","39",2,,3,4,4,15,"15",15,,,1,
