"District_Name","SubCounty","Parish","Villagecode","C4HMIS2","C4HQ87","Survey_Visit","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,,,2,3,"no health centre at the island"
102,102101,10210104,1021010402,"CENTRAL",,2,2,
102,102101,10210108,1021010802,"CENTRAL",,2,1,
102,102102,10210202,1021020205,,,2,,
102,102102,10210205,1021020504,,,2,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,"KAWEMPE H/C1V",,2,1,
102,102102,10210208,1021020805,"Kawempe North",,2,1,
102,102103,10210301,1021030109,,,2,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,"KCCA",,2,1,
102,102103,10210304,1021030412,"KCCA",,2,3,"done by another team in trip 1"
102,102103,10210305,1021030504,"RUBAGA  HSD","MISMATCH  IS  BECAUSE  AT TIMES PEOPLE WHO COULD HAVE GOT  NUMBERS AT TIMES BECOME IMPATIENT WAITING IN THE LINE  AND GO  SO THIS AFFECTS  NUMBERING  IN THE  REGISTER.",1,1,
102,102103,10210305,1021030509,,,2,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,,,2,3,"the community uses a private hospital"
102,102103,10210308,1021030803,,,2,,
102,102103,10210309,1021030904,"105",,1,1,
102,102103,10210309,1021030904,"105",,2,1,
102,102103,10210312,1021031208,,,2,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,"MAKINDYE",,2,1,
102,102104,10210402,1021040203,,,1,3,
102,102104,10210410,1021041002,"KCCA",,2,2,
102,102104,10210411,1021041118,,,2,,
102,102104,10210417,1021041701,,,2,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,,,2,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102105,10210501,1021050106,,,2,3,"the community uses Naguru  Hospital"
102,102105,10210503,1021050307,,,2,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210504,1021050405,,,2,3,
102,102105,10210510,1021051004,"KAWEMPE NORTH",,2,1,
102,102105,10210513,1021051305,,,2,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210515,1021051506,,,2,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210518,1021051832,,,2,3,"Available facility is a hospital NAGURU"
103,103105,10310505,1031050505,,,2,3,"Hospital level"
104,104102,10410204,1041020405,"Bamunanika Health Sub district",,2,1,
104,104104,10410403,1041040304,"BAMUNANIKA",,2,1,
104,104105,10410504,1041050403,"BAMUNANIKA",,2,1,
104,104208,10420804,1042080404,"KATIKAMU",,2,1,
105,105105,10510502,1051050201,"Kyotera Health Sub district","No database facility report",2,1,
106,106101,10610101,1061010108,"Mawokota South",,2,1,
106,106101,10610109,1061010902,"Mawokota South",,2,1,
