"District_Name","SubCounty","Parish","Villagecode","Health_Water_ID","C4KQ103","C4KQ103_Other","C4KQ104","C4KQ105","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,1,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,2,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,3,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,4,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,5,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,6,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,7,,,,,3,"no health centre at the island"
102,102101,10210104,1021010402,1,1,,0,1,2,
102,102101,10210104,1021010402,2,4,,,,2,
102,102101,10210104,1021010402,3,4,,,,2,
102,102101,10210104,1021010402,4,2,,0,2,2,
102,102101,10210104,1021010402,5,4,,,,2,
102,102101,10210104,1021010402,6,4,,,,2,
102,102101,10210104,1021010402,7,4,,,,2,
102,102101,10210108,1021010802,1,1,,0,1,1,
102,102101,10210108,1021010802,2,4,,,,1,
102,102101,10210108,1021010802,3,4,,,,1,
102,102101,10210108,1021010802,4,2,,0,2,1,
102,102101,10210108,1021010802,5,4,,,,1,
102,102101,10210108,1021010802,6,4,,,,1,
102,102101,10210108,1021010802,7,4,,,,1,
102,102102,10210202,1021020205,1,,,,,,
102,102102,10210202,1021020205,2,,,,,,
102,102102,10210202,1021020205,3,,,,,,
102,102102,10210202,1021020205,4,,,,,,
102,102102,10210202,1021020205,5,,,,,,
102,102102,10210202,1021020205,6,,,,,,
102,102102,10210202,1021020205,7,,,,,,
102,102102,10210205,1021020504,1,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,2,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,3,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,4,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,5,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,6,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,7,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,1,1,,0,1,1,
102,102102,10210206,1021020601,2,4,,,,1,
102,102102,10210206,1021020601,3,4,,,,1,
102,102102,10210206,1021020601,4,2,,0,2,1,
102,102102,10210206,1021020601,5,4,,,,1,
102,102102,10210206,1021020601,6,4,,,,1,
102,102102,10210206,1021020601,7,4,,,,1,
102,102102,10210208,1021020805,1,1,,0,1,1,
102,102102,10210208,1021020805,2,4,,,,1,
102,102102,10210208,1021020805,3,4,,,,1,
102,102102,10210208,1021020805,4,2,,0,2,1,
102,102102,10210208,1021020805,5,4,,,,1,
102,102102,10210208,1021020805,6,4,,,,1,
102,102102,10210208,1021020805,7,4,,,,1,
102,102103,10210301,1021030109,1,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,2,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,3,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,4,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,5,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,6,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,7,,,,,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,1,1,,0,1,1,
102,102103,10210302,1021030203,2,4,,,,1,
102,102103,10210302,1021030203,3,4,,,,1,
102,102103,10210302,1021030203,4,2,,0,2,1,
102,102103,10210302,1021030203,5,4,,,,1,
102,102103,10210302,1021030203,6,4,,,,1,
