"District_Name","SubCounty","Parish","Villagecode","C4NQ113","C4NQ114","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,,,3,"no health centre at the island"
102,102101,10210104,1021010402,1,1,2,
102,102101,10210108,1021010802,1,1,1,
102,102102,10210202,1021020205,,,,
102,102102,10210205,1021020504,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,1,1,1,
102,102102,10210208,1021020805,1,1,1,
102,102103,10210301,1021030109,,,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,1,1,1,
102,102103,10210304,1021030412,1,1,3,"done by another team in trip 1"
102,102103,10210305,1021030504,2,,1,
102,102103,10210305,1021030509,,,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,,,3,"the community uses a private hospital"
102,102103,10210308,1021030803,,,,
102,102103,10210309,1021030904,1,1,1,
102,102103,10210309,1021030904,1,1,1,
102,102103,10210312,1021031208,,,3,"THE COMMUNITY MAINLY USES LUBAGA HOSPITAL"
102,102104,10210401,1021040102,1,1,1,
102,102104,10210402,1021040203,,,3,
102,102104,10210410,1021041002,1,1,2,
102,102104,10210411,1021041118,,,,
102,102104,10210417,1021041701,,,3,"they mainly use Nsambya hospital"
102,102104,10210419,1021041903,,,3,"HEALTH CENTRE DEMOLISHED FOR RENOVATION"
102,102105,10210501,1021050106,,,3,"the community uses Naguru  Hospital"
102,102105,10210503,1021050307,,,3,"THEY USE NAGURU HOSPITAL"
102,102105,10210504,1021050405,,,3,
102,102105,10210510,1021051004,1,1,1,
102,102105,10210513,1021051305,,,3,"THE COMMUNITY MEMBERS ACCESS THEIR TREATMENT FROM NAGURU HOSPITAL"
102,102105,10210515,1021051506,,,3,"THE COMMUNITY USES THE HOSPITAL HENCE NOT DATA IS COLLECTED FROM ."
102,102105,10210518,1021051832,,,3,"Available facility is a hospital NAGURU"
103,103105,10310505,1031050505,,,3,"Hospital level"
104,104102,10410204,1041020405,1,1,1,
104,104104,10410403,1041040304,1,2,1,
104,104105,10410504,1041050403,1,1,1,
104,104208,10420804,1042080404,1,1,1,
105,105105,10510502,1051050201,1,1,1,
106,106101,10610101,1061010108,1,1,1,
106,106101,10610109,1061010902,1,1,1,
106,106106,10610606,1061060602,2,,1,
107,107105,10710503,1071050302,,,3,"Refferal Hospital"
107,107105,10710505,1071050503,,,3,"Refferal Hospital"
107,107202,10720206,1072020601,,,3,"Hospital"
107,107302,10730203,1073020305,1,1,1,
107,107305,10730507,1073050702,1,1,1,
108,108106,10810603,1081060309,1,2,1,
108,108301,10830101,1083010101,1,1,1,
108,108301,10830105,1083010505,1,1,1,
108,108305,10830502,1083050204,1,1,1,
110,110105,11010501,1101050107,1,1,3,"Facility not open. Staff absenteeism."
110,110203,11020306,1102030601,1,1,1,
110,110204,11020401,1102040107,1,2,1,
110,110206,11020603,1102060309,1,2,1,
110,110207,11020704,1102070403,1,1,1,
110,110305,11030501,1103050102,1,1,1,
110,110306,11030601,1103060102,1,1,2,
111,111102,11110201,1111020105,1,1,2,
111,111202,11120204,1112020403,1,1,1,
111,111202,11120206,1112020618,1,1,1,
112,112102,11210203,1121020302,1,1,1,
112,112104,11210402,1121040209,1,1,1,
112,112203,11220301,1122030104,1,1,1,
112,112204,11220403,1122040303,,,3,"They use the main Hospital KAYUNGA HOSPITAL"
113,113105,11310504,1131050402,1,1,1,
113,113105,11310505,1131050505,1,1,3,"The community members mainly go to Entebbe hospital"
113,113111,11311102,1131110205,1,1,1,
113,113112,11311203,1131120307,1,1,1,
113,113113,11311302,1131130204,,,3,"Hospital Level"
113,113113,11311306,1131130602,1,2,1,
113,113303,11330301,1133030101,,,,
113,113303,11330301,1133030109,1,1,1,
113,113303,11330305,1133030504,2,,1,
113,113304,11330403,1133040308,,,3,"THE ONE RESPONSIBLE FOR ANSWERING WASNT PRESENT. WILL DO IT NEXT VISIT"
113,113306,11330606,1133060601,1,1,3,"INCHARGE NEEDED AN INTRODUCTORY LETTER FROM THE DISTRICT HEALTH OFFFICER"
113,113307,11330701,1133070102,1,1,1,
115,115103,11510302,1151030204,1,1,1,
115,115104,11510403,1151040307,1,1,1,
115,115202,11520209,1152020907,1,1,1,
115,115203,11520307,1152030702,1,1,1,
115,115205,11520504,1152050405,1,1,1,
115,115207,11520703,1152070306,1,1,1,
116,116102,11610205,1161020501,1,1,1,
117,117103,11710308,1171030802,,,3,"Refferal Hospital"
117,117104,11710405,1171040504,,,3,"Refferal hospital"
