"District_Name","SubCounty","Parish","Villagecode","medical_staff_ID","C4PQ118","C4PQ119","C4PQ120","C4PQ121","C4PQ122_1","C4PQ122_2","C4PQ123","C4PQ117_V2","C4PQ118_V2","C4PQ119_V2","C4PQ120_V2","C4PQ121_V2","C4PQ122_1_V2","C4PQ122_2_V2","C4PQ123_V2","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,,,,,,,,,,,,,,,,,3,"no health centre at the island"
102,102101,10210104,1021010402,,,,,,,,,,,,,,,,,2,
102,102101,10210108,1021010802,,,,,,,,,,,,,,,,,1,
102,102102,10210202,1021020205,,,,,,,,,,,,,,,,,,
102,102102,10210205,1021020504,,,,,,,,,,,,,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,1,2,3,1,,,,2,,2,3,1,,,,2,1,
102,102102,10210206,1021020601,2,2,3,1,,,,2,,2,3,1,,,,2,1,
102,102102,10210206,1021020601,3,2,14,1,,,,2,,2,5,1,,,,2,1,
102,102102,10210206,1021020601,4,2,8,1,,,,2,,2,8,1,,,,2,1,
102,102102,10210206,1021020601,5,2,8,1,,,,2,,2,8,1,,,,2,1,
102,102102,10210206,1021020601,6,2,16,1,,,,2,,2,14,1,,,,2,1,
102,102102,10210208,1021020805,1,2,96,2,1,3,,1,,,,,,,,,1,
102,102102,10210208,1021020805,2,2,2,2,1,5,,1,,,,,,,,,1,
102,102102,10210208,1021020805,3,2,96,2,1,3,,1,,,,,,,,,1,
102,102102,10210208,1021020805,4,2,96,2,1,10,,1,,,,,,,,,1,
102,102102,10210208,1021020805,5,2,1,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,6,1,1,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,7,2,14,2,1,5,,1,,,,,,,,,1,
102,102102,10210208,1021020805,8,2,96,2,1,10,,1,,,,,,,,,1,
102,102102,10210208,1021020805,9,2,8,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,10,2,8,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,11,1,96,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,12,2,4,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,13,2,4,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,14,2,4,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,15,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,16,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,17,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,18,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,19,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,20,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,21,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,22,1,6,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,23,2,6,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,24,2,6,2,1,1,,1,,,,,,,,,1,
102,102102,10210208,1021020805,25,1,6,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,26,2,6,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,27,2,6,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,28,1,6,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,29,2,96,2,1,1,,1,,,,,,,,,1,
102,102102,10210208,1021020805,30,1,1,2,1,9,,1,,,,,,,,,1,
102,102102,10210208,1021020805,31,1,1,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,32,1,13,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,33,2,7,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,34,2,4,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,35,2,7,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,36,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,37,2,3,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,38,2,6,2,1,1,,1,,,,,,,,,1,
102,102102,10210208,1021020805,39,2,6,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,40,2,8,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,41,2,8,2,1,1,,1,,,,,,,,,1,
102,102102,10210208,1021020805,42,2,8,2,1,10,,1,,,,,,,,,1,
102,102102,10210208,1021020805,43,2,8,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,44,2,14,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,45,2,16,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,46,1,16,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,47,1,16,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,48,2,16,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,49,2,16,1,,,,1,,,,,,,,,1,
102,102102,10210208,1021020805,50,2,16,1,,,,1,,,,,,,,,1,
102,102103,10210301,1021030109,,,,,,,,,,,,,,,,,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,1,1,2,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,2,1,2,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,3,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,4,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,5,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,6,1,5,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,7,1,1,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,8,2,1,2,1,2,,1,,,,,,,,,1,
102,102103,10210302,1021030203,9,2,1,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,10,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,11,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,12,2,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210302,1021030203,13,1,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210302,1021030203,14,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,15,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,16,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,17,1,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,18,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,19,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,20,2,6,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,21,2,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,22,1,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,23,2,96,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,24,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,25,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,26,2,7,2,1,2,,1,,,,,,,,,1,
102,102103,10210302,1021030203,27,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,28,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,29,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,30,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,31,2,6,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,32,1,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,33,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,34,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,35,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210302,1021030203,36,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,37,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,38,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,39,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,40,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,41,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,42,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210302,1021030203,43,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,44,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,45,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,46,2,3,2,1,10,,1,,,,,,,,,1,
102,102103,10210302,1021030203,47,1,96,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,48,2,8,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,49,2,8,2,1,2,,1,,,,,,,,,1,
102,102103,10210302,1021030203,50,1,8,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,51,2,8,2,1,1,,1,,,,,,,,,1,
102,102103,10210302,1021030203,52,1,96,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,53,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,54,2,3,2,2,,13,1,,,,,,,,,1,
102,102103,10210302,1021030203,55,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,56,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210302,1021030203,57,2,3,2,1,5,,1,,,,,,,,,1,
102,102103,10210302,1021030203,58,1,15,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,59,2,15,2,2,,13,1,,,,,,,,,1,
102,102103,10210302,1021030203,60,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,61,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,62,1,16,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,63,2,16,1,,,,1,,,,,,,,,1,
102,102103,10210302,1021030203,64,2,16,1,,,,1,,,,,,,,,1,
102,102103,10210304,1021030412,,,,,,,,,,,,,,,,,3,"done by another team in trip 1"
102,102103,10210305,1021030504,,,,,,,,,,,,,,,,,1,
102,102103,10210305,1021030509,,,,,,,,,,,,,,,,,3,"Hospital is most common Facility"
102,102103,10210306,1021030606,,,,,,,,,,,,,,,,,3,"the community uses a private hospital"
102,102103,10210308,1021030803,,,,,,,,,,,,,,,,,,
102,102103,10210309,1021030904,1,1,2,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,1,1,2,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,2,1,2,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,2,1,2,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,3,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,3,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,4,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,4,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,5,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,5,2,5,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,6,1,5,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,6,1,5,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,7,1,1,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,7,1,1,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,8,2,1,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,8,2,1,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,9,2,1,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,9,2,1,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,10,2,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,10,2,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,11,1,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,11,1,13,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,12,2,96,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,12,2,96,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,13,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,13,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,14,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,14,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,15,2,7,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,15,2,7,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,16,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,16,2,7,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,17,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,17,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,18,1,14,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,18,1,14,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,19,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,19,1,14,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,20,1,14,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,20,1,14,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,21,2,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,21,2,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,22,1,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,22,1,12,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,23,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,23,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,24,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,24,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,25,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,25,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,26,2,6,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,26,2,6,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,27,1,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,27,1,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,28,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,28,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,29,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,29,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,30,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,30,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,31,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,31,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,32,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,32,2,6,2,1,2,,1,,,,,,,,,1,
102,102103,10210309,1021030904,33,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,33,2,6,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,34,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,34,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,35,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,35,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,36,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,36,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,37,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,37,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,38,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,38,2,3,2,1,11,,1,,,,,,,,,1,
102,102103,10210309,1021030904,39,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,39,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,40,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,40,2,3,1,,,,1,,,,,,,,,1,
102,102103,10210309,1021030904,41,2,3,1,,,,1,,,,,,,,,1,
