"District_Name","SubCounty","Parish","Villagecode","C5Q2","C5Q3A","C5Q3B","Survey_Visit","Infrastructure_Response","Reason_Road_Inf_Not_Done"
101,101204,10120402,1012040204,,,,2,3,"no school at the island"
102,102101,10210104,1021010402,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210108,1021010802,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102102,10210202,1021020205,,,,2,,
102,102102,10210205,1021020504,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210206,1021020601,"ENGINEER",0,5,2,1,
102,102102,10210208,1021020805,"Division Engineer",3,3,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102103,10210301,1021030109,,,,2,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,"DIVISION ENGINEER",0,4,2,1,
102,102103,10210304,1021030412,"DIVISION ENGINEER",0,4,2,3,"weekend"
102,102103,10210305,1021030504,"DIVISION  ENGINEER",0,4,1,1,
102,102103,10210305,1021030509,,,,2,,
102,102103,10210306,1021030606,"DIVISON ENGINEER",0,4,2,1,
102,102103,10210308,1021030803,,,,2,,
102,102103,10210309,1021030904,"DIVISION ENGINEER",0,4,2,1,
102,102103,10210309,1021030904,"DIVISION ENGINEER",0,4,1,1,
102,102103,10210312,1021031208,"DIVISION ENGINEER",0,4,2,,
102,102104,10210401,1021040102,"DIVISION ENGINEER",0,5,2,1,
102,102104,10210402,1021040203,,,,1,,
102,102104,10210410,1021041002,"Civil Engineer Roads and Constructions",5,2,2,2,
102,102104,10210411,1021041118,,,,2,,
102,102104,10210417,1021041701,,,,2,1,
102,102104,10210419,1021041903,,,,2,1,
102,102105,10210501,1021050106,"DIVISION ENGINEER",0,3,2,3,"its time for holiday so no one was found in the school"
102,102105,10210503,1021050307,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210504,1021050405,,,,2,1,
102,102105,10210504,1021050405,"DIVISION ENGINEER",0,3,2,1,
102,102105,10210510,1021051004,,,,2,,
102,102105,10210513,1021051305,"DIVISION ENGINEER IN CHARGE OF ROADS",0,5,2,1,
102,102105,10210515,1021051506,"DIVISION ENGINEER",0,3,2,1,
102,102105,10210518,1021051832,,,,2,3,"City Authority not accessed"
103,103105,10310505,1031050505,"Local council 3 Chairman",3,2,2,1,
104,104102,10410204,1041020405,"Senior Assistant Secretary",6,8,2,1,
104,104104,10410403,1041040304,"PARISH CHIEF",10,0,2,1,
104,104105,10410504,1041050403,"PARISH CHIEF",14,4,2,,
104,104208,10420804,1042080404,,,,2,2,
105,105105,10510502,1051050201,"Vice Chairman LC III",3,5,2,1,
106,106101,10610101,1061010108,"Senior Assistant Secretary",8,9,2,1,
106,106101,10610109,1061010902,"Senior Assistant Secretary",8,9,2,1,
106,106106,10610606,1061060602,"Sub County Accountant",1,7,2,1,
107,107105,10710503,1071050302,"Town Engineer",3,9,2,1,
107,107105,10710505,1071050503,"Town Engineer",3,9,2,1,
107,107202,10720206,1072020601,"Senior Assisstant Secretary",5,7,2,1,
107,107302,10730203,1073020305,"LC III Chairman",5,0,2,1,
107,107305,10730507,1073050702,"Senior Assistant Secretary",6,4,2,1,
