"District_Name","SubCounty","Parish","Villagecode","Infrastructure_ID","C5BQ10","C5BQ11","C5BQ12","C5BQ13","C5BQ14","C5BQ15","C5BQ16","C5BQ17","Survey_Visit","Infrastructure_Response","Reason_Road_Inf_Not_Done"
101,101204,10120402,1012040204,1,,,,,,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,2,,,,,,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,3,,,,,,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,4,,,,,,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,5,,,,,,,,,2,3,"no school at the island"
102,102101,10210104,1021010402,1,,,,,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,2,,,,,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,3,,,,,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,4,,,,,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,5,,,,,,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210108,1021010802,1,,,,,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,2,,,,,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,3,,,,,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,4,,,,,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,5,,,,,,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102102,10210202,1021020205,1,,,,,,,,,2,,
102,102102,10210202,1021020205,2,,,,,,,,,2,,
102,102102,10210202,1021020205,3,,,,,,,,,2,,
102,102102,10210202,1021020205,4,,,,,,,,,2,,
102,102102,10210202,1021020205,5,,,,,,,,,2,,
102,102102,10210205,1021020504,1,,,,,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,2,,,,,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,3,,,,,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,4,,,,,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,5,,,,,,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210206,1021020601,1,3,,,,,,,,2,1,
102,102102,10210206,1021020601,2,,,,,,,,,2,1,
102,102102,10210206,1021020601,3,,,,,,,,,2,1,
102,102102,10210206,1021020601,4,96,218.600006103516,2,1,96,2,,2,2,1,
102,102102,10210206,1021020601,5,96,162.199996948242,2,1,1,2,,2,2,1,
102,102102,10210208,1021020805,1,,,,,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,2,,,,,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,3,,,,,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,4,,,,,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,5,,,,,,,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102103,10210301,1021030109,1,,,,,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,2,,,,,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,3,,,,,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,4,,,,,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,5,,,,,,,,,2,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,1,96,82.5,1,1,2,1,82.5,,2,1,
102,102103,10210302,1021030203,2,,,,,,,,,2,1,
102,102103,10210302,1021030203,3,,,,,,,,,2,1,
102,102103,10210302,1021030203,4,1,38.2000007629395,1,2,2,1,3.20000004768372,,2,1,
102,102103,10210302,1021030203,5,1,28,1,2,2,1,28,,2,1,
102,102103,10210304,1021030412,1,96,82.5,1,1,2,1,82.5,,2,3,"weekend"
102,102103,10210304,1021030412,2,,,,,,,,,2,3,"weekend"
102,102103,10210304,1021030412,3,,,,,,,,,2,3,"weekend"
102,102103,10210304,1021030412,4,1,38.2000007629395,1,2,2,1,38.2000007629395,,2,3,"weekend"
102,102103,10210304,1021030412,5,1,28,1,2,2,1,28,,2,3,"weekend"
102,102103,10210305,1021030504,1,96,18,1,1,2,1,21,,1,1,
102,102103,10210305,1021030504,2,96,38.2000007629395,1,2,2,1,3.20000004768372,,1,1,
102,102103,10210305,1021030504,3,,,,,,,,,1,1,
102,102103,10210305,1021030504,4,,,,,,,,,1,1,
102,102103,10210305,1021030504,5,96,28,1,2,2,1,12,,1,1,
102,102103,10210305,1021030509,1,,,,,,,,,2,,
102,102103,10210305,1021030509,2,,,,,,,,,2,,
102,102103,10210305,1021030509,3,,,,,,,,,2,,
102,102103,10210305,1021030509,4,,,,,,,,,2,,
102,102103,10210305,1021030509,5,,,,,,,,,2,,
102,102103,10210306,1021030606,1,2,18,1,1,2,1,21,,2,1,
102,102103,10210306,1021030606,2,,,,,,,,,2,1,
102,102103,10210306,1021030606,3,,,,,,,,,2,1,
102,102103,10210306,1021030606,4,2,38.2000007629395,1,2,2,1,3.20000004768372,,2,1,
102,102103,10210306,1021030606,5,2,28,1,2,2,1,12,,2,1,
102,102103,10210308,1021030803,1,,,,,,,,,2,,
102,102103,10210308,1021030803,2,,,,,,,,,2,,
102,102103,10210308,1021030803,3,,,,,,,,,2,,
102,102103,10210308,1021030803,4,,,,,,,,,2,,
102,102103,10210308,1021030803,5,,,,,,,,,2,,
102,102103,10210309,1021030904,1,96,18,1,1,96,1,21,,1,1,
102,102103,10210309,1021030904,1,96,18,1,1,96,1,21,,2,1,
102,102103,10210309,1021030904,2,1,38.2000007629395,1,1,96,1,3.20000004768372,,2,1,
102,102103,10210309,1021030904,2,1,38.2000007629395,1,1,96,1,3.20000004768372,,1,1,
102,102103,10210309,1021030904,3,,,,,,,,,2,1,
102,102103,10210309,1021030904,3,,,,,,,,,1,1,
102,102103,10210309,1021030904,4,,,,,,,,,2,1,
102,102103,10210309,1021030904,4,,,,,,,,,1,1,
102,102103,10210309,1021030904,5,1,28,1,2,96,1,12,,2,1,
102,102103,10210309,1021030904,5,1,28,1,2,96,1,12,,1,1,
102,102103,10210312,1021031208,1,96,18,1,1,2,1,21,,2,,
102,102103,10210312,1021031208,2,,,,,,,,,2,,
102,102103,10210312,1021031208,3,,,,,,,,,2,,
102,102103,10210312,1021031208,4,96,38.2000007629395,1,2,2,1,3.20000004768372,,2,,
102,102103,10210312,1021031208,5,96,63,1,2,2,1,12,,2,,
102,102104,10210401,1021040102,1,3,,,,,,,,2,1,
102,102104,10210401,1021040102,2,,,,,,,,,2,1,
102,102104,10210401,1021040102,3,,,,,,,,,2,1,
102,102104,10210401,1021040102,4,96,93.5999984741211,2,1,1,2,,2,2,1,
102,102104,10210401,1021040102,5,96,12,2,1,1,1,4,,2,1,
102,102104,10210402,1021040203,1,,,,,,,,,1,,
102,102104,10210402,1021040203,2,,,,,,,,,1,,
102,102104,10210402,1021040203,3,,,,,,,,,1,,
102,102104,10210402,1021040203,4,,,,,,,,,1,,
102,102104,10210402,1021040203,5,,,,,,,,,1,,
102,102104,10210410,1021041002,1,,,,,,,,,2,2,
102,102104,10210410,1021041002,2,,,,,,,,,2,2,
102,102104,10210410,1021041002,3,,,,,,,,,2,2,
102,102104,10210410,1021041002,4,,,,,,,,,2,2,
102,102104,10210410,1021041002,5,,,,,,,,,2,2,
102,102104,10210411,1021041118,1,,,,,,,,,2,,
102,102104,10210411,1021041118,2,,,,,,,,,2,,
102,102104,10210411,1021041118,3,,,,,,,,,2,,
102,102104,10210411,1021041118,4,,,,,,,,,2,,
102,102104,10210411,1021041118,5,,,,,,,,,2,,
102,102104,10210417,1021041701,1,,,,,,,,,2,1,
102,102104,10210417,1021041701,2,,,,,,,,,2,1,
102,102104,10210417,1021041701,3,,,,,,,,,2,1,
102,102104,10210417,1021041701,4,,,,,,,,,2,1,
102,102104,10210417,1021041701,5,,,,,,,,,2,1,
102,102104,10210419,1021041903,1,,,,,,,,,2,1,
102,102104,10210419,1021041903,2,,,,,,,,,2,1,
102,102104,10210419,1021041903,3,,,,,,,,,2,1,
102,102104,10210419,1021041903,4,,,,,,,,,2,1,
102,102104,10210419,1021041903,5,,,,,,,,,2,1,
102,102105,10210501,1021050106,1,3,,,,,,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,2,,,,,,,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,3,,,,,,,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,4,2,82,1,1,2,2,,1,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,5,2,50,1,2,1,1,50,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210503,1021050307,1,,,,,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210503,1021050307,2,,,,,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210503,1021050307,3,,,,,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210503,1021050307,4,,,,,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210503,1021050307,5,,,,,,,,,2,3,"ENGINEER WAS AWAY. CALL BACK. VISIT 1.    ON VISIT 2 THE ENGINEER IS SAYING HE IS VERY BUSY THAT I WILL HAVE TO WAIT FOR HIM FOR SOME TIME SO THAT HE GIVES ME TIME."
102,102105,10210504,1021050405,1,,,,,,,,,2,1,
102,102105,10210504,1021050405,1,3,,,,,,,,2,1,
102,102105,10210504,1021050405,2,,,,,,,,,2,1,
102,102105,10210504,1021050405,3,,,,,,,,,2,1,
102,102105,10210504,1021050405,4,,,,,,,,,2,1,
102,102105,10210504,1021050405,4,2,192.800003051758,1,1,2,2,,1,2,1,
102,102105,10210504,1021050405,5,,,,,,,,,2,1,
102,102105,10210504,1021050405,5,2,200,1,2,1,1,50,,2,1,
102,102105,10210510,1021051004,1,,,,,,,,,2,,
102,102105,10210510,1021051004,2,,,,,,,,,2,,
102,102105,10210510,1021051004,3,,,,,,,,,2,,
102,102105,10210510,1021051004,4,,,,,,,,,2,,
102,102105,10210510,1021051004,5,,,,,,,,,2,,
102,102105,10210513,1021051305,1,3,,,,,,,,2,1,
102,102105,10210513,1021051305,2,,,,,,,,,2,1,
102,102105,10210513,1021051305,3,,,,,,,,,2,1,
102,102105,10210513,1021051305,4,96,30,2,1,2,2,,2,2,1,
102,102105,10210513,1021051305,5,,,,,,,,,2,1,
102,102105,10210515,1021051506,1,3,,,,,,,,2,1,
102,102105,10210515,1021051506,2,,,,,,,,,2,1,
102,102105,10210515,1021051506,3,,,,,,,,,2,1,
102,102105,10210515,1021051506,4,2,192.800003051758,1,1,2,2,,1,2,1,
102,102105,10210515,1021051506,5,2,200,1,2,1,1,50,,2,1,
102,102105,10210518,1021051832,1,,,,,,,,,2,3,"City Authority not accessed"
102,102105,10210518,1021051832,2,,,,,,,,,2,3,"City Authority not accessed"
102,102105,10210518,1021051832,3,,,,,,,,,2,3,"City Authority not accessed"
102,102105,10210518,1021051832,4,,,,,,,,,2,3,"City Authority not accessed"
102,102105,10210518,1021051832,5,,,,,,,,,2,3,"City Authority not accessed"
103,103105,10310505,1031050505,1,,,,,,,,,2,1,
103,103105,10310505,1031050505,2,3,,,,,,,,2,1,
103,103105,10310505,1031050505,3,2,26,2,2,4,1,5,,2,1,
103,103105,10310505,1031050505,4,1,20,1,3,96,2,,2,2,1,
103,103105,10310505,1031050505,5,1,10,2,2,96,1,4,,2,1,
104,104102,10410204,1041020405,1,3,,,,,,,,2,1,
104,104102,10410204,1041020405,2,3,,,,,,,,2,1,
104,104102,10410204,1041020405,3,2,30,1,2,1,2,,1,2,1,
104,104102,10410204,1041020405,4,1,40,1,2,96,1,11,,2,1,
104,104102,10410204,1041020405,5,1,0,1,2,96,1,7,,2,1,
104,104104,10410403,1041040304,1,,,,,,,,,2,1,
104,104104,10410403,1041040304,2,3,,,,,,,,2,1,
104,104104,10410403,1041040304,3,1,22.3999996185303,1,1,4,2,,2,2,1,
104,104104,10410403,1041040304,4,1,4,1,1,4,2,,2,2,1,
