"District_Name","SubCounty","Parish","Villagecode","Roads_ID","C5DQ22","Other_C5DQ22","C5DQ23","Survey_Visit","Infrastructure_Response","Reason_Road_Inf_Not_Done"
101,101204,10120402,1012040204,1,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,2,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,3,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,4,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,5,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,6,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,7,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,8,,,,2,3,"no school at the island"
101,101204,10120402,1012040204,9,,,,2,3,"no school at the island"
102,102101,10210104,1021010402,1,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,2,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,3,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,4,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,5,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,6,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,7,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,8,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210104,1021010402,9,,,,2,3,"DIV ENG DOES NOT HAVE THE NEEDED IMFORM .HAS DIRECTED ME KCCA HEAD OFFICE"
102,102101,10210108,1021010802,1,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,2,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,3,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,4,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,5,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,6,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,7,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,8,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102101,10210108,1021010802,9,,,,2,3,"DIV ENGINEER NOT IN POSITION TO GIVE DATA"
102,102102,10210202,1021020205,1,,,,2,,
102,102102,10210202,1021020205,2,,,,2,,
102,102102,10210202,1021020205,3,,,,2,,
102,102102,10210202,1021020205,4,,,,2,,
102,102102,10210202,1021020205,5,,,,2,,
102,102102,10210202,1021020205,6,,,,2,,
102,102102,10210202,1021020205,7,,,,2,,
102,102102,10210202,1021020205,8,,,,2,,
102,102102,10210202,1021020205,9,,,,2,,
102,102102,10210205,1021020504,1,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,2,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,3,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,4,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,5,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,6,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,7,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,8,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210205,1021020504,9,,,,2,3,"Its holiday time and none of the staff members stays around"
102,102102,10210206,1021020601,1,4,,,2,1,
102,102102,10210206,1021020601,2,2,,1,2,1,
102,102102,10210206,1021020601,3,4,,,2,1,
102,102102,10210206,1021020601,4,4,,,2,1,
102,102102,10210206,1021020601,5,3,,2,2,1,
102,102102,10210206,1021020601,6,1,,2,2,1,
102,102102,10210206,1021020601,7,4,,,2,1,
102,102102,10210206,1021020601,8,4,,,2,1,
102,102102,10210206,1021020601,9,4,,,2,1,
102,102102,10210208,1021020805,1,1,,1,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,2,4,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,3,4,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,4,4,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,5,3,,1,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,6,2,,1,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,7,4,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,8,4,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102102,10210208,1021020805,9,4,,,2,3,"The engineer has been too busy but promised to avail me with all the necesary information"
102,102103,10210301,1021030109,1,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,2,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,3,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,4,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,5,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,6,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,7,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,8,,,,2,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,9,,,,2,3,"data collected by another team in trip 1"
102,102103,10210302,1021030203,1,4,,,2,1,
102,102103,10210302,1021030203,2,2,,2,2,1,
102,102103,10210302,1021030203,3,3,,2,2,1,
102,102103,10210302,1021030203,4,4,,,2,1,
102,102103,10210302,1021030203,5,4,,,2,1,
102,102103,10210302,1021030203,6,1,,3,2,1,
102,102103,10210302,1021030203,7,4,,,2,1,
102,102103,10210302,1021030203,8,4,,,2,1,
102,102103,10210302,1021030203,9,4,,,2,1,
102,102103,10210304,1021030412,1,4,,,2,3,"weekend"
102,102103,10210304,1021030412,2,2,,2,2,3,"weekend"
102,102103,10210304,1021030412,3,3,,2,2,3,"weekend"
102,102103,10210304,1021030412,4,4,,,2,3,"weekend"
102,102103,10210304,1021030412,5,4,,,2,3,"weekend"
102,102103,10210304,1021030412,6,1,,3,2,3,"weekend"
102,102103,10210304,1021030412,7,4,,,2,3,"weekend"
102,102103,10210304,1021030412,8,4,,,2,3,"weekend"
102,102103,10210304,1021030412,9,4,,,2,3,"weekend"
102,102103,10210305,1021030504,1,4,,,1,1,
102,102103,10210305,1021030504,2,2,,1,1,1,
102,102103,10210305,1021030504,3,3,,3,1,1,
102,102103,10210305,1021030504,4,4,,,1,1,
102,102103,10210305,1021030504,5,4,,,1,1,
102,102103,10210305,1021030504,6,1,,1,1,1,
102,102103,10210305,1021030504,7,4,,,1,1,
102,102103,10210305,1021030504,8,4,,,1,1,
102,102103,10210305,1021030504,9,4,,,1,1,
102,102103,10210305,1021030509,1,,,,2,,
102,102103,10210305,1021030509,2,,,,2,,
102,102103,10210305,1021030509,3,,,,2,,
102,102103,10210305,1021030509,4,,,,2,,
102,102103,10210305,1021030509,5,,,,2,,
102,102103,10210305,1021030509,6,,,,2,,
102,102103,10210305,1021030509,7,,,,2,,
102,102103,10210305,1021030509,8,,,,2,,
102,102103,10210305,1021030509,9,,,,2,,
102,102103,10210306,1021030606,1,4,,,2,1,
102,102103,10210306,1021030606,2,2,,2,2,1,
102,102103,10210306,1021030606,3,3,,2,2,1,
102,102103,10210306,1021030606,4,4,,,2,1,
102,102103,10210306,1021030606,5,4,,,2,1,
102,102103,10210306,1021030606,6,1,,2,2,1,
102,102103,10210306,1021030606,7,4,,,2,1,
102,102103,10210306,1021030606,8,4,,,2,1,
102,102103,10210306,1021030606,9,4,,,2,1,
102,102103,10210308,1021030803,1,,,,2,,
102,102103,10210308,1021030803,2,,,,2,,
102,102103,10210308,1021030803,3,,,,2,,
102,102103,10210308,1021030803,4,,,,2,,
102,102103,10210308,1021030803,5,,,,2,,
102,102103,10210308,1021030803,6,,,,2,,
102,102103,10210308,1021030803,7,,,,2,,
102,102103,10210308,1021030803,8,,,,2,,
102,102103,10210308,1021030803,9,,,,2,,
102,102103,10210309,1021030904,1,4,,,1,1,
102,102103,10210309,1021030904,1,4,,,2,1,
102,102103,10210309,1021030904,2,3,,1,2,1,
102,102103,10210309,1021030904,2,3,,1,1,1,
102,102103,10210309,1021030904,3,2,,1,1,1,
102,102103,10210309,1021030904,3,2,,1,2,1,
102,102103,10210309,1021030904,4,4,,,2,1,
102,102103,10210309,1021030904,4,4,,,1,1,
102,102103,10210309,1021030904,5,4,,,2,1,
102,102103,10210309,1021030904,5,4,,,1,1,
102,102103,10210309,1021030904,6,1,,1,2,1,
102,102103,10210309,1021030904,6,1,,1,1,1,
102,102103,10210309,1021030904,7,4,,,2,1,
102,102103,10210309,1021030904,7,4,,,1,1,
102,102103,10210309,1021030904,8,4,,,2,1,
102,102103,10210309,1021030904,8,4,,,1,1,
102,102103,10210309,1021030904,9,4,,,1,1,
102,102103,10210309,1021030904,9,4,,,2,1,
102,102103,10210312,1021031208,1,4,,,2,,
102,102103,10210312,1021031208,2,2,,1,2,,
102,102103,10210312,1021031208,3,3,,3,2,,
102,102103,10210312,1021031208,4,4,,,2,,
102,102103,10210312,1021031208,5,4,,,2,,
102,102103,10210312,1021031208,6,1,,1,2,,
102,102103,10210312,1021031208,7,4,,,2,,
102,102103,10210312,1021031208,8,4,,,2,,
102,102103,10210312,1021031208,9,4,,,2,,
102,102104,10210401,1021040102,1,4,,,2,1,
102,102104,10210401,1021040102,2,4,,,2,1,
102,102104,10210401,1021040102,3,3,,1,2,1,
102,102104,10210401,1021040102,4,4,,,2,1,
102,102104,10210401,1021040102,5,2,,1,2,1,
102,102104,10210401,1021040102,6,1,,1,2,1,
102,102104,10210401,1021040102,7,4,,,2,1,
102,102104,10210401,1021040102,8,4,,,2,1,
102,102104,10210401,1021040102,9,4,,,2,1,
102,102104,10210402,1021040203,1,,,,1,,
102,102104,10210402,1021040203,2,,,,1,,
102,102104,10210402,1021040203,3,,,,1,,
102,102104,10210402,1021040203,4,,,,1,,
102,102104,10210402,1021040203,5,,,,1,,
102,102104,10210402,1021040203,6,,,,1,,
102,102104,10210402,1021040203,7,,,,1,,
102,102104,10210402,1021040203,8,,,,1,,
102,102104,10210402,1021040203,9,,,,1,,
102,102104,10210410,1021041002,1,2,,1,2,2,
102,102104,10210410,1021041002,2,4,,,2,2,
102,102104,10210410,1021041002,3,4,,,2,2,
102,102104,10210410,1021041002,4,4,,,2,2,
102,102104,10210410,1021041002,5,3,,1,2,2,
102,102104,10210410,1021041002,6,1,,1,2,2,
102,102104,10210410,1021041002,7,4,,,2,2,
102,102104,10210410,1021041002,8,4,,,2,2,
102,102104,10210410,1021041002,9,4,,,2,2,
102,102104,10210411,1021041118,1,,,,2,,
102,102104,10210411,1021041118,2,,,,2,,
102,102104,10210411,1021041118,3,,,,2,,
102,102104,10210411,1021041118,4,,,,2,,
102,102104,10210411,1021041118,5,,,,2,,
102,102104,10210411,1021041118,6,,,,2,,
102,102104,10210411,1021041118,7,,,,2,,
102,102104,10210411,1021041118,8,,,,2,,
102,102104,10210411,1021041118,9,,,,2,,
102,102104,10210417,1021041701,1,,,,2,1,
102,102104,10210417,1021041701,2,,,,2,1,
102,102104,10210417,1021041701,3,,,,2,1,
102,102104,10210417,1021041701,4,,,,2,1,
102,102104,10210417,1021041701,5,,,,2,1,
102,102104,10210417,1021041701,6,,,,2,1,
102,102104,10210417,1021041701,7,,,,2,1,
102,102104,10210417,1021041701,8,,,,2,1,
102,102104,10210417,1021041701,9,,,,2,1,
102,102104,10210419,1021041903,1,,,,2,1,
102,102104,10210419,1021041903,2,,,,2,1,
102,102104,10210419,1021041903,3,,,,2,1,
102,102104,10210419,1021041903,4,,,,2,1,
102,102104,10210419,1021041903,5,,,,2,1,
102,102104,10210419,1021041903,6,,,,2,1,
102,102104,10210419,1021041903,7,,,,2,1,
102,102104,10210419,1021041903,8,,,,2,1,
102,102104,10210419,1021041903,9,,,,2,1,
102,102105,10210501,1021050106,1,3,,3,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,2,2,,2,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,3,4,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,4,4,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,5,4,,,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,6,1,,2,2,3,"its time for holiday so no one was found in the school"
102,102105,10210501,1021050106,7,4,,,2,3,"its time for holiday so no one was found in the school"
