"District_Name","SubCounty","Parish","Villagecode","C6AQ1","C6AQ2_1","C6AQ2_2","C6AQ2_3","C6AQ2_4","C6AQ2_5","C6AQ2_6","C6AQ2_7","C6AQ2_Other","Endtime_Community","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
101,101204,10120402,1012040204,150,5,0,60,0,0,35,0,,"09/12/2013 13:34:57",2,3,"no health centre at the island"
102,102101,10210104,1021010402,300,0,0,0,0,0,90,10,"BUSINESS PREMISES,","22/09/2013 15:54:23",2,1,
102,102101,10210108,1021010802,320,0,0,0,0,0,10,90,"BUSINESS PREMISES,SCHOOL","16/10/2013 15:06:46",2,1,
102,102102,10210202,1021020205,150,0,0,0,0,0,95,5,"Businesses","22/01/2014 10:52:33",2,,
102,102102,10210205,1021020504,243,0,0,0,0,0,80,20,"business premises,roads,school","21/02/2014 14:01:40",2,3,"health centre demolished for renovation"
102,102102,10210206,1021020601,800,0,0,0,0,35,60,5,"INSTITUTIONS AND COMMERCIALS","29/01/2014 15:23:42",2,2,
102,102102,10210208,1021020805,3308,1,0,0,0,2,89,8,"Commercial and institutions","10/10/2013 18:54:02",2,1,
102,102103,10210301,1021030109,900,20,0,0,0,7,70,3,"SHOP, SCHOOL","16/10/2013 11:50:45",2,1,
102,102103,10210302,1021030203,2450,0,0,0,0,30,70,0,,"01/12/2013 11:29:25",2,2,
102,102103,10210304,1021030412,120,0,0,0,0,0,60,40,"shops, abbatoir, factory","05/07/2014 13:59:27",2,1,
102,102103,10210305,1021030504,500,0,0,0,0,0,70,30,"COMMERCIAL  BUILDINGS","19/09/2013 12:24:06",1,1,
102,102103,10210305,1021030509,500,0,0,0,0,0,98,2,"BRICK MAKING","24/01/2014 14:41:23",2,,
102,102103,10210306,1021030606,120,2,0,0,0,0,80,18,"SCHOOL.BUSINESS PREMISES","15/12/2013 11:28:24",2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210308,1021030803,200,0,0,0,0,0,100,0,,"16/11/2013 12:55:26",2,,
102,102103,10210309,1021030904,,5,0,0,0,0,75,20,"SHOPS/BUSINESS","11/10/2013 13:10:54",2,1,
102,102103,10210309,1021030904,,5,0,0,0,0,75,20,"SHOPS/BUSINESS","11/10/2013 13:10:54",1,1,
102,102103,10210309,1021030904,385,5,0,0,0,0,75,20,"SHOPS/BUSINESS","11/10/2013 13:10:54",2,1,
102,102103,10210309,1021030904,385,5,0,0,0,0,75,20,"SHOPS/BUSINESS","11/10/2013 13:10:54",1,1,
102,102103,10210312,1021031208,200,0,0,0,0,15,65,20,"COMMERCIAL PURPOSES","02/12/2013 09:24:22",2,,
102,102104,10210401,1021040102,250,5,0,0,0,20,65,10,"COMMERCIALS AND INSTITUTIONS","28/01/2014 14:25:06",2,1,
102,102104,10210402,1021040203,120,3,0,0,0,0,7,90,"SCHOOLS, SHOPS","29/01/2014 11:14:16",1,,
102,102104,10210410,1021041002,600,0,0,0,0,0,80,20,"Commercial","09/10/2013 15:12:40",2,1,
102,102104,10210411,1021041118,,,,,,,,,,,2,,
102,102104,10210417,1021041701,47,0,0,0,0,0,100,0,,"14/12/2013 14:17:17",2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210419,1021041903,38,2,0,0,0,0,95,3,"BUSINESS REMISES,ROADS","31/01/2014 12:05:19",2,3,"Health Centre demolished for renovation"
102,102105,10210501,1021050106,55,0,0,0,0,0,60,40,"MARKET,BUSSINESS PREMISES,","20/02/2014 15:49:38",2,3,"the community uses the Hospital"
102,102105,10210503,1021050307,5000,0,0,0,0,0,100,0,,"08/11/2013 13:40:46",2,1,
102,102105,10210504,1021050405,1000,5,0,0,0,5,80,10,"SHOPS, SCHOOLS, HOSPITAL","04/12/2013 09:52:14",2,3,"they uses mulago hospital - very near"
102,102105,10210504,1021050405,1000,5,0,0,0,5,80,10,"SHOPS, SCHOOLS, HOSPITAL","04/12/2013 09:52:14",2,3,
102,102105,10210510,1021051004,10118,0,0,0,0,0,85,15,"commercials and institutions","06/12/2013 10:57:42",2,,
102,102105,10210513,1021051305,4000,5,0,0,0,10,65,20,"COMMERCIALS AND INSTUTIONS","26/01/2014 19:03:28",2,3,"The community members access their treatment from Naguru Hospital"
102,102105,10210515,1021051506,90,0,0,0,0,0,90,10,"shops ,roads","27/11/2013 14:38:47",2,3,"community uses BUTABIKA HOSPITAL"
102,102105,10210518,1021051832,170,0,0,0,0,10,90,0,,,2,1,
103,103105,10310505,1031050505,157,50,0,0,10,10,20,10,"Woodlot","16/01/2014 10:58:58",2,3,"Hospital level"
