"HHID","HHID_old","rotate","result_code","h1aq1a","h1aq3a","h1aq3b","h1aq4a","h1aq4b","region","regurb","sregion","urban","ea","wgt_X","wgt","year","month","day","DynID"
"H00101-04-01",1013000201,1,1,101,101204,"Mazinga",10120402,"Butulume",1,10,2,0,1,2792.466796875,8509.0029296875,2013,12,"09",101
"H00102-04-01",1013000202,1,1,111,111203,"Mateete",11120306,"Nakagongo",1,10,2,0,1,2792.466796875,0,2014,10,"15",102
"H00104-04-01",1013000204,1,1,101,101204,"Mazinga",10120402,"Butulume",1,11,2,1,1,2792.466796875,5105.40185546875,2014,6,"26",104
"H00110-04-01",1013000210,1,1,101,101204,"Mazinga",10120402,"Butulume",1,10,2,0,1,2792.466796875,0,2013,12,"09",110
"H00208-04-01",1021000108,1,1,102,102101,"Central Division",10210104,"Kagugube",1,11,1,1,2,1874.79821777344,9335.5107421875,2014,3,"27",208
"H00209-04-01",1021000109,1,1,102,102101,"Central Division",10210104,"Kagugube",1,11,1,1,2,1874.79821777344,0,2014,3,"27",209
"H00211-04-01",1021000111,1,1,102,102101,"Central Division",10210104,"Kagugube",1,11,1,1,2,1874.79821777344,6317.57177734375,2014,3,"27",211
"H00213-04-01",1021000113,1,1,102,102101,"Central Division",10210104,"Kagugube",1,11,1,1,2,1874.79821777344,4335.94580078125,2014,3,"28",213
"H00301-04-01",1021000201,1,1,102,102101,"Central Division",10210108,"Kisenyi Ii",1,11,1,1,3,1874.79821777344,18496.880859375,2014,3,"14",301
"H00302-04-01",1021000202,1,1,102,102101,"Central Division",10210108,"Kisenyi Ii",1,11,1,1,3,1874.79821777344,0,2014,4,"21",302
"H00303-04-01",1021000203,1,1,102,102101,"Central Division",10210108,"Kisenyi Ii",1,11,1,1,3,1874.79821777344,,2013,10,"16",303
"H00304-04-01",1021000204,1,1,102,102101,"Central Division",10210108,"Kisenyi Ii",1,11,1,1,3,1874.79821777344,0,2014,4,"22",304
"H00307-04-01",1021000207,1,1,102,102101,"Central Division",10210108,"Kisenyi Ii",1,11,1,1,3,1874.79821777344,8317.0458984375,2013,10,"16",307
"H00312-04-01",1021000212,1,1,102,102101,"Central Division",10210108,"Kisenyi Ii",1,11,1,1,3,1874.79821777344,13384.783203125,2014,4,"22",312
