"HHID","h11q1","h11q2","h11q4","h11q5","h11q6","h11q6a","h11q6b","h11q7","wgt_X"
"H00101-04-01",4,21,2,,,,,,2792.466796875
"H00102-04-01",1,21,2,,,,,,2792.466796875
"H00104-04-01",4,21,2,,,,,,2792.466796875
"H00110-04-01",1,21,2,,,,,,2792.466796875
"H00208-04-01",5,21,1,1200000,,"P00208-001","P00208-002",,1874.79821777344
"H00209-04-01",3,21,2,,,,,,1874.79821777344
"H00211-04-01",3,21,1,2880000,,"P00211-001","-111",,1874.79821777344
"H00213-04-01",4,21,1,23000000,,"P00213-001","-111",,1874.79821777344
"H00301-04-01",3,21,2,,,,,,1874.79821777344
"H00302-04-01",4,21,2,,,,,,1874.79821777344
"H00303-04-01",3,21,2,,,,,,1874.79821777344
"H00304-04-01",3,21,2,,,,,,1874.79821777344
"H00307-04-01",4,21,2,,,,,,1874.79821777344
"H00312-04-01",4,21,2,,,,,,1874.79821777344
"H00313-04-01",4,21,2,,,,,,1874.79821777344
"H00606-04-01",3,21,2,,,,,,1874.79821777344
"H00704-04-01",3,21,2,,,,,,1874.79821777344
"H00707-04-01",5,21,1,1560000,,"P00707-001","-111",,1874.79821777344
"H00710-04-01",3,21,2,,,,,,1874.79821777344
"H00712-04-01",3,21,2,,,,,,1874.79821777344
"H00801-04-01",3,21,2,,,,,,1874.79821777344
"H00802-04-01",3,21,2,,,,,,1874.79821777344
"H00803-04-01",4,21,2,,,,,,1874.79821777344
"H00805-04-01",3,21,2,,,,,,1874.79821777344
"H00809-04-01",96,21,2,,,,,,1874.79821777344
"H00810-04-02",1,21,1,12000000,,"P00810-001","P00810-002",,937.399108886719
"H00810-04-03",4,21,2,,,,,,937.399108886719
"H00811-04-01",5,21,1,6000000,,"P00811-001","P00811-002",,1874.79821777344
"H01209-04-01",5,21,1,18000000,500000,"P01209-003","P01209-004",,624.932739257813
"H01209-04-02",1,21,2,,,,,,624.932739257813
"H01209-04-03",4,21,2,,,,,,624.932739257813
"H01210-04-01",3,21,2,,,,,,1874.79809570313
"H01401-04-01",7,21,2,,,,,,1874.79821777344
"H01402-04-01",4,21,2,,,,,,1874.79821777344
"H01406-04-01",3,21,2,,,,,,1874.79821777344
"H01409-04-01",5,21,1,480000,,"-777","-111",,1874.79821777344
"H01601-04-01",3,21,2,,,,,,1874.79821777344
"H01604-04-01",4,21,1,3600000,,"P01604-001","-111",,1874.79821777344
"H01605-04-01",7,21,1,4800000,,,,,1874.79821777344
"H01607-04-01",5,21,1,2400000,,"P01607-001","-111",,1874.79821777344
"H01612-04-01",4,21,2,,,,,,1874.79821777344
"H01801-04-01",3,21,2,,,,,,1874.79821777344
"H01806-04-01",4,21,2,,,,,,937.399108886719
"H01806-04-02",4,21,1,360000,,"P01806-001","P01806-010",,937.399108886719
"H01809-04-01",5,21,1,1200000,,"P01809-001","-111",,1874.79821777344
"H01813-04-01",96,21,1,7200000,,"P01813-001","-111",,1874.79821777344
"H02108-04-01",4,21,2,,,,,,1874.79821777344
"H02110-04-01",5,21,1,4800000,,"P02110-001","P02110-002",,1874.79821777344
"H02111-04-01",3,21,2,,,,,,1874.79821777344
"H02113-04-01",1,21,2,,,,,,1874.79821777344
"H02203-04-01",3,21,2,,,,,,1874.79821777344
