"HHID","h11q2","h11q4","h11q5","h11q6","h11q6a","h11q6b","h11q7","wgt_X"
"H00101-04-01",21,2,,,,,,2792.466796875
"H00101-04-01",22,2,,,,,,2792.466796875
"H00101-04-01",23,2,,,,,,2792.466796875
"H00101-04-01",31,2,,,,,,2792.466796875
"H00101-04-01",32,2,,,,,,2792.466796875
"H00101-04-01",33,2,,,,,,2792.466796875
"H00101-04-01",34,2,,,,,,2792.466796875
"H00101-04-01",35,2,,,,,,2792.466796875
"H00101-04-01",36,2,,,,,,2792.466796875
"H00101-04-01",41,2,,,,,,2792.466796875
"H00101-04-01",42,2,,,,,,2792.466796875
"H00101-04-01",43,2,,,,,,2792.466796875
"H00101-04-01",44,2,,,,,,2792.466796875
"H00101-04-01",45,2,,,,,,2792.466796875
"H00102-04-01",21,2,,,,,,2792.466796875
"H00102-04-01",22,2,,,,,,2792.466796875
"H00102-04-01",23,2,,,,,,2792.466796875
"H00102-04-01",31,2,,,,,,2792.466796875
"H00102-04-01",32,2,,,,,,2792.466796875
"H00102-04-01",33,2,,,,,,2792.466796875
"H00102-04-01",34,2,,,,,,2792.466796875
"H00102-04-01",35,2,,,,,,2792.466796875
"H00102-04-01",36,2,,,,,,2792.466796875
"H00102-04-01",41,2,,,,,,2792.466796875
"H00102-04-01",42,1,200000,70000,"P00102-001","-111",7,2792.466796875
"H00102-04-01",43,2,,,,,,2792.466796875
"H00102-04-01",44,2,,,,,,2792.466796875
"H00102-04-01",45,2,,,,,,2792.466796875
"H00104-04-01",21,2,,,,,,2792.466796875
"H00104-04-01",22,2,,,,,,2792.466796875
"H00104-04-01",23,2,,,,,,2792.466796875
"H00104-04-01",31,2,,,,,,2792.466796875
"H00104-04-01",32,2,,,,,,2792.466796875
"H00104-04-01",33,2,,,,,,2792.466796875
"H00104-04-01",34,2,,,,,,2792.466796875
"H00104-04-01",35,2,,,,,,2792.466796875
"H00104-04-01",36,2,,,,,,2792.466796875
"H00104-04-01",41,2,,,,,,2792.466796875
"H00104-04-01",42,2,,,,,,2792.466796875
"H00104-04-01",43,2,,,,,,2792.466796875
"H00104-04-01",44,2,,,,,,2792.466796875
"H00104-04-01",45,2,,,,,,2792.466796875
"H00110-04-01",21,2,,,,,,2792.466796875
"H00110-04-01",22,2,,,,,,2792.466796875
"H00110-04-01",23,2,,,,,,2792.466796875
"H00110-04-01",31,2,,,,,,2792.466796875
"H00110-04-01",32,2,,,,,,2792.466796875
"H00110-04-01",33,2,,,,,,2792.466796875
"H00110-04-01",34,2,,,,,,2792.466796875
"H00110-04-01",35,2,,,,,,2792.466796875
"H00110-04-01",36,2,,,,,,2792.466796875
"H00110-04-01",41,2,,,,,,2792.466796875
"H00110-04-01",42,2,,,,,,2792.466796875
"H00110-04-01",43,2,,,,,,2792.466796875
"H00110-04-01",44,2,,,,,,2792.466796875
"H00110-04-01",45,2,,,,,,2792.466796875
"H00208-04-01",21,1,1200000,0,"P00208-001","P00208-002",,1874.79821777344
"H00208-04-01",22,2,,,,,,1874.79821777344
"H00208-04-01",23,2,,,,,,1874.79821777344
"H00208-04-01",31,2,,,,,,1874.79821777344
"H00208-04-01",32,2,,,,,,1874.79821777344
"H00208-04-01",33,2,,,,,,1874.79821777344
"H00208-04-01",34,2,,,,,,1874.79821777344
"H00208-04-01",35,2,,,,,,1874.79821777344
"H00208-04-01",36,2,,,,,,1874.79821777344
"H00208-04-01",41,2,,,,,,1874.79821777344
"H00208-04-01",42,1,500000,200000,"P00208-001","P00208-002",7,1874.79821777344
"H00208-04-01",43,2,,,,,,1874.79821777344
"H00208-04-01",44,2,,,,,,1874.79821777344
"H00208-04-01",45,2,,,,,,1874.79821777344
"H00209-04-01",21,2,,,,,,1874.79821777344
"H00209-04-01",22,2,,,,,,1874.79821777344
"H00209-04-01",23,2,,,,,,1874.79821777344
"H00209-04-01",31,2,,,,,,1874.79821777344
"H00209-04-01",32,2,,,,,,1874.79821777344
"H00209-04-01",33,2,,,,,,1874.79821777344
"H00209-04-01",34,2,,,,,,1874.79821777344
"H00209-04-01",35,2,,,,,,1874.79821777344
"H00209-04-01",36,2,,,,,,1874.79821777344
"H00209-04-01",41,2,,,,,,1874.79821777344
"H00209-04-01",42,2,,,,,,1874.79821777344
"H00209-04-01",43,2,,,,,,1874.79821777344
"H00209-04-01",44,2,,,,,,1874.79821777344
"H00209-04-01",45,2,,,,,,1874.79821777344
"H00211-04-01",21,1,2880000,0,"P00211-001","-111",,1874.79821777344
"H00211-04-01",22,2,,,,,,1874.79821777344
"H00211-04-01",23,2,,,,,,1874.79821777344
"H00211-04-01",31,2,,,,,,1874.79821777344
"H00211-04-01",32,2,,,,,,1874.79821777344
"H00211-04-01",33,2,,,,,,1874.79821777344
"H00211-04-01",34,2,,,,,,1874.79821777344
"H00211-04-01",35,2,,,,,,1874.79821777344
"H00211-04-01",36,2,,,,,,1874.79821777344
"H00211-04-01",41,2,,,,,,1874.79821777344
"H00211-04-01",42,1,3422000,0,"P00211-001","P00211-004",8,1874.79821777344
"H00211-04-01",43,2,,,,,,1874.79821777344
"H00211-04-01",44,1,5650000,0,"P00211-001","-111",,1874.79821777344
"H00211-04-01",45,2,,,,,,1874.79821777344
"H00213-04-01",21,1,23000000,0,"P00213-001","-111",,1874.79821777344
"H00213-04-01",22,2,,,,,,1874.79821777344
"H00213-04-01",23,2,,,,,,1874.79821777344
"H00213-04-01",31,2,,,,,,1874.79821777344
"H00213-04-01",32,2,,,,,,1874.79821777344
"H00213-04-01",33,2,,,,,,1874.79821777344
"H00213-04-01",34,2,,,,,,1874.79821777344
"H00213-04-01",35,2,,,,,,1874.79821777344
"H00213-04-01",36,2,,,,,,1874.79821777344
"H00213-04-01",41,2,,,,,,1874.79821777344
"H00213-04-01",42,2,,,,,,1874.79821777344
"H00213-04-01",43,1,2000000,0,"P00213-001","-111",6,1874.79821777344
"H00213-04-01",44,2,,,,,,1874.79821777344
"H00213-04-01",45,2,,,,,,1874.79821777344
"H00301-04-01",21,2,,,,,,1874.79821777344
"H00301-04-01",22,2,,,,,,1874.79821777344
"H00301-04-01",23,2,,,,,,1874.79821777344
"H00301-04-01",31,2,,,,,,1874.79821777344
"H00301-04-01",32,2,,,,,,1874.79821777344
"H00301-04-01",33,2,,,,,,1874.79821777344
"H00301-04-01",34,2,,,,,,1874.79821777344
"H00301-04-01",35,2,,,,,,1874.79821777344
"H00301-04-01",36,2,,,,,,1874.79821777344
"H00301-04-01",41,2,,,,,,1874.79821777344
"H00301-04-01",42,2,,,,,,1874.79821777344
"H00301-04-01",43,2,,,,,,1874.79821777344
"H00301-04-01",44,2,,,,,,1874.79821777344
"H00301-04-01",45,2,,,,,,1874.79821777344
"H00302-04-01",21,2,,,,,,1874.79821777344
"H00302-04-01",22,2,,,,,,1874.79821777344
"H00302-04-01",23,2,,,,,,1874.79821777344
"H00302-04-01",31,2,,,,,,1874.79821777344
"H00302-04-01",32,2,,,,,,1874.79821777344
"H00302-04-01",33,2,,,,,,1874.79821777344
"H00302-04-01",34,2,,,,,,1874.79821777344
"H00302-04-01",35,2,,,,,,1874.79821777344
"H00302-04-01",36,2,,,,,,1874.79821777344
"H00302-04-01",41,2,,,,,,1874.79821777344
"H00302-04-01",42,2,,,,,,1874.79821777344
"H00302-04-01",43,2,,,,,,1874.79821777344
"H00302-04-01",44,2,,,,,,1874.79821777344
"H00302-04-01",45,2,,,,,,1874.79821777344
"H00303-04-01",21,2,,,,,,1874.79821777344
"H00303-04-01",22,2,,,,,,1874.79821777344
"H00303-04-01",23,2,,,,,,1874.79821777344
"H00303-04-01",31,2,,,,,,1874.79821777344
"H00303-04-01",32,2,,,,,,1874.79821777344
"H00303-04-01",33,2,,,,,,1874.79821777344
"H00303-04-01",34,2,,,,,,1874.79821777344
"H00303-04-01",35,2,,,,,,1874.79821777344
"H00303-04-01",36,2,,,,,,1874.79821777344
"H00303-04-01",41,2,,,,,,1874.79821777344
"H00303-04-01",42,2,,,,,,1874.79821777344
"H00303-04-01",43,2,,,,,,1874.79821777344
"H00303-04-01",44,2,,,,,,1874.79821777344
"H00303-04-01",45,2,,,,,,1874.79821777344
"H00304-04-01",21,2,,,,,,1874.79821777344
"H00304-04-01",22,2,,,,,,1874.79821777344
"H00304-04-01",23,2,,,,,,1874.79821777344
"H00304-04-01",31,2,,,,,,1874.79821777344
"H00304-04-01",32,2,,,,,,1874.79821777344
"H00304-04-01",33,2,,,,,,1874.79821777344
"H00304-04-01",34,2,,,,,,1874.79821777344
"H00304-04-01",35,2,,,,,,1874.79821777344
"H00304-04-01",36,2,,,,,,1874.79821777344
"H00304-04-01",41,2,,,,,,1874.79821777344
"H00304-04-01",42,2,,,,,,1874.79821777344
"H00304-04-01",43,2,,,,,,1874.79821777344
"H00304-04-01",44,2,,,,,,1874.79821777344
"H00304-04-01",45,2,,,,,,1874.79821777344
"H00307-04-01",21,2,,,,,,1874.79821777344
"H00307-04-01",22,2,,,,,,1874.79821777344
"H00307-04-01",23,2,,,,,,1874.79821777344
"H00307-04-01",31,2,,,,,,1874.79821777344
"H00307-04-01",32,2,,,,,,1874.79821777344
"H00307-04-01",33,2,,,,,,1874.79821777344
"H00307-04-01",34,2,,,,,,1874.79821777344
"H00307-04-01",35,2,,,,,,1874.79821777344
"H00307-04-01",36,2,,,,,,1874.79821777344
"H00307-04-01",41,2,,,,,,1874.79821777344
"H00307-04-01",42,2,,,,,,1874.79821777344
"H00307-04-01",43,2,,,,,,1874.79821777344
"H00307-04-01",44,2,,,,,,1874.79821777344
"H00307-04-01",45,2,,,,,,1874.79821777344
"H00312-04-01",21,2,,,,,,1874.79821777344
"H00312-04-01",22,2,,,,,,1874.79821777344
"H00312-04-01",23,2,,,,,,1874.79821777344
"H00312-04-01",31,2,,,,,,1874.79821777344
"H00312-04-01",32,2,,,,,,1874.79821777344
"H00312-04-01",33,2,,,,,,1874.79821777344
"H00312-04-01",34,2,,,,,,1874.79821777344
"H00312-04-01",35,2,,,,,,1874.79821777344
"H00312-04-01",36,2,,,,,,1874.79821777344
"H00312-04-01",41,2,,,,,,1874.79821777344
