"HHID","h12q1","h12q2","h12q3a","h12q3b","h12q4","h12qNew","h12q4a","h12q4b","h12q4c","h12q4d","h12q4e","h12q6a","h12q6b","h12q7","h12q8","h12q8a","h12q8b","h12q9","h12q10","h12q11a","h12q11b","h12q11c","h12q11d","h12q11e","h12q12","h12q12a","h12q13","h12q14","h12q15","h12q16","h12q17","h12q18","h12q19","_merge"
"H00101-04-01",1,"P00101-001",3,"Making and selling chapati",4721,1,1,,,"P00101-001","P00101-009",5,2013,2,2,"P00101-001","P00101-009",2,,"P00101-008","P00101-009",,,,6,1,2500000,0,0,840000,20000,2,2,3
"H00101-04-01",1,"P00101-001",1,"selling fish(trader)",4721,0,1,,,"P00101-001",,99,2002,7,2,"P00101-001",,1,9,"P00101-001",,,,,12,,3600000,2,240000,900000,0,2,2,3
"H00101-04-01",1,"P00101-001",2,"bar",5630,0,1,,,"P00101-001",,99,1996,4,2,"P00101-001",,2,,"P00101-001",,,,,12,,100000,0,0,75000,0,2,2,3
"H00102-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H00104-04-01",1,"P00104-001",3,"retail sale of fried fish and samosa",4799,1,1,,,"P00104-002",,10,2013,2,2,"P00104-002",,2,,"P00104-002",,,,,4,1,100000,0,0,3000,25000,2,2,3
"H00104-04-01",1,"P00104-001",1,"fish trading",4721,0,2,13,2,,,,,,,"P00104-001",,,,,,,,,,,,0,,,,,,3
"H00104-04-01",1,"P00104-001",2,"fish hunting",6224,1,1,,,"P00104-001",,99,2008,8,2,"P00104-001",,2,,"P00104-001",,,,,7,1,210000,1,25000,50000,3000,2,2,3
"H00110-04-01",1,"P00110-004",1,"phone charging",9609,1,1,,,"P00110-004","P00110-004",8,2012,7,2,"P00110-004","P00110-004",2,,"P00110-004",,,,,12,,20000,0,0,0,0,2,2,3
"H00208-04-01",1,"P00208-002",2,"poultry business",146,1,1,,,"P00208-002","P00208-001",9,2012,1,5,"P00208-002","P00208-001",2,,"P00208-002","P00208-001","P00208-006",,,9,1,296000,0,0,140000,0,2,2,3
"H00208-04-01",1,"P00208-002",1,"selling of charcoal in place of residence",4799,1,1,,,"P00208-002",,3,2003,1,5,"P00208-002",,1,7,"P00208-002","P00208-005",,,,12,,1350000,0,0,120000,0,2,2,3
"H00209-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H00211-04-01",1,"P00211-001",1,"legal consultancy",6910,1,1,,,"P00211-001",,4,2000,7,2,"P00211-001",,2,,"P00211-001",,,,,12,,3000000,0,0,0,650000,2,1,3
"H00213-04-01",1,"P00213-003",1,"guest house",5510,1,1,,,"P00213-001",,99,2006,7,2,"P00213-001",,2,,"P00213-001",,,,,12,,5600000,20,1000000,1600000,850000,1,1,3
"H00301-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H00302-04-01",1,"P00302-001",1,"shoe shiner",9609,1,1,,,"P00302-001",,99,2002,7,2,"P00302-001",,2,,"P00302-001",,,,,12,,450000,0,0,80000,20000,2,2,3
"H00302-04-01",1,"P00302-001",2,"bar",5603,1,1,,,"P00302-001","P00302-003",1,2013,2,2,"P00302-001",,2,,"P00302-001",,,,,12,,380000,0,0,180000,40000,2,2,3
"H00303-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H00304-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H00307-04-01",1,"P00307-002",1,"sells alcohol and sodas in a kiosk",4722,1,1,,,"P00307-002",,99,2010,7,5,"P00307-002",,2,,"P00307-002","P00307-003",,,,12,,65000,0,0,40000,5000,2,2,3
"H00307-04-01",1,"P00307-002",2,"shoe hawker",4799,1,1,,,"P00307-001",,99,2001,8,2,"P00307-001",,2,,"P00307-001",,,,,5,1,500000,0,0,350000,0,2,2,3
"H00312-04-01",1,"P00312-002",1,"sells fresh vegetables, peas and beans",4781,1,1,,,"P00312-001",,99,2009,4,2,"P00312-001",,2,,"P00312-001",,,,,12,,720000,0,0,480000,5000,2,2,3
"H00312-04-01",1,"P00312-002",2,"boda boda rider",4922,1,1,,,"P00312-008",,99,2011,8,8,"P00312-008",,2,,"P00312-008",,,,,12,,1050000,0,0,0,90000,2,2,3
"H00313-04-01",1,"P00313-001",1,"shop owner",4719,1,1,,,"P00313-001",,99,1990,2,2,"P00313-001",,2,,"P00313-001","P00313-002","P00313-011",,,12,,7400000,0,0,4200000,700000,2,2,3
"H00606-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H00704-04-01",1,"P00704-001",1,"sellin dough nuts",4781,0,2,13,2,,,,,,,"P00704-002","P00704-001",,,,,,,,,,,,,,,,,3
"H00704-04-01",1,"P00704-001",2,"boda rider",4922,0,1,,,"P00704-001",,3,2012,6,2,"P00704-001","P00704-001",2,,"P00704-001",,,,,12,,420000,0,0,0,0,2,2,3
"H00707-04-01",1,"P00707-002",1,"whole sale of clothes",4649,1,1,,,"P00707-002",,99,2012,5,2,"P00707-002",,2,,"P00707-002",,,,,12,,2500000,0,0,1500000,300000,8,8,3
"H00710-04-01",1,"P00710-005",2,"sells charcoal",4789,1,1,,,"P00710-001",,10,2012,4,5,"P00710-001",,2,,"P00710-001",,,,,10,2,490000,0,0,350000,20000,2,2,3
"H00710-04-01",1,"P00710-005",1,"sells maize",512,0,2,13,2,"P00710-001",,99,2000,,,"P00710-001",,,,,,,,,,,,,,,,,,3
"H00712-04-01",1,"P00712-006",2,"mtn mobile money",6419,1,1,,,"P00712-005",,1,2014,7,2,"P00712-005",,2,,"P00712-005",,,,,2,1,350000,0,0,0,120000,2,2,3
"H00712-04-01",1,"P00712-006",1,"selling new car tyres",4719,0,1,,,"P00712-002",,99,2008,5,2,"P00712-002",,2,,"P00712-002",,,,,12,,7500000,1,240000,6000000,250000,2,2,3
"H00712-04-01",1,"P00712-006",3,"airtel mobile money",6419,1,1,,,"P00712-006",,9,2013,7,2,"P00712-006",,2,,"P00712-006",,,,,5,1,300000,0,0,0,15000,2,2,3
"H00801-04-01",1,"P00801-001",1,"solar energy installaion",3510,1,1,,,"P00801-001",,5,2005,7,2,"P00801-001",,2,,"P00801-001",,,,,12,,2000000,2,600000,0,300000,1,2,3
"H00801-04-01",1,"P00801-001",2,"sale of charcoal",1910,1,1,,,"P00801-002",,7,2012,7,8,"P00801-002",,2,,"P00801-002",,,,,12,,1200000,2,140000,400000,200000,2,2,3
"H00802-04-01",1,"P00802-001",1,"brewing and sells local alcohol",1103,1,1,,,"P00802-002",,99,1998,2,2,"P00802-002",,2,,"P00802-002","P00802-006",,,,12,,150000,0,0,50000,30000,2,2,3
"H00803-04-01",1,"P00803-001",2,"selling second hand shoes",4771,1,1,,,"P00803-002",,2,2012,4,2,"P00803-002",,1,8,"P00803-002",,,,,12,,1700000,0,0,800000,70000,2,2,3
"H00803-04-01",1,"P00803-001",1,"selling second hand clothes",4771,1,1,,,"P00803-001",,1,1996,4,2,"P00803-001",,2,,"P00803-001",,,,,12,,2000000,0,0,1200000,70000,2,2,3
"H00805-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H00809-04-01",1,"P00809-001",1,"Welding shop",2599,1,1,,,"P00809-001",,99,1993,7,2,"P00809-001","P00809-002",2,,"P00809-001",,,,,12,,1000000,2,200000,150000,500000,8,1,3
"H00810-04-02",1,"P00810-001",1,"Accomodation rentals",5590,1,1,,,"P00810-001","P00810-002",99,2000,1,2,"P00810-001","P00810-002",2,,"P00810-001","P00810-002","P00810-007","P00810-006",,12,,70000,1,50000,0,0,2,1,3
"H00810-04-03",1,"P00810-005",2,"operating a boutique",4771,1,1,,,"P00810-005",,99,2013,7,2,"P00810-005","P00810-026",2,,"P00810-005",,,,,12,,700000,0,200000,500000,0,2,1,3
"H00810-04-03",1,"P00810-005",1,"operating a retail shop",4719,1,1,,,"P00810-005","P00810-026",99,2012,7,2,"P00810-026","P00810-005",2,,"P00810-026",,,,,12,,900000,0,300000,400000,0,2,1,3
"H00811-04-01",1,"P00811-002",1,"mudala for food stuffs",4781,1,1,,,"P00811-002",,99,2011,6,2,"P00811-002","P00811-001",2,,"P00811-002","P00811-001",,,,12,,200000,0,0,120000,0,2,2,3
"H01209-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01209-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01209-04-03",1,"P01209-013",1,"Grocery shop",4719,1,1,,,"P01209-014","P01209-013",99,2010,1,2,"P01209-014","P01209-013",2,,"P01209-014","P01209-013",,,,12,,800000,0,0,500000,50000,2,2,3
"H01210-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01401-04-01",1,"P01401-002",1,"cross boarder trade in household goods",4719,1,1,,,"P01401-002",,11,2010,8,8,"P01401-002",,2,,"P01401-002",,,,,12,,5000000,1,300000,2000000,1000000,2,2,3
"H01402-04-01",1,"P01402-001",1,"Restuarant",5610,1,1,,,"P01402-001","P01402-008",99,2003,1,2,"P01402-001",,2,,"P01402-001","P01402-008","P01402-009",,,12,,2000000,2,1200000,900000,240000,2,2,3
"H01406-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01409-04-01",1,"P01409-001",1,"TAILORING",1392,1,1,,,"P01409-001",,99,1989,1,2,"P01409-001",,2,,"P01409-001",,,,,3,2,100000,0,50000,10000,0,2,2,3
"H01601-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01604-04-01",1,"P01604-001",2,"SELLING BEERS",9522,0,2,4,2,,,,,,,"P01604-001",,,,,,,,,,,,3,,,,,,3
"H01604-04-01",1,"P01604-001",4,"writes and sells books",4630,0,1,,,"P01604-001",,7,1985,1,2,"P01604-001",,2,,"P01604-001",,,,,12,,17000000,4,800000,5000000,1000000,2,1,3
"H01604-04-01",1,"P01604-001",3,"PHOTOCOPYING AND PRINTING",5630,0,2,4,2,,,,,,,"P01604-001",,,,,,,,,,,,1,,,,,,3
"H01604-04-01",1,"P01604-001",1,"internet cafe",4921,0,2,3,2,,,,,,,"P01604-001",,,,,,,,,,,,2,,,,,,3
"H01605-04-01",2,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01607-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01612-04-01",1,"P01612-002",4,"PREPARATION AND SALE OF FOOD IN LOCAL RESTAURANT",4661,1,1,,,"P01612-002",,3,2012,2,2,"P01612-002",,2,,"P01612-002",,,,,12,,750000,0,0,200000,50000,2,2,3
"H01612-04-01",1,"P01612-002",5,"FRYING AND SELLING CASSAVA",4721,1,1,,,"P01612-004",,10,2013,6,2,"P01612-004",,2,,"P01612-004",,,,,7,1,400000,0,0,100000,30000,2,2,3
"H01612-04-01",1,"P01612-002",2,"RESTAURANT",4669,0,2,6,2,"P01612-001",,,,,,,,,,,,,,,,,,0,,,,,,3
"H01612-04-01",1,"P01612-002",3,"RESTUARANT",5229,0,2,13,2,"P01612-004",,,,,,"P01612-004",,,,,,,,,,,,0,,,,,,3
"H01801-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01806-04-01",1,"P01806-002",1,"ladies'saloon",9602,1,1,,,"P01806-002",,11,2013,3,2,"P01806-002",,2,,"P01806-002",,,,,2,1,250000,0,0,150000,10000,2,2,3
"H01806-04-02",1,"P01806-001",1,"wholesale of agric. Output",4620,1,1,,,"P01806-001",,2,2013,7,2,"P01806-001",,1,9,"P01806-001",,,,,10,1,2200000,1,30000,600000,20000,2,2,3
"H01809-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H01813-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02108-04-01",1,"P02108-001",1,"selling food in her restaurant",5610,1,1,,,"P02108-001",,99,2001,5,2,"P02108-001",,2,,"P02108-001",,,,,12,,300000,1,40000,180000,5000,2,2,3
"H02110-04-01",1,"P02110-002",1,"Making and selling snacks",4799,1,1,,,"P02110-002",,99,2010,2,2,"P02110-002","P02110-001",1,2,"P02110-002",,,,,12,,210000,0,0,150000,0,2,2,3
"H02111-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02113-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02203-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02205-04-01",1,"P02205-002",1,"Grocery shop",4719,0,1,,,"P02205-001","P02205-002",99,1986,7,2,"P02205-001",,2,,"P02205-001",,,,,12,,6000000,0,0,5000000,0,2,2,3
"H02206-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02207-04-01",1,"P02207-001",1,"Money lending on village",6499,1,1,,,"P02207-001",,4,2013,2,3,"P02207-001",,1,1,"P02207-001",,,,,7,1,200000,0,0,1000000,0,2,2,3
"H02304-04-01",1,"P02304-002",1,"boda boda",1399,1,1,,,"P02304-001",,2,2013,7,4,"P02304-001","P02304-002",1,2,"P02304-001",,,,,10,1,1200000,0,0,0,400000,2,2,3
"H02304-04-01",1,"P02304-002",2,"tailoring",4922,1,1,,,"P02304-002",,99,2009,4,2,"P02304-002","P02304-001",1,2,"P02304-002",,,,,12,,550000,0,0,200000,8500,2,2,3
"H02305-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02310-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02401-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02407-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02409-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02412-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02507-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02601-04-01",1,"P02601-006",1,"printing and photocopying",4771,1,1,,,"P02601-006","P02601-006",4,2013,5,8,"P02601-006",,2,,"P02601-006",,,,,4,1,2800000,1,200000,500000,200000,2,2,3
"H02601-04-02",1,"P02601-002",1,"tailoring of clothes",4771,1,1,,,"P02601-002",,2,1993,5,2,"P02601-002",,2,,"P02601-002",,,,,12,,1400000,0,0,400000,15000,2,2,3
"H02602-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02608-04-01",1,"P02608-001",1,"RETAIL SALE OF GENERAL MERCHANDISE",5510,1,1,,,"P02608-001",,12,2007,7,2,"P02608-001","P02608-009",2,,"P02608-001","P02608-009",,,,12,,1000000,0,0,800000,20000,2,2,3
"H02608-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02609-04-01",1,"P02609-001",1,"RETAIL SALE OF CABBAGE",4922,1,1,,,"P02609-001",,6,1990,8,2,"P02609-001",,2,,"P02609-001",,,,,12,,450000,0,0,350000,0,2,2,3
"H02703-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02705-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02705-04-02",1,"P02705-003",1,"retail sale of mrrchandise",4719,1,1,,,"P02705-003",,1,2014,5,8,"P02705-003",,2,,"P02705-003",,,,,6,1,800000,0,0,300000,90000,2,2,3
"H02706-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02710-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02711-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02711-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02711-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H02802-04-01",1,"P02802-002",1,"sells second hand clothes",4774,1,1,,,"P02802-002",,9,2006,7,4,"P02802-002","P02802-002",2,,"P02802-002",,,,,12,,1073000,0,0,800000,73000,2,2,3
"H02803-04-01",1,"P02803-001",1,"selling tap water",9609,1,1,,,"P02803-001",,12,2008,2,8,"P02803-001","P02803-002",2,,"P02803-001",,,,,12,,240000,0,0,90000,0,2,2,3
"H02803-04-01",1,"P02803-001",2,"ladies hair dressing",9602,1,1,,,"P02803-002",,99,2003,2,2,"P02803-002","P02803-001",2,,"P02803-002",,,,,12,,120000,0,0,60000,0,2,2,3
"H02811-04-01",1,"P02811-001",1,"trading in second hand clothes",4774,1,1,,,"P02811-001","P02811-003",99,2012,4,2,"P02811-001","P02811-003",2,,"P02811-001","P02811-003",,,,12,,900000,1,100000,500000,150000,1,2,3
"H03001-04-01",1,"P03001-001",2,"sells and repairs electric appliances",4922,0,1,,,"P03001-001","P03001-001",3,2007,5,2,"P03001-001",,2,,"P03001-001",,,,,12,,1500000,1,100000,400000,250000,2,2,3
"H03003-04-01",1,"P03003-001",2,"motorvehicle mechanic",4781,0,1,,,"P03003-001",,99,2006,7,1,"P03003-001",,2,,"P03003-001",,,,,12,,4000000,10,2000000,400000,90000,2,2,3
"H03005-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03006-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03010-04-01",1,"P03010-002",1,"laundry business",4719,0,1,,,"P03010-002","P03010-002",3,2007,2,1,"P03010-002",,2,,"P03010-002",,,,,12,,200000,0,0,0,0,2,2,3
"H03401-04-01",1,"P03401-005",1,"retailsale of general mechandise",5610,1,1,,,"P03401-006",,99,2011,5,2,"P03401-006",,2,,"P03401-006",,,,,12,,700000,1,60000,30000,20000,8,8,3
"H03408-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03409-04-01",1,"P03409-004",2,"retailsle of local herbs",1101,1,1,,,"P03409-004",,99,2007,1,1,"P03409-004",,2,,"P03409-004",,,,,12,,50000,0,0,0,0,2,2,3
"H03409-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03410-04-01",1,"P03410-002",2,"SELLING COOKED FOOD BY THE ROADSIDE",1910,1,1,,,"P03410-014",,4,2013,7,2,"P03410-014",,2,,"P03410-014",,,,,12,,1400000,0,0,900000,100000,2,2,3
"H03410-04-01",1,"P03410-002",1,"LOCAL RESTAURANT",4781,1,1,,,"P03410-002",,99,2006,2,2,"P03410-002",,2,,"P03410-002",,,,,12,,5000000,1,90000,3000000,900000,2,2,3
"H03410-04-02",1,"P03410-007",1,"PREPARATION AND SALE OF SAMOSAS",4520,1,1,,,"P03410-007",,5,2014,2,8,"P03410-007",,2,,"P03410-007",,,,,1,1,600000,0,0,300000,150000,2,2,3
"H03503-04-01",1,"P03503-002",1,"Operates a small restaurant",5610,1,1,,,"P03503-002",,1,2002,4,2,"P03503-002",,2,,"P03503-002",,,,,12,,800000,1,750000,200000,10000,2,2,3
"H03503-04-01",1,"P03503-002",2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03503-04-01",1,"P03503-002",3,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03511-04-01",1,"P03511-002",1,"Hawking clothes by the husband",4799,1,1,,,"P03511-001",,99,1990,8,2,"P03511-001",,2,,"P03511-001",,,,,12,,400000,0,146000,100000,0,2,2,3
"H03512-04-01",1,"P03512-001",1,"Food preparation <Restaurant>",5610,1,1,,,"P03512-002",,3,2012,7,5,"P03512-002","P03512-001",1,7,"P03512-002",,,,,12,,300000,0,0,150000,20000,2,2,3
"H03512-04-01",1,"P03512-001",2,"Retail sale of Charcoal",4799,1,1,,,"P03512-001",,6,2013,6,2,"P03512-001","P03512-002",2,,"P03512-001",,,,,6,1,550000,0,0,430000,0,2,2,3
"H03515-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03601-04-01",1,"P03601-009",1,"making of local beer",,1,1,,,"P03601-001","P03601-009",99,2005,2,2,"P03601-001","P03601-009",2,,"P03601-001","P03601-009",,,,12,,80000,0,0,15000,0,2,2,3
"H03602-04-04",1,"P03602-010",1,"retail selling of  local beer",4722,1,1,,,"P03602-010",,99,2012,7,8,"P03602-010","P03602-001",2,,"P03602-010",,,,,12,,150000,1,5000,60000,15000,2,2,3
"H03603-04-05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03604-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03604-04-08",1,"P03604-023",1,"selling alcholic and soft drinks",5630,1,1,,,"P03604-023","P03604-022",3,2013,7,2,"P03604-023","P03604-022",2,,"P03604-022","P03604-023",,,,10,1,180000,0,0,70000,30000,2,2,3
"H03604-04-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03605-04-02",1,"P03605-006",1,"retail sale pork on a stall outside residence",4721,1,1,,,"P03605-006",,99,1974,2,2,"P03605-006",,2,,"P03605-006",,,,,12,,450000,1,5000,150000,0,2,2,3
"H03607-04-01",1,"P03607-006",1,"Manufacturing and selling of local beer",1103,1,1,,,"P03607-006",,99,2010,2,2,"P03607-006",,2,,"P03607-006",,,,,6,1,250000,1,0,150000,20000,2,2,3
"H03608-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03704-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03705-04-01",1,"P03705-002",2,"retail saletrade",4719,1,1,,,"P03705-002",,1,2011,8,2,"P03705-002",,2,,"P03705-002",,,,,12,,280000,0,0,80000,10000,2,2,3
"H03705-04-01",1,"P03705-002",1,"sawing clothes",1410,1,1,,,"P03705-001",,1,1989,8,2,"P03705-001",,2,,"P03705-001",,,,,12,,400000,0,0,5000,25000,2,2,3
"H03706-04-01",2,,2,"charcoal burner",1910,0,2,2,2,,,,,,,"P03706-003","P03706-004",,,,,,,,,,,0,,,,,,3
"H03707-04-01",1,"P03707-002",2,"witchdoctor",8690,0,1,,,"P03707-001",,99,1980,2,2,"P03707-001",,2,,"P03707-001","P03707-002",,,,12,,300000,0,0,50000,10000,2,2,3
"H03707-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03709-04-01",1,"P03709-001",1," retail sale of goods in a kiosk",4719,1,1,,,"P03709-001","P03709-002",1,2013,2,2,"P03709-001","P03709-002",2,,"P03709-001","P03709-002","P03709-003",,,12,,50000,0,0,5000,0,2,2,3
"H03711-04-02",1,"P03711-006",1,"Manufacturing of bricks",2399,1,1,,,"P03711-006",,3,2006,2,2,"P03711-006",,2,,"P03711-006",,,,,5,1,500000,1,120000,20000,30000,2,2,3
"H03711-04-03",1,"P03711-002",1,"boda - boda rider",4922,0,1,,,"P03711-001","P03711-001",3,2009,8,2,"P03711-001",,2,,"P03711-001",,,,,12,,600000,0,0,0,240000,2,2,3
"H03711-04-04",1,"P03711-010",1,"boda boda rider",4922,1,1,,,"P03711-023",,99,2004,6,4,"P03711-023",,1,2,"P03711-023",,,,,12,,457000,0,0,0,245000,2,2,3
"H03804-04-01",1,"P03804-001",1,"event catering and service providers",5621,1,1,,,"P03804-001",,99,1992,8,2,"P03804-001",,1,1,"P03804-001",,,,,4,1,1000000,9,27000,0,0,1,2,3
"H03807-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03809-04-01",1,"P03809-002",1,"Retail selling of second hand clothing",4774,1,1,,,"P03809-002",,99,1990,7,2,"P03809-002",,1,2,"P03809-002",,,,,12,,500000,0,0,300000,50000,2,2,3
"H03810-04-01",1,"P03810-010",1,"selling fire wood",4799,1,1,,,"P03810-010","P03810-001",99,2012,2,2,"P03810-001",,2,,"P03810-001","P03810-010",,,,12,,200000,0,0,70000,20000,2,2,3
"H03811-04-01",1,"P03811-001",1,"retail sale of second handclothes and shoes",4774,1,1,,,"P03811-001","P03811-005",2,2013,7,2,"P03811-001","P03811-005",2,,"P03811-001","P03811-005","P03811-002",,,4,1,600000,0,0,450000,15000,2,2,3
"H03813-04-01",1,"P03813-001",1,"own boda riding",4922,1,1,,,"P03813-001",,1,2000,4,2,"P03813-001",,2,,"P03813-001",,,,,12,,1800000,0,0,20000,60000,2,2,3
"H03901-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H03902-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
