"HHID","h12q1","h12q2","wgt_X"
"H00101-04-01",1,"P00101-001",2792.466796875
"H00102-04-01",2,,2792.466796875
"H00104-04-01",1,"P00104-001",2792.466796875
"H00110-04-01",1,"P00110-004",2792.466796875
"H00208-04-01",1,"P00208-002",1874.79821777344
"H00209-04-01",2,,1874.79821777344
"H00211-04-01",1,"P00211-001",1874.79821777344
"H00213-04-01",1,"P00213-003",1874.79821777344
"H00301-04-01",2,,1874.79821777344
"H00302-04-01",1,"P00302-001",1874.79821777344
"H00303-04-01",2,,1874.79821777344
"H00304-04-01",2,,1874.79821777344
"H00307-04-01",1,"P00307-002",1874.79821777344
"H00312-04-01",1,"P00312-002",1874.79821777344
"H00313-04-01",1,"P00313-001",1874.79821777344
"H00606-04-01",2,,1874.79821777344
"H00704-04-01",1,"P00704-001",1874.79821777344
"H00707-04-01",1,"P00707-002",1874.79821777344
"H00710-04-01",1,"P00710-005",1874.79821777344
"H00712-04-01",1,"P00712-006",1874.79821777344
"H00801-04-01",1,"P00801-001",1874.79821777344
"H00802-04-01",1,"P00802-001",1874.79821777344
"H00803-04-01",1,"P00803-001",1874.79821777344
"H00805-04-01",2,,1874.79821777344
"H00809-04-01",1,"P00809-001",1874.79821777344
"H00810-04-02",1,"P00810-001",937.399108886719
"H00810-04-03",1,"P00810-005",937.399108886719
"H00811-04-01",1,"P00811-002",1874.79821777344
"H01209-04-01",2,,624.932739257813
"H01209-04-02",2,,624.932739257813
"H01209-04-03",1,"P01209-013",624.932739257813
"H01210-04-01",1,"P01210-002",1874.79809570313
"H01401-04-01",1,"P01401-002",1874.79821777344
"H01402-04-01",1,"P01402-001",1874.79821777344
"H01406-04-01",2,,1874.79821777344
"H01409-04-01",1,"P01409-001",1874.79821777344
"H01601-04-01",2,"P01601-001",1874.79821777344
"H01604-04-01",1,"P01604-001",1874.79821777344
"H01605-04-01",2,,1874.79821777344
"H01607-04-01",2,,1874.79821777344
"H01612-04-01",1,"P01612-002",1874.79821777344
