"HHID","h14q2","h14q3","h14q4","h14q3A","h14q3B","h14q5","h14q2b","h14q8","h14q2c","h14q6","h14q7","wgt_X"
"H00101-04-01",1,1,2,"P00101-001",,300000,2,,400000,,,2792.466796875
"H00101-04-01",2,1,1,"P00101-001",,550000,,,,,1,2792.466796875
"H00101-04-01",3,1,,"P00101-001",,1000000,,,1000000,,,2792.466796875
"H00101-04-01",4,1,,"P00101-001",,500000,,,50000,,,2792.466796875
"H00101-04-01",5,2,,,,,,,,,,2792.466796875
"H00101-04-01",6,1,1,"P00101-001",,200000,1,,250000,,,2792.466796875
"H00101-04-01",7,2,,,,,,,,,,2792.466796875
"H00101-04-01",8,1,1,"P00101-001",,200000,1,,250000,,,2792.466796875
"H00101-04-01",9,1,1,"P00101-001",,75000,,,,,1,2792.466796875
"H00101-04-01",10,2,,,,,,,,,,2792.466796875
"H00101-04-01",11,2,,,,,,,,,,2792.466796875
"H00101-04-01",12,2,,,,,,,,,,2792.466796875
"H00101-04-01",13,1,1,"P00101-001",,500000,1,,150000,,,2792.466796875
"H00101-04-01",14,2,,,,,,,,,,2792.466796875
"H00101-04-01",15,1,1,"P00101-001",,5000,,,,,1,2792.466796875
"H00101-04-01",16,1,2,"P00101-001",,120000,,,,,1,2792.466796875
"H00101-04-01",17,1,1,"P00101-001",,400000,,,,,1,2792.466796875
"H00101-04-01",18,2,,,,,,,,,,2792.466796875
"H00101-04-01",19,1,1,"P00101-001",,150000,2,0,120000,6,,2792.466796875
"H00101-04-01",20,2,,,,,,,,,,2792.466796875
"H00101-04-01",21,1,1,"P00101-001",,20000,,,,,1,2792.466796875
"H00101-04-01",22,2,,,,,,,,,,2792.466796875
"H00102-04-01",1,2,,,,,,,,,,2792.466796875
"H00102-04-01",2,2,,,,,,,,,,2792.466796875
"H00102-04-01",3,2,,,,,,,,,,2792.466796875
"H00102-04-01",4,1,,"P00102-001",,200000,,,,,,2792.466796875
