"HHID","PID","T6FQ02a","T6FQ02b","wgt_X"
"H00101-04-01","P00101-005",2,,2792.466796875
"H00101-04-01","P00101-004",2,,2792.466796875
"H00101-04-01","P00101-001",2,,2792.466796875
"H00101-04-01","P00101-009",2,,2792.466796875
"H00101-04-01","P00101-008",2,,2792.466796875
"H00101-04-01","P00101-010",2,,2792.466796875
"H00102-04-01","P00102-003",2,,2792.466796875
"H00102-04-01","P00102-001",2,,2792.466796875
"H00102-04-01","P00102-004",2,,2792.466796875
"H00102-04-01","P00102-002",1,14,2792.466796875
"H00104-04-01","P00104-005",1,14,2792.466796875
"H00104-04-01","P00104-001",2,,2792.466796875
"H00104-04-01","P00104-007",2,,2792.466796875
"H00104-04-01","P00104-006",2,,2792.466796875
"H00104-04-01","P00104-003",1,14,2792.466796875
"H00104-04-01","P00104-004",1,14,2792.466796875
"H00104-04-01","P00104-002",2,,2792.466796875
"H00110-04-01","P00110-001",2,,2792.466796875
"H00110-04-01","P00110-004",2,,2792.466796875
"H00208-04-01","P00208-005",1,7,1874.79821777344
"H00208-04-01","P00208-002",2,,1874.79821777344
"H00208-04-01","P00208-006",1,4,1874.79821777344
"H00208-04-01","P00208-004",1,7,1874.79821777344
"H00208-04-01","P00208-001",2,,1874.79821777344
"H00209-04-01","P00209-001",2,,1874.79821777344
"H00209-04-01","P00209-005",2,,1874.79821777344
"H00209-04-01","P00209-003",2,,1874.79821777344
"H00209-04-01","P00209-006",2,,1874.79821777344
"H00209-04-01","P00209-004",2,,1874.79821777344
"H00211-04-01","P00211-003",2,,1874.79821777344
"H00211-04-01","P00211-010",2,,1874.79821777344
"H00211-04-01","P00211-008",2,,1874.79821777344
"H00211-04-01","P00211-009",2,,1874.79821777344
"H00211-04-01","P00211-004",2,,1874.79821777344
"H00211-04-01","P00211-001",2,,1874.79821777344
"H00211-04-01","P00211-007",2,,1874.79821777344
"H00213-04-01","P00213-006",1,2,1874.79821777344
"H00213-04-01","P00213-001",1,10,1874.79821777344
"H00213-04-01","P00213-004",2,,1874.79821777344
"H00213-04-01","P00213-003",1,3,1874.79821777344
"H00213-04-01","P00213-007",2,,1874.79821777344
"H00213-04-01","P00213-005",1,3,1874.79821777344
"H00213-04-01","P00213-011",2,,1874.79821777344
"H00301-04-01","P00301-008",2,,1874.79821777344
"H00301-04-01","P00301-002",2,,1874.79821777344
"H00301-04-01","P00301-001",2,,1874.79821777344
"H00301-04-01","P00301-006",2,,1874.79821777344
"H00301-04-01","P00301-003",2,,1874.79821777344
"H00301-04-01","P00301-004",2,,1874.79821777344
"H00302-04-01","P00302-001",1,12,1874.79821777344
"H00302-04-01","P00302-003",1,12,1874.79821777344
"H00303-04-01","P00303-014",2,,1874.79821777344
"H00303-04-01","P00303-018",,,1874.79821777344
"H00303-04-01","P00303-015",2,,1874.79821777344
"H00303-04-01","P00303-005",2,,1874.79821777344
"H00303-04-01","P00303-002",2,,1874.79821777344
"H00303-04-01","P00303-001",2,,1874.79821777344
"H00303-04-01","P00303-019",,,1874.79821777344
"H00304-04-01","P00304-001",2,,1874.79821777344
"H00307-04-01","P00307-001",2,,1874.79821777344
"H00307-04-01","P00307-003",2,,1874.79821777344
"H00307-04-01","P00307-002",2,,1874.79821777344
"H00307-04-01","P00307-005",2,,1874.79821777344
"H00312-04-01","P00312-002",2,,1874.79821777344
"H00312-04-01","P00312-008",1,7,1874.79821777344
"H00312-04-01","P00312-006",1,4,1874.79821777344
"H00312-04-01","P00312-001",2,,1874.79821777344
"H00312-04-01","P00312-007",1,2,1874.79821777344
"H00312-04-01","P00312-004",1,14,1874.79821777344
"H00312-04-01","P00312-003",1,7,1874.79821777344
"H00313-04-01","P00313-011",2,,1874.79821777344
"H00313-04-01","P00313-013",2,,1874.79821777344
"H00313-04-01","P00313-015",2,,1874.79821777344
"H00313-04-01","P00313-005",2,,1874.79821777344
"H00313-04-01","P00313-019",2,,1874.79821777344
"H00313-04-01","P00313-018",2,,1874.79821777344
"H00313-04-01","P00313-002",2,,1874.79821777344
"H00313-04-01","P00313-001",2,,1874.79821777344
"H00313-04-01","P00313-017",2,,1874.79821777344
"H00606-04-01","P00606-004",1,14,1874.79821777344
"H00606-04-01","P00606-005",1,6,1874.79821777344
"H00606-04-01","P00606-002",2,,1874.79821777344
"H00606-04-01","P00606-003",1,14,1874.79821777344
"H00606-04-01","P00606-001",1,6,1874.79821777344
"H00704-04-01","P00704-008",2,,1874.79821777344
"H00704-04-01","P00704-005",2,,1874.79821777344
"H00704-04-01","P00704-002",2,,1874.79821777344
"H00704-04-01","P00704-004",1,14,1874.79821777344
"H00704-04-01","P00704-001",2,,1874.79821777344
"H00704-04-01","P00704-003",1,14,1874.79821777344
"H00704-04-01","P00704-006",2,,1874.79821777344
"H00704-04-01","P00704-007",2,,1874.79821777344
"H00707-04-01","P00707-017",2,,1874.79821777344
"H00707-04-01","P00707-016",2,,1874.79821777344
"H00707-04-01","P00707-015",2,,1874.79821777344
"H00707-04-01","P00707-009",2,,1874.79821777344
"H00707-04-01","P00707-002",2,,1874.79821777344
"H00707-04-01","P00707-008",2,,1874.79821777344
"H00707-04-01","P00707-010",2,,1874.79821777344
"H00707-04-01","P00707-014",2,,1874.79821777344
"H00707-04-01","P00707-018",2,,1874.79821777344
"H00707-04-01","P00707-001",2,,1874.79821777344
"H00710-04-01","P00710-005",2,,1874.79821777344
"H00710-04-01","P00710-001",1,7,1874.79821777344
"H00710-04-01","P00710-004",1,7,1874.79821777344
"H00710-04-01","P00710-009",1,14,1874.79821777344
"H00710-04-01","P00710-007",2,,1874.79821777344
"H00710-04-01","P00710-002",2,,1874.79821777344
"H00710-04-01","P00710-003",1,14,1874.79821777344
"H00710-04-01","P00710-006",1,14,1874.79821777344
"H00710-04-01","P00710-008",1,14,1874.79821777344
"H00712-04-01","P00712-004",1,14,1874.79821777344
"H00712-04-01","P00712-007",1,14,1874.79821777344
"H00712-04-01","P00712-006",1,6,1874.79821777344
"H00712-04-01","P00712-005",1,6,1874.79821777344
"H00712-04-01","P00712-001",1,6,1874.79821777344
"H00712-04-01","P00712-008",1,14,1874.79821777344
"H00712-04-01","P00712-002",1,6,1874.79821777344
"H00712-04-01","P00712-003",1,14,1874.79821777344
"H00801-04-01","P00801-015",2,,1874.79821777344
"H00801-04-01","P00801-014",1,5,1874.79821777344
"H00801-04-01","P00801-001",1,7,1874.79821777344
"H00801-04-01","P00801-002",1,3,1874.79821777344
"H00801-04-01","P00801-003",1,5,1874.79821777344
"H00801-04-01","P00801-008",1,5,1874.79821777344
"H00802-04-01","P00802-003",2,,1874.79821777344
"H00802-04-01","P00802-002",2,,1874.79821777344
"H00802-04-01","P00802-001",2,,1874.79821777344
"H00802-04-01","P00802-006",2,,1874.79821777344
"H00803-04-01","P00803-010",2,,1874.79821777344
"H00803-04-01","P00803-005",1,14,1874.79821777344
"H00803-04-01","P00803-009",2,,1874.79821777344
"H00803-04-01","P00803-007",2,,1874.79821777344
"H00803-04-01","P00803-003",1,7,1874.79821777344
"H00803-04-01","P00803-001",1,5,1874.79821777344
"H00803-04-01","P00803-002",1,6,1874.79821777344
"H00803-04-01","P00803-006",1,14,1874.79821777344
"H00805-04-01","P00805-002",2,,1874.79821777344
"H00805-04-01","P00805-001",2,,1874.79821777344
"H00805-04-01","P00805-004",2,,1874.79821777344
"H00805-04-01","P00805-003",2,,1874.79821777344
"H00809-04-01","P00809-002",2,,1874.79821777344
"H00809-04-01","P00809-009",2,,1874.79821777344
"H00809-04-01","P00809-006",2,,1874.79821777344
"H00809-04-01","P00809-003",1,5,1874.79821777344
"H00809-04-01","P00809-004",2,,1874.79821777344
"H00809-04-01","P00809-007",2,,1874.79821777344
"H00809-04-01","P00809-008",2,,1874.79821777344
"H00809-04-01","P00809-012",2,,1874.79821777344
"H00809-04-01","P00809-010",2,,1874.79821777344
"H00809-04-01","P00809-001",1,3,1874.79821777344
"H00809-04-01","P00809-011",2,,1874.79821777344
"H00809-04-01","P00809-005",2,,1874.79821777344
"H00810-04-02","P00810-022",2,,937.399108886719
"H00810-04-02","P00810-023",1,14,937.399108886719
"H00810-04-02","P00810-009",2,,937.399108886719
"H00810-04-02","P00810-002",1,12,937.399108886719
"H00810-04-02","P00810-005",1,6,937.399108886719
"H00810-04-02","P00810-008",1,14,937.399108886719
"H00810-04-02","P00810-025",2,,937.399108886719
"H00810-04-02","P00810-016",1,10,937.399108886719
"H00810-04-02","P00810-018",1,14,937.399108886719
"H00810-04-02","P00810-006",1,7,937.399108886719
"H00810-04-02","P00810-004",1,14,937.399108886719
"H00810-04-02","P00810-007",1,14,937.399108886719
"H00810-04-02","P00810-001",2,,937.399108886719
"H00810-04-02","P00810-024",2,,937.399108886719
"H00810-04-02","P00810-010",1,14,937.399108886719
"H00810-04-02","P00810-011",1,7,937.399108886719
"H00810-04-02","P00810-021",2,,937.399108886719
"H00810-04-02","P00810-020",2,,937.399108886719
"H00810-04-02","P00810-017",2,,937.399108886719
"H00810-04-02","P00810-019",2,,937.399108886719
"H00810-04-03","P00810-026",1,7,937.399108886719
"H00810-04-03","P00810-005",1,6,937.399108886719
"H00811-04-01","P00811-006",1,14,1874.79821777344
"H00811-04-01","P00811-002",2,,1874.79821777344
"H00811-04-01","P00811-001",2,,1874.79821777344
"H00811-04-01","P00811-004",1,14,1874.79821777344
"H00811-04-01","P00811-003",2,,1874.79821777344
"H00811-04-01","P00811-005",1,14,1874.79821777344
"H01209-04-01","P01209-008",2,,624.932739257813
"H01209-04-01","P01209-006",2,,624.932739257813
"H01209-04-01","P01209-004",2,,624.932739257813
"H01209-04-01","P01209-003",2,,624.932739257813
"H01209-04-01","P01209-001",1,14,624.932739257813
"H01209-04-01","P01209-005",2,,624.932739257813
"H01209-04-01","P01209-007",2,,624.932739257813
"H01209-04-01","P01209-012",2,,624.932739257813
"H01209-04-01","P01209-011",2,,624.932739257813
"H01209-04-02","P01209-025",2,,624.932739257813
"H01209-04-02","P01209-026",2,,624.932739257813
"H01209-04-02","P01209-023",2,,624.932739257813
"H01209-04-02","P01209-024",2,,624.932739257813
"H01209-04-03","P01209-017",1,14,624.932739257813
"H01209-04-03","P01209-021",2,,624.932739257813
"H01209-04-03","P01209-015",1,14,624.932739257813
"H01209-04-03","P01209-014",2,,624.932739257813
"H01209-04-03","P01209-013",2,,624.932739257813
"H01209-04-03","P01209-016",2,,624.932739257813
"H01209-04-03","P01209-027",2,,624.932739257813
"H01210-04-01","P01210-006",2,,1874.79809570313
"H01210-04-01","P01210-004",2,,1874.79809570313
"H01210-04-01","P01210-002",2,,1874.79809570313
"H01210-04-01","P01210-010",2,,1874.79809570313
"H01210-04-01","P01210-001",1,2,1874.79809570313
"H01210-04-01","P01210-005",2,,1874.79809570313
"H01210-04-01","P01210-003",2,,1874.79809570313
"H01401-04-01","P01401-001",1,14,1874.79821777344
"H01401-04-01","P01401-006",1,14,1874.79821777344
"H01401-04-01","P01401-009",2,,1874.79821777344
"H01401-04-01","P01401-002",2,,1874.79821777344
"H01401-04-01","P01401-011",1,14,1874.79821777344
"H01401-04-01","P01401-010",2,,1874.79821777344
