"HHID","h15dq2","h15dq2_1","h15dq3","h15dq4","h15dq5","wgt_X"
"H00101-04-01",201,1,50000,,,2792.466796875
"H00101-04-01",202,1,15000,,,2792.466796875
"H00101-04-01",203,1,20000,,,2792.466796875
"H00101-04-01",206,1,25000,,,2792.466796875
"H00101-04-01",207,1,20000,,,2792.466796875
"H00101-04-01",208,1,30000,,,2792.466796875
"H00101-04-01",409,1,65000,,,2792.466796875
"H00101-04-01",504,1,15000,,,2792.466796875
"H00102-04-01",202,1,,,45000,2792.466796875
"H00102-04-01",203,1,30000,,,2792.466796875
"H00102-04-01",208,1,20000,,,2792.466796875
"H00102-04-01",209,1,5000,,,2792.466796875
"H00102-04-01",600,1,16000,,,2792.466796875
"H00102-04-01",601,1,90000,,,2792.466796875
"H00102-04-01",602,1,90000,,,2792.466796875
"H00102-04-01",603,1,20000,,,2792.466796875
"H00102-04-01",604,1,38000,,,2792.466796875
"H00102-04-01",605,1,34000,,,2792.466796875
"H00104-04-01",203,1,10000,,,2792.466796875
"H00104-04-01",208,1,5000,,,2792.466796875
"H00104-04-01",501,1,5000,,,2792.466796875
"H00104-04-01",600,1,30000,,,2792.466796875
"H00104-04-01",601,1,450000,,,2792.466796875
"H00104-04-01",604,1,12000,,,2792.466796875
"H00104-04-01",605,1,21000,,,2792.466796875
"H00110-04-01",201,1,100000,,,2792.466796875
"H00110-04-01",206,1,30000,,,2792.466796875
"H00208-04-01",204,1,5000,,,1874.79821777344
"H00208-04-01",402,1,5000,,,1874.79821777344
"H00208-04-01",403,1,300000,,,1874.79821777344
"H00208-04-01",601,1,2700000,,,1874.79821777344
"H00208-04-01",604,1,141000,,,1874.79821777344
"H00208-04-01",605,1,810000,,,1874.79821777344
"H00209-04-01",201,1,54000,,,1874.79821777344
"H00209-04-01",202,1,200000,,,1874.79821777344
"H00209-04-01",203,1,21000,,,1874.79821777344
"H00209-04-01",204,1,6000,,,1874.79821777344
"H00209-04-01",206,1,45000,,,1874.79821777344
"H00209-04-01",207,1,50000,,,1874.79821777344
"H00209-04-01",208,1,12000,,20000,1874.79821777344
"H00209-04-01",209,1,6000,,,1874.79821777344
"H00209-04-01",600,1,43000,,,1874.79821777344
"H00209-04-01",601,1,6000000,,,1874.79821777344
"H00209-04-01",603,1,37000,,,1874.79821777344
"H00209-04-01",604,1,178000,,,1874.79821777344
"H00209-04-01",605,1,274000,,,1874.79821777344
"H00211-04-01",201,1,243000,,18000,1874.79821777344
"H00211-04-01",203,1,24000,,,1874.79821777344
"H00211-04-01",204,1,12000,,,1874.79821777344
"H00211-04-01",206,1,68000,,,1874.79821777344
"H00211-04-01",208,1,18000,,,1874.79821777344
"H00211-04-01",209,1,9000,,,1874.79821777344
"H00211-04-01",303,1,18000,,,1874.79821777344
"H00211-04-01",501,1,6000,,,1874.79821777344
"H00211-04-01",503,1,9000,,,1874.79821777344
"H00211-04-01",600,1,121000,,,1874.79821777344
"H00211-04-01",601,1,9660000,,,1874.79821777344
"H00211-04-01",603,1,80000,,,1874.79821777344
"H00211-04-01",604,1,176000,,,1874.79821777344
"H00211-04-01",605,1,211000,,,1874.79821777344
"H00213-04-01",201,1,200000,,,1874.79821777344
"H00213-04-01",202,1,20000,,15000,1874.79821777344
"H00213-04-01",203,1,100000,,,1874.79821777344
"H00213-04-01",204,1,15000,,,1874.79821777344
"H00213-04-01",206,1,100000,,,1874.79821777344
"H00213-04-01",208,1,60000,,,1874.79821777344
"H00213-04-01",209,1,2000,,,1874.79821777344
"H00213-04-01",302,1,25000,,,1874.79821777344
"H00213-04-01",401,1,50000,,,1874.79821777344
"H00213-04-01",403,1,140000,,,1874.79821777344
"H00213-04-01",408,1,70000,,,1874.79821777344
"H00213-04-01",409,1,100000,,,1874.79821777344
"H00213-04-01",502,1,8000,,,1874.79821777344
"H00213-04-01",504,1,30000,,,1874.79821777344
"H00213-04-01",505,1,60000,,,1874.79821777344
"H00213-04-01",600,1,1020000,,,1874.79821777344
"H00213-04-01",601,1,6050000,,,1874.79821777344
"H00213-04-01",604,1,270000,,,1874.79821777344
"H00213-04-01",605,1,720000,,,1874.79821777344
"H00213-04-01",701,1,1200000,,,1874.79821777344
"H00301-04-01",600,1,20000,,,1874.79821777344
"H00301-04-01",601,1,2850000,,,1874.79821777344
"H00301-04-01",603,1,140000,,,1874.79821777344
"H00301-04-01",604,1,295000,,,1874.79821777344
"H00301-04-01",605,1,66000,,,1874.79821777344
"H00302-04-01",203,1,30000,,,1874.79821777344
"H00302-04-01",204,1,7000,,,1874.79821777344
"H00302-04-01",208,1,3000,,,1874.79821777344
"H00302-04-01",503,1,3000,,,1874.79821777344
"H00303-04-01",201,1,21000,,,1874.79821777344
"H00303-04-01",202,1,,,24000,1874.79821777344
"H00303-04-01",203,1,,,30000,1874.79821777344
"H00303-04-01",206,1,14000,,,1874.79821777344
"H00303-04-01",207,1,,,5000,1874.79821777344
"H00303-04-01",208,1,4000,,,1874.79821777344
"H00303-04-01",209,1,6500,,,1874.79821777344
"H00303-04-01",501,1,10000,,,1874.79821777344
"H00304-04-01",201,1,17000,,,1874.79821777344
"H00307-04-01",202,1,13000,,,1874.79821777344
"H00307-04-01",203,1,25000,,,1874.79821777344
"H00307-04-01",204,1,5000,,,1874.79821777344
"H00307-04-01",207,1,20000,,,1874.79821777344
"H00307-04-01",402,1,2000,,,1874.79821777344
"H00307-04-01",501,1,4000,,,1874.79821777344
"H00307-04-01",601,1,360000,,,1874.79821777344
"H00307-04-01",603,1,16000,,,1874.79821777344
"H00307-04-01",604,1,31200,,,1874.79821777344
"H00307-04-01",605,1,13500,,,1874.79821777344
"H00312-04-01",202,1,30000,,,1874.79821777344
"H00312-04-01",203,1,100000,,,1874.79821777344
"H00312-04-01",204,1,12500,,,1874.79821777344
"H00312-04-01",205,1,40000,,,1874.79821777344
"H00312-04-01",209,1,7000,,,1874.79821777344
