"HHID","h15eq2","h15eq2_1","h15eq3","wgt_X"
"H00101-04-01",806,1,1650000,2792.466796875
"H00101-04-01",807,1,20000,2792.466796875
"H00101-04-01",808,1,30000,2792.466796875
"H00102-04-01",803,1,14000,2792.466796875
"H00102-04-01",807,1,20000,2792.466796875
"H00104-04-01",809,1,10000,2792.466796875
"H00209-04-01",803,1,22000,1874.79821777344
"H00211-04-01",801,1,845000,1874.79821777344
"H00211-04-01",803,1,242000,1874.79821777344
"H00211-04-01",806,1,65000,1874.79821777344
"H00211-04-01",807,1,23000,1874.79821777344
"H00213-04-01",802,1,80000,1874.79821777344
"H00213-04-01",806,1,2000000,1874.79821777344
"H00213-04-01",807,1,100000,1874.79821777344
"H00304-04-01",806,1,50000,1874.79821777344
"H00307-04-01",807,1,2000,1874.79821777344
"H00313-04-01",806,1,700000,1874.79821777344
"H00313-04-01",807,1,500000,1874.79821777344
"H00606-04-01",807,1,300000,1874.79821777344
"H00707-04-01",803,1,50000,1874.79821777344
"H00707-04-01",807,1,10000,1874.79821777344
"H00712-04-01",807,1,100000,1874.79821777344
"H01402-04-01",806,1,200000,1874.79821777344
"H01402-04-01",807,1,100000,1874.79821777344
"H01406-04-01",807,1,20000,1874.79821777344
"H01604-04-01",801,1,500000,1874.79821777344
"H01604-04-01",803,1,200000,1874.79821777344
"H01604-04-01",806,1,1350000,1874.79821777344
"H01604-04-01",809,1,4800000,1874.79821777344
"H01605-04-01",807,1,500000,1874.79821777344
"H01612-04-01",806,1,15000,1874.79821777344
"H01801-04-01",807,1,5000,1874.79821777344
"H01806-04-01",802,1,300000,937.399108886719
"H01806-04-02",806,1,20000,937.399108886719
"H01809-04-01",807,1,12000,1874.79821777344
"H01813-04-01",807,1,30000,1874.79821777344
"H02110-04-01",807,1,20000,1874.79821777344
"H02110-04-01",808,1,3120000,1874.79821777344
"H02111-04-01",806,1,150000,1874.79821777344
"H02111-04-01",807,1,100000,1874.79821777344
"H02113-04-01",807,1,100000,1874.79821777344
"H02203-04-01",807,1,30000,1874.79821777344
"H02205-04-01",807,1,80000,1874.79821777344
"H02206-04-01",807,1,11000,1874.79821777344
"H02207-04-01",801,1,360000,1874.79821777344
"H02207-04-01",807,1,240000,1874.79821777344
"H02207-04-01",808,1,240000,1874.79821777344
"H02304-04-01",806,1,80000,1874.79821777344
"H02304-04-01",808,1,910000,1874.79821777344
"H02310-04-01",806,1,140000,1874.79821777344
"H02401-04-01",803,1,24000,1874.79821777344
"H02407-04-01",806,1,80000,1874.79821777344
"H02409-04-01",806,1,500000,1874.79821777344
"H02507-04-01",803,1,360000,1874.79809570313
"H02601-04-01",807,1,100000,937.399108886719
"H02601-04-02",806,1,500000,937.399108886719
"H02601-04-02",807,1,1300000,937.399108886719
"H02601-04-02",808,1,1496000,937.399108886719
"H02602-04-01",803,1,20000,1874.79821777344
"H02602-04-01",806,1,60000,1874.79821777344
"H02608-04-02",806,1,1000000,937.399108886719
"H02608-04-02",807,1,50000,937.399108886719
"H02609-04-01",807,1,20000,1874.79821777344
"H02705-04-01",807,1,50000,937.399108886719
