"HHID","h16q00","h16q01","h16q02a","h16q2y","h16q02b","h16q3a","h16q3b","h16q3c","h16q3d","h16q4a","h16q4b","h16q4c","wgt_X"
"H00101-04-01",102,2,,,,,,,,,,,2792.466796875
"H00101-04-01",104,2,,,,,,,,,,,2792.466796875
"H00101-04-01",105,2,,,,,,,,,,,2792.466796875
"H00101-04-01",106,2,,,,,,,,,,,2792.466796875
"H00101-04-01",107,2,,,,,,,,,,,2792.466796875
"H00101-04-01",108,2,,,,,,,,,,,2792.466796875
"H00101-04-01",109,2,,,,,,,,,,,2792.466796875
"H00101-04-01",110,2,,,,,,,,,,,2792.466796875
"H00101-04-01",111,2,,,,,,,,,,,2792.466796875
"H00101-04-01",112,2,,,,,,,,,,,2792.466796875
"H00101-04-01",113,2,,,,,,,,,,,2792.466796875
"H00101-04-01",114,2,,,,,,,,,,,2792.466796875
"H00101-04-01",115,2,,,,,,,,,,,2792.466796875
"H00101-04-01",116,2,,,,,,,,,,,2792.466796875
"H00101-04-01",117,2,,,,,,,,,,,2792.466796875
"H00101-04-01",118,2,,,,,,,,,,,2792.466796875
"H00101-04-01",1011,2,,,,,,,,,,,2792.466796875
"H00101-04-01",1012,2,,,,,,,,,,,2792.466796875
"H00101-04-01",1031,2,,,,,,,,,,,2792.466796875
"H00101-04-01",1032,2,,,,,,,,,,,2792.466796875
"H00102-04-01",102,2,,,,,,,,,,,2792.466796875
"H00102-04-01",104,1,2,2104,2,1,2,1,2,1,3,8,2792.466796875
"H00102-04-01",105,2,,,,,,,,,,,2792.466796875
"H00102-04-01",106,2,,,,,,,,,,,2792.466796875
"H00102-04-01",107,2,,,,,,,,,,,2792.466796875
"H00102-04-01",108,2,,,,,,,,,,,2792.466796875
"H00102-04-01",109,2,,,,,,,,,,,2792.466796875
"H00102-04-01",110,2,,,,,,,,,,,2792.466796875
"H00102-04-01",111,2,,,,,,,,,,,2792.466796875
"H00102-04-01",112,2,,,,,,,,,,,2792.466796875
"H00102-04-01",113,2,,,,,,,,,,,2792.466796875
"H00102-04-01",114,2,,,,,,,,,,,2792.466796875
"H00102-04-01",115,2,,,,,,,,,,,2792.466796875
"H00102-04-01",116,2,,,,,,,,,,,2792.466796875
"H00102-04-01",117,2,,,,,,,,,,,2792.466796875
"H00102-04-01",118,2,,,,,,,,,,,2792.466796875
"H00102-04-01",1011,1,4,2104,4,1,2,1,2,3,2,8,2792.466796875
"H00102-04-01",1012,2,,,,,,,,,,,2792.466796875
"H00102-04-01",1031,2,,,,,,,,,,,2792.466796875
"H00102-04-01",1032,2,,,,,,,,,,,2792.466796875
"H00104-04-01",102,2,,,,,,,,,,,2792.466796875
"H00104-04-01",104,2,,,,,,,,,,,2792.466796875
"H00104-04-01",105,2,,,,,,,,,,,2792.466796875
"H00104-04-01",106,2,,,,,,,,,,,2792.466796875
"H00104-04-01",107,2,,,,,,,,,,,2792.466796875
"H00104-04-01",108,2,,,,,,,,,,,2792.466796875
