"HHID","h17q1","h17q2","h17q3","h17q4","h17q5","h17q6","h17q7","h17q8","h17q9","wgt_X"
"H00101-04-01","P00101-001",1,2,1,2,2,12,1,2,2792.466796875
"H00102-04-01","P00102-001",1,1,2,2,2,5,5,1,2792.466796875
"H00104-04-01","P00104-001",1,2,2,2,1,4,4,2,2792.466796875
"H00110-04-01","P00110-004",1,3,1,3,4,12,12,2,2792.466796875
"H00208-04-01","P00208-002",1,3,1,4,2,12,12,2,1874.79821777344
"H00209-04-01","P00209-003",1,1,1,3,2,12,4,2,1874.79821777344
"H00211-04-01","P00211-001",1,2,1,3,2,12,12,2,1874.79821777344
"H00213-04-01","P00213-003",1,1,1,4,2,12,4,2,1874.79821777344
"H00301-04-01","P00301-002",1,2,1,2,2,4,4,2,1874.79821777344
"H00302-04-01","P00302-001",1,1,1,3,2,12,12,2,1874.79821777344
"H00303-04-01","P00303-001",1,1,1,2,1,12,4,2,1874.79821777344
"H00304-04-01","P00304-001",1,3,1,3,4,12,12,1,1874.79821777344
"H00307-04-01","P00307-002",1,2,1,2,2,12,1,2,1874.79821777344
"H00312-04-01","P00312-002",1,2,1,3,2,12,2,2,1874.79821777344
"H00313-04-01","P00313-001",1,1,1,4,2,12,4,2,1874.79821777344
"H00606-04-01","P00606-002",1,1,1,3,2,12,4,2,1874.79821777344
"H00704-04-01","P00704-002",1,2,1,2,1,12,5,2,1874.79821777344
"H00707-04-01","P00707-001",1,1,1,3,2,12,12,2,1874.79821777344
"H00710-04-01","P00710-005",1,1,1,3,2,12,5,1,1874.79821777344
"H00712-04-01","P00712-006",2,3,1,3,2,12,12,2,1874.79821777344
"H00801-04-01","P00801-001",1,1,1,3,2,2,2,2,1874.79821777344
"H00802-04-01","P00802-001",1,1,1,3,1,12,1,2,1874.79821777344
"H00803-04-01","P00803-001",1,2,1,3,2,8,8,2,1874.79821777344
"H00805-04-01","P00805-002",1,2,2,3,2,6,12,2,1874.79821777344
"H00809-04-01","P00809-002",1,1,1,3,1,2,2,1,1874.79821777344
"H00810-04-02","P00810-001",1,1,1,3,2,2,12,2,937.399108886719
"H00810-04-03","P00810-005",1,1,1,2,2,12,12,2,937.399108886719
"H00811-04-01","P00811-002",1,1,1,3,1,1,1,2,1874.79821777344
"H01209-04-01","P01209-012",1,1,1,3,1,12,1,2,624.932739257813
"H01209-04-02","P01209-023",1,1,1,3,2,2,8,2,624.932739257813
"H01209-04-03","P01209-013",1,1,1,4,2,2,2,2,624.932739257813
"H01210-04-01","P01210-002",1,2,2,3,1,2,4,2,1874.79809570313
"H01401-04-01","P01401-002",1,3,1,3,2,12,12,2,1874.79821777344
"H01402-04-01","P01402-001",1,1,1,2,2,12,12,2,1874.79821777344
"H01406-04-01","P01406-002",1,2,1,3,2,12,1,2,1874.79821777344
"H01409-04-01","P01409-001",1,1,1,2,2,12,12,2,1874.79821777344
"H01601-04-01","P01601-001",1,1,1,3,2,11,12,2,1874.79821777344
