"HHID","h17q10b","h17q10a","wgt_X"
"H00102-04-01",1,2,2792.466796875
"H00102-04-01",2,2,2792.466796875
"H00102-04-01",3,2,2792.466796875
"H00102-04-01",4,2,2792.466796875
"H00102-04-01",5,2,2792.466796875
"H00102-04-01",6,2,2792.466796875
"H00102-04-01",7,2,2792.466796875
"H00102-04-01",8,2,2792.466796875
"H00102-04-01",9,2,2792.466796875
"H00102-04-01",10,1,2792.466796875
"H00102-04-01",11,1,2792.466796875
"H00102-04-01",12,2,2792.466796875
"H00304-04-01",1,2,1874.79821777344
"H00304-04-01",2,2,1874.79821777344
"H00304-04-01",3,1,1874.79821777344
"H00304-04-01",4,1,1874.79821777344
"H00304-04-01",5,2,1874.79821777344
"H00304-04-01",6,2,1874.79821777344
"H00304-04-01",7,2,1874.79821777344
"H00304-04-01",8,2,1874.79821777344
"H00304-04-01",9,2,1874.79821777344
"H00304-04-01",10,2,1874.79821777344
"H00304-04-01",11,2,1874.79821777344
"H00304-04-01",12,2,1874.79821777344
"H00710-04-01",1,2,1874.79821777344
"H00710-04-01",2,2,1874.79821777344
"H00710-04-01",3,2,1874.79821777344
"H00710-04-01",4,2,1874.79821777344
"H00710-04-01",5,2,1874.79821777344
"H00710-04-01",6,2,1874.79821777344
"H00710-04-01",7,2,1874.79821777344
"H00710-04-01",8,2,1874.79821777344
"H00710-04-01",9,1,1874.79821777344
"H00710-04-01",10,1,1874.79821777344
"H00710-04-01",11,2,1874.79821777344
"H00710-04-01",12,2,1874.79821777344
"H00809-04-01",1,1,1874.79821777344
"H00809-04-01",2,2,1874.79821777344
"H00809-04-01",3,2,1874.79821777344
"H00809-04-01",4,2,1874.79821777344
"H00809-04-01",5,1,1874.79821777344
"H00809-04-01",6,2,1874.79821777344
"H00809-04-01",7,2,1874.79821777344
"H00809-04-01",8,2,1874.79821777344
"H00809-04-01",9,1,1874.79821777344
"H00809-04-01",10,2,1874.79821777344
"H00809-04-01",11,2,1874.79821777344
"H00809-04-01",12,2,1874.79821777344
"H01813-04-01",1,2,1874.79821777344
"H01813-04-01",2,2,1874.79821777344
"H01813-04-01",3,2,1874.79821777344
"H01813-04-01",4,1,1874.79821777344
"H01813-04-01",5,2,1874.79821777344
"H01813-04-01",6,2,1874.79821777344
"H01813-04-01",7,2,1874.79821777344
"H01813-04-01",8,2,1874.79821777344
"H01813-04-01",9,2,1874.79821777344
"H01813-04-01",10,2,1874.79821777344
"H01813-04-01",11,2,1874.79821777344
"H01813-04-01",12,2,1874.79821777344
"H02401-04-01",1,1,1874.79821777344
"H02401-04-01",2,1,1874.79821777344
"H02401-04-01",3,1,1874.79821777344
"H02401-04-01",4,2,1874.79821777344
"H02401-04-01",5,2,1874.79821777344
"H02401-04-01",6,2,1874.79821777344
"H02401-04-01",7,2,1874.79821777344
"H02401-04-01",8,2,1874.79821777344
"H02401-04-01",9,2,1874.79821777344
"H02401-04-01",10,2,1874.79821777344
"H02401-04-01",11,2,1874.79821777344
"H02401-04-01",12,2,1874.79821777344
"H02710-04-01",1,1,1874.79821777344
"H02710-04-01",2,1,1874.79821777344
"H02710-04-01",3,1,1874.79821777344
"H02710-04-01",4,1,1874.79821777344
"H02710-04-01",5,1,1874.79821777344
"H02710-04-01",6,1,1874.79821777344
"H02710-04-01",7,1,1874.79821777344
"H02710-04-01",8,1,1874.79821777344
"H02710-04-01",9,1,1874.79821777344
"H02710-04-01",10,1,1874.79821777344
"H02710-04-01",11,1,1874.79821777344
"H02710-04-01",12,1,1874.79821777344
"H03005-04-01",1,2,1874.79821777344
"H03005-04-01",2,2,1874.79821777344
"H03005-04-01",3,2,1874.79821777344
"H03005-04-01",4,2,1874.79821777344
"H03005-04-01",5,2,1874.79821777344
"H03005-04-01",6,2,1874.79821777344
"H03005-04-01",7,1,1874.79821777344
"H03005-04-01",8,2,1874.79821777344
"H03005-04-01",9,2,1874.79821777344
"H03005-04-01",10,2,1874.79821777344
"H03005-04-01",11,2,1874.79821777344
"H03005-04-01",12,2,1874.79821777344
"H03511-04-01",1,1,1874.79809570313
"H03511-04-01",2,1,1874.79809570313
"H03511-04-01",3,1,1874.79809570313
"H03511-04-01",4,1,1874.79809570313
"H03511-04-01",5,1,1874.79809570313
"H03511-04-01",6,1,1874.79809570313
"H03511-04-01",7,1,1874.79809570313
"H03511-04-01",8,1,1874.79809570313
"H03511-04-01",9,1,1874.79809570313
"H03511-04-01",10,1,1874.79809570313
"H03511-04-01",11,1,1874.79809570313
"H03511-04-01",12,1,1874.79809570313
"H03604-04-09",1,1,850.567138671875
"H03604-04-09",2,2,850.567138671875
"H03604-04-09",3,2,850.567138671875
"H03604-04-09",4,2,850.567138671875
"H03604-04-09",5,2,850.567138671875
"H03604-04-09",6,2,850.567138671875
"H03604-04-09",7,1,850.567138671875
"H03604-04-09",8,2,850.567138671875
"H03604-04-09",9,2,850.567138671875
"H03604-04-09",10,2,850.567138671875
"H03604-04-09",11,2,850.567138671875
"H03604-04-09",12,2,850.567138671875
"H03709-04-01",1,1,2551.70141601563
"H03709-04-01",2,1,2551.70141601563
"H03709-04-01",3,2,2551.70141601563
"H03709-04-01",4,2,2551.70141601563
"H03709-04-01",5,2,2551.70141601563
"H03709-04-01",6,2,2551.70141601563
"H03709-04-01",7,2,2551.70141601563
"H03709-04-01",8,2,2551.70141601563
"H03709-04-01",9,2,2551.70141601563
"H03709-04-01",10,2,2551.70141601563
"H03709-04-01",11,2,2551.70141601563
"H03709-04-01",12,2,2551.70141601563
"H03811-04-01",1,2,2551.70141601563
"H03811-04-01",2,2,2551.70141601563
"H03811-04-01",3,2,2551.70141601563
"H03811-04-01",4,1,2551.70141601563
"H03811-04-01",5,1,2551.70141601563
"H03811-04-01",6,1,2551.70141601563
"H03811-04-01",7,2,2551.70141601563
"H03811-04-01",8,2,2551.70141601563
"H03811-04-01",9,2,2551.70141601563
"H03811-04-01",10,2,2551.70141601563
"H03811-04-01",11,2,2551.70141601563
"H03811-04-01",12,2,2551.70141601563
"H04001-04-01",1,2,2551.70141601563
"H04001-04-01",2,2,2551.70141601563
"H04001-04-01",3,2,2551.70141601563
"H04001-04-01",4,2,2551.70141601563
"H04001-04-01",5,2,2551.70141601563
"H04001-04-01",6,2,2551.70141601563
"H04001-04-01",7,2,2551.70141601563
"H04001-04-01",8,1,2551.70141601563
"H04001-04-01",9,1,2551.70141601563
"H04001-04-01",10,2,2551.70141601563
"H04001-04-01",11,2,2551.70141601563
"H04001-04-01",12,2,2551.70141601563
"H04002-04-01",1,2,2551.70141601563
"H04002-04-01",2,2,2551.70141601563
"H04002-04-01",3,1,2551.70141601563
"H04002-04-01",4,1,2551.70141601563
"H04002-04-01",5,2,2551.70141601563
"H04002-04-01",6,2,2551.70141601563
"H04002-04-01",7,2,2551.70141601563
"H04002-04-01",8,2,2551.70141601563
"H04002-04-01",9,1,2551.70141601563
"H04002-04-01",10,1,2551.70141601563
"H04002-04-01",11,2,2551.70141601563
"H04002-04-01",12,2,2551.70141601563
"H04005-04-01",1,2,2551.70141601563
"H04005-04-01",2,2,2551.70141601563
"H04005-04-01",3,2,2551.70141601563
"H04005-04-01",4,2,2551.70141601563
"H04005-04-01",5,2,2551.70141601563
"H04005-04-01",6,2,2551.70141601563
"H04005-04-01",7,2,2551.70141601563
"H04005-04-01",8,1,2551.70141601563
"H04005-04-01",9,1,2551.70141601563
"H04005-04-01",10,1,2551.70141601563
"H04005-04-01",11,2,2551.70141601563
"H04005-04-01",12,2,2551.70141601563
"H04006-04-01",1,2,2551.70141601563
"H04006-04-01",2,1,2551.70141601563
"H04006-04-01",3,2,2551.70141601563
"H04006-04-01",4,2,2551.70141601563
"H04006-04-01",5,2,2551.70141601563
"H04006-04-01",6,2,2551.70141601563
"H04006-04-01",7,2,2551.70141601563
"H04006-04-01",8,2,2551.70141601563
"H04006-04-01",9,2,2551.70141601563
"H04006-04-01",10,2,2551.70141601563
"H04006-04-01",11,1,2551.70141601563
"H04006-04-01",12,1,2551.70141601563
"H04007-04-01",1,2,2551.70141601563
"H04007-04-01",2,2,2551.70141601563
"H04007-04-01",3,2,2551.70141601563
"H04007-04-01",4,2,2551.70141601563
"H04007-04-01",5,2,2551.70141601563
"H04007-04-01",6,2,2551.70141601563
"H04007-04-01",7,2,2551.70141601563
"H04007-04-01",8,2,2551.70141601563
"H04007-04-01",9,2,2551.70141601563
"H04007-04-01",10,1,2551.70141601563
"H04007-04-01",11,2,2551.70141601563
"H04007-04-01",12,2,2551.70141601563
"H04010-04-01",1,2,1275.85070800781
"H04010-04-01",2,2,1275.85070800781
"H04010-04-01",3,1,1275.85070800781
"H04010-04-01",4,2,1275.85070800781
"H04010-04-01",5,2,1275.85070800781
"H04010-04-01",6,2,1275.85070800781
"H04010-04-01",7,2,1275.85070800781
"H04010-04-01",8,2,1275.85070800781
"H04010-04-01",9,2,1275.85070800781
"H04010-04-01",10,2,1275.85070800781
"H04010-04-01",11,2,1275.85070800781
"H04010-04-01",12,2,1275.85070800781
"H04501-04-01",1,2,2792.466796875
"H04501-04-01",2,2,2792.466796875
"H04501-04-01",3,2,2792.466796875
"H04501-04-01",4,2,2792.466796875
"H04501-04-01",5,2,2792.466796875
"H04501-04-01",6,2,2792.466796875
"H04501-04-01",7,2,2792.466796875
"H04501-04-01",8,1,2792.466796875
"H04501-04-01",9,1,2792.466796875
"H04501-04-01",10,2,2792.466796875
"H04501-04-01",11,2,2792.466796875
"H04501-04-01",12,2,2792.466796875
"H04509-04-01",1,2,2792.466796875
"H04509-04-01",2,2,2792.466796875
