"HHID","PID","h2q1","h3q2a","h3q2b","h3q3","h3q4","h3q5a","h3q5b","h3q6","h3q7","h3q9","h3q10","h3q11","h3q12","h3q13R","h3q13D","h3q14R","h3q14D","h3q15","h3q16R","h3q16D","h3q18","h3q19","wgt_X"
"H00101-04-01","P00101-001",1,2,,12,19,2,,11,19,30,3,,,1,103,1,101,17,1,103,2,0,2792.466796875
"H00101-04-01","P00101-008",4,2,,15,19,1,"P00101-001",,,17,3,,,1,105,1,105,1,1,105,1,1,2792.466796875
"H00101-04-01","P00101-009",5,2,,15,19,1,"P00101-001",,,17,3,,,1,105,1,105,1,1,105,1,1,2792.466796875
"H00102-04-01","P00102-001",1,3,,,,3,,,,28,2,9,2,1,111,1,111,24,1,101,2,0,2792.466796875
"H00102-04-01","P00102-002",2,2,,99,19,1,"P00102-001",,,17,9,,,1,101,1,111,6,1,101,14,0,2792.466796875
"H00102-04-01","P00102-003",3,2,,99,19,2,,99,19,17,3,,,1,111,1,111,2,1,111,2,1,2792.466796875
"H00102-04-01","P00102-004",4,2,,17,4,1,"P00102-001",,,30,2,9,2,1,111,,,100,,,,,2792.466796875
"H00104-04-01","P00104-001",1,2,,99,19,3,,,,17,2,1,2,1,105,1,101,18,1,105,1,0,2792.466796875
"H00104-04-01","P00104-002",2,2,,99,19,2,,99,1,17,2,1,2,1,122,1,101,15,1,102,9,0,2792.466796875
"H00104-04-01","P00104-003",3,1,"P00104-001",,,1,"P00104-002",,,17,9,,,1,101,,,100,,,,,2792.466796875
"H00104-04-01","P00104-006",6,1,"P00104-001",,,1,"P00104-002",,,17,2,1,2,1,101,,,100,,,,,2792.466796875
"H00104-04-01","P00104-007",7,1,"P00104-001",,,1,"P00104-002",,,17,2,1,2,1,101,,,100,,,,,2792.466796875
"H00110-04-01","P00110-001",1,3,,,,2,,16,18,17,3,,,1,118,1,101,18,1,102,1,0,2792.466796875
"H00110-04-01","P00110-004",2,3,,,,3,,,,17,3,,,1,102,1,102,1,1,102,1,1,2792.466796875
"H00208-04-01","P00208-001",1,3,,,,3,,,,17,3,,,1,106,1,102,60,1,106,1,0,1874.79821777344
"H00208-04-01","P00208-002",2,3,,,,3,,,,17,3,,,1,105,1,102,37,1,103,9,0,1874.79821777344
"H00208-04-01","P00208-004",3,1,"P00208-001",,,1,"P00208-002",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00208-04-01","P00208-005",4,1,"P00208-001",,,1,"P00208-002",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00208-04-01","P00208-006",5,1,"P00208-001",,,1,"P00208-002",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00209-04-01","P00209-001",1,3,,,,2,,17,19,38,2,2,2,4,405,1,102,20,4,405,1,0,1874.79821777344
"H00209-04-01","P00209-003",2,2,,17,19,1,"P00209-001",,,28,3,,,1,102,,,100,,,,,1874.79821777344
"H00209-04-01","P00209-004",3,2,,17,20,1,"P00209-001",,,28,2,2,2,1,102,,,100,,,,,1874.79821777344
"H00209-04-01","P00209-005",4,2,,17,19,2,,73,21,38,2,2,2,4,405,1,102,7,4,405,8,0,1874.79821777344
"H00209-04-01","P00209-006",5,2,,99,5,2,,17,19,96,2,2,2,1,102,,,100,,,,,1874.79821777344
"H00211-04-01","P00211-001",1,3,,,,3,,,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00211-04-01","P00211-003",2,1,"P00211-001",,,2,,34,5,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00211-04-01","P00211-004",3,1,"P00211-001",,,2,,34,5,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00211-04-01","P00211-007",4,3,,,,2,,34,5,17,2,2,2,1,102,,,100,,,,,1874.79821777344
"H00211-04-01","P00211-008",5,3,,,,2,,34,5,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00211-04-01","P00211-009",6,3,,,,3,,,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00211-04-01","P00211-010",7,3,,,,3,,,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00213-04-01","P00213-001",1,3,,,,2,,1,99,17,2,4,2,1,104,1,102,35,1,102,2,0,1874.79821777344
"H00213-04-01","P00213-003",2,1,"P00213-001",,,3,,,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00213-04-01","P00213-004",3,1,"P00213-001",,,3,,,,17,1,9,2,1,102,,,100,,,,,1874.79821777344
"H00213-04-01","P00213-005",4,1,"P00213-001",,,3,,,,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00213-04-01","P00213-006",5,1,"P00213-001",,,3,,,,17,9,,,1,102,,,100,,,,,1874.79821777344
"H00213-04-01","P00213-007",6,1,"P00213-001",,,3,,,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00213-04-01","P00213-011",7,3,,,,2,,8,19,35,1,9,2,2,204,2,204,0,2,204,2,1,1874.79821777344
"H00301-04-01","P00301-001",1,3,,,,3,,,,35,3,,,2,203,1,102,20,2,203,2,0,1874.79821777344
"H00301-04-01","P00301-002",2,2,,73,9,2,,73,9,35,3,,,2,203,1,102,20,2,203,9,0,1874.79821777344
"H00301-04-01","P00301-003",3,1,"P00301-001",,,1,"P00301-002",,,35,2,2,2,1,102,,,100,,,,,1874.79821777344
"H00301-04-01","P00301-004",4,1,"P00301-001",,,1,"P00301-002",,,35,2,2,2,1,102,,,100,,,,,1874.79821777344
"H00301-04-01","P00301-006",5,1,"P00301-001",,,1,"P00301-002",,,35,3,,,1,102,,,100,,,,,1874.79821777344
"H00301-04-01","P00301-008",6,2,,14,19,2,,31,19,35,3,,,1,102,,,100,,,,,1874.79821777344
"H00302-04-01","P00302-001",1,3,,,,3,,,,17,3,,,1,116,1,102,13,1,116,2,0,1874.79821777344
"H00302-04-01","P00302-003",2,1,"P00302-001",,,2,,15,5,17,3,,,1,116,1,102,13,1,116,14,0,1874.79821777344
"H00303-04-01","P00303-001",1,3,,,,3,,,,30,3,,,1,106,1,102,42,1,106,2,0,1874.79821777344
