"HHID","PID","h5q2","h5q3","h5q4","h5q5","h5q6","h5q7a","h5q7b","h5q8","h5q9","h5q10","h5q11","h5q12","wgt_X"
"H00101-04-01","P00101-001",1,,1,14,7,14,40,1,,1,10,0,2792.466796875
"H00101-04-01","P00101-008",2,"P00101-001",2,,,,,,,,,,2792.466796875
"H00101-04-01","P00101-009",2,"P00101-001",2,,,,,,,,,,2792.466796875
"H00102-04-01","P00102-001",1,,1,5,2,4,9,1,,7,3,20000,2792.466796875
"H00102-04-01","P00102-002",2,"P00102-001",2,,,,,,,,,,2792.466796875
"H00102-04-01","P00102-003",2,"P00102-001",1,3,1,96,40,1,,7,3,10000,2792.466796875
"H00102-04-01","P00102-004",2,"P00102-001",2,,,,,,,,,,2792.466796875
"H00104-04-01","P00104-001",1,,2,,,,,,,,,,2792.466796875
"H00104-04-01","P00104-002",2,"P00104-001",2,,,,,,,,,,2792.466796875
"H00104-04-01","P00104-003",2,"P00104-001",2,,,,,,,,,,2792.466796875
"H00104-04-01","P00104-006",2,"P00104-001",2,,,,,,,,,,2792.466796875
"H00104-04-01","P00104-007",2,"P00104-001",1,8,2,13,5,1,,6,0.02,5000,2792.466796875
"H00110-04-01","P00110-001",1,,2,,,,,,,,,,2792.466796875
"H00110-04-01","P00110-004",1,,2,,,,,,,,,,2792.466796875
"H00208-04-01","P00208-001",2,"P00208-002",2,,,,,,,,,,1874.79821777344
"H00208-04-01","P00208-002",1,,2,,,,,,,,,,1874.79821777344
"H00208-04-01","P00208-004",2,"P00208-002",1,4,0,13,21,1,,7,1,25000,1874.79821777344
"H00208-04-01","P00208-005",2,"P00208-002",2,,,,,,,,,,1874.79821777344
"H00208-04-01","P00208-006",2,"P00208-002",2,,,,,,,,,,1874.79821777344
"H00209-04-01","P00209-001",2,"P00209-003",2,,,,,,,,,,1874.79821777344
"H00209-04-01","P00209-003",1,,1,4,4,11,9,1,,2,4,0,1874.79821777344
"H00209-04-01","P00209-004",2,"P00209-003",2,,,,,,,,,,1874.79821777344
"H00209-04-01","P00209-005",2,"P00209-003",2,,,,,,,,,,1874.79821777344
"H00209-04-01","P00209-006",2,"P00209-003",2,,,,,,,,,,1874.79821777344
"H00211-04-01","P00211-001",2,"P00211-004",2,,,,,,,,,,1874.79821777344
"H00211-04-01","P00211-003",2,"P00211-004",2,,,,,,,,,,1874.79821777344
"H00211-04-01","P00211-004",2,"P00211-008",2,,,,,,,,,,1874.79821777344
"H00211-04-01","P00211-007",2,"P00211-008",1,30,4,13,,1,,5,3,0,1874.79821777344
"H00211-04-01","P00211-008",1,,2,,,,,,,,,,1874.79821777344
"H00211-04-01","P00211-009",2,"P00211-008",2,,,,,,,,,,1874.79821777344
"H00211-04-01","P00211-010",2,"P00211-008",2,,,,,,,,,,1874.79821777344
"H00213-04-01","P00213-001",2,"P00213-003",1,15,7,13,40,1,,11,7,0,1874.79821777344
"H00213-04-01","P00213-003",1,,2,,,,,,,,,,1874.79821777344
"H00213-04-01","P00213-004",2,"P00213-003",2,,,,,,,,,,1874.79821777344
