"HHID","PID","h6q18","h6q18_1","wgt_X"
"H00102-04-01","P00102-004",1,,2792.466796875
"H00102-04-01","P00102-004",8,,2792.466796875
"H00102-04-01","P00102-004",2,,2792.466796875
"H00102-04-01","P00102-004",9,,2792.466796875
"H00102-04-01","P00102-004",10,,2792.466796875
"H00104-04-01","P00104-006",1,,2792.466796875
"H00104-04-01","P00104-005",9,,2792.466796875
"H00104-04-01","P00104-006",9,,2792.466796875
"H00104-04-01","P00104-007",8,,2792.466796875
"H00104-04-01","P00104-005",10,,2792.466796875
"H00104-04-01","P00104-006",10,,2792.466796875
"H00104-04-01","P00104-005",8,,2792.466796875
"H00104-04-01","P00104-005",2,,2792.466796875
"H00104-04-01","P00104-007",9,,2792.466796875
"H00104-04-01","P00104-007",2,,2792.466796875
"H00104-04-01","P00104-005",1,,2792.466796875
"H00104-04-01","P00104-007",1,,2792.466796875
"H00104-04-01","P00104-006",8,,2792.466796875
"H00104-04-01","P00104-006",2,,2792.466796875
"H00104-04-01","P00104-007",10,,2792.466796875
"H00301-04-01","P00301-008",10,,1874.79821777344
"H00301-04-01","P00301-006",1,,1874.79821777344
"H00301-04-01","P00301-008",8,,1874.79821777344
"H00301-04-01","P00301-006",10,,1874.79821777344
"H00301-04-01","P00301-008",1,,1874.79821777344
"H00301-04-01","P00301-008",9,,1874.79821777344
"H00301-04-01","P00301-006",8,,1874.79821777344
"H00301-04-01","P00301-006",2,,1874.79821777344
"H00301-04-01","P00301-008",2,,1874.79821777344
"H00301-04-01","P00301-006",9,,1874.79821777344
"H00801-04-01","P00801-008",2,,1874.79821777344
"H00801-04-01","P00801-008",10,,1874.79821777344
"H00801-04-01","P00801-008",1,,1874.79821777344
"H00801-04-01","P00801-008",8,,1874.79821777344
"H00801-04-01","P00801-008",3,,1874.79821777344
"H00801-04-01","P00801-008",9,,1874.79821777344
"H00803-04-01","P00803-009",2,,1874.79821777344
"H00803-04-01","P00803-009",1,,1874.79821777344
"H00803-04-01","P00803-009",8,,1874.79821777344
"H00803-04-01","P00803-009",9,,1874.79821777344
"H00803-04-01","P00803-009",10,,1874.79821777344
"H00805-04-01","P00805-003",2,,1874.79821777344
"H00805-04-01","P00805-004",8,,1874.79821777344
"H00805-04-01","P00805-003",10,,1874.79821777344
"H00805-04-01","P00805-003",8,,1874.79821777344
"H00805-04-01","P00805-003",3,,1874.79821777344
"H00805-04-01","P00805-004",2,,1874.79821777344
"H00805-04-01","P00805-004",1,,1874.79821777344
"H00805-04-01","P00805-003",1,,1874.79821777344
"H00805-04-01","P00805-004",10,,1874.79821777344
"H00805-04-01","P00805-004",9,,1874.79821777344
"H00805-04-01","P00805-004",3,,1874.79821777344
"H00805-04-01","P00805-003",9,,1874.79821777344
"H00809-04-01","P00809-010",8,,1874.79821777344
"H00809-04-01","P00809-011",2,,1874.79821777344
"H00809-04-01","P00809-011",3,,1874.79821777344
"H00809-04-01","P00809-010",9,,1874.79821777344
"H00809-04-01","P00809-010",1,,1874.79821777344
"H00809-04-01","P00809-010",2,,1874.79821777344
"H00809-04-01","P00809-010",3,,1874.79821777344
"H00809-04-01","P00809-011",10,,1874.79821777344
"H00809-04-01","P00809-011",8,,1874.79821777344
"H00809-04-01","P00809-011",9,,1874.79821777344
"H00809-04-01","P00809-011",1,,1874.79821777344
"H00809-04-01","P00809-010",10,,1874.79821777344
"H00810-04-02","P00810-022",1,,937.399108886719
"H00810-04-02","P00810-022",10,,937.399108886719
"H00810-04-02","P00810-021",2,,937.399108886719
"H00810-04-02","P00810-022",2,,937.399108886719
"H00810-04-02","P00810-017",9,,937.399108886719
"H00810-04-02","P00810-024",9,,937.399108886719
"H00810-04-02","P00810-020",9,,937.399108886719
"H00810-04-02","P00810-021",10,,937.399108886719
"H00810-04-02","P00810-021",1,,937.399108886719
"H00810-04-02","P00810-024",8,,937.399108886719
"H00810-04-02","P00810-017",2,,937.399108886719
"H00810-04-02","P00810-017",8,,937.399108886719
"H00810-04-02","P00810-020",1,,937.399108886719
"H00810-04-02","P00810-022",8,,937.399108886719
"H00810-04-02","P00810-024",2,,937.399108886719
"H00810-04-02","P00810-017",1,,937.399108886719
"H00810-04-02","P00810-024",1,,937.399108886719
"H00810-04-02","P00810-022",9,,937.399108886719
"H00810-04-02","P00810-021",8,,937.399108886719
"H00810-04-02","P00810-020",8,,937.399108886719
"H00810-04-02","P00810-024",10,,937.399108886719
"H00810-04-02","P00810-020",2,,937.399108886719
"H00810-04-02","P00810-017",10,,937.399108886719
"H00810-04-02","P00810-021",9,,937.399108886719
"H00810-04-02","P00810-020",10,,937.399108886719
"H00811-04-01","P00811-006",2,,1874.79821777344
"H00811-04-01","P00811-006",9,,1874.79821777344
"H00811-04-01","P00811-006",8,,1874.79821777344
"H00811-04-01","P00811-006",3,,1874.79821777344
"H00811-04-01","P00811-006",1,,1874.79821777344
"H00811-04-01","P00811-006",10,,1874.79821777344
"H01209-04-02","P01209-026",1,,624.932739257813
"H01209-04-02","P01209-026",8,,624.932739257813
"H01209-04-02","P01209-025",2,,624.932739257813
"H01209-04-02","P01209-025",1,,624.932739257813
"H01209-04-02","P01209-026",2,,624.932739257813
"H01209-04-02","P01209-026",10,,624.932739257813
"H01209-04-02","P01209-026",9,,624.932739257813
"H01209-04-02","P01209-025",10,,624.932739257813
"H01209-04-02","P01209-025",8,,624.932739257813
"H01209-04-02","P01209-025",9,,624.932739257813
"H01209-04-03","P01209-027",2,,624.932739257813
"H01209-04-03","P01209-027",8,,624.932739257813
"H01209-04-03","P01209-027",1,,624.932739257813
"H01209-04-03","P01209-027",10,,624.932739257813
"H01209-04-03","P01209-027",9,,624.932739257813
"H01210-04-01","P01210-010",10,,1874.79809570313
"H01210-04-01","P01210-010",1,,1874.79809570313
"H01210-04-01","P01210-010",9,,1874.79809570313
"H01210-04-01","P01210-010",2,,1874.79809570313
"H01210-04-01","P01210-010",8,,1874.79809570313
"H01601-04-01","P01601-008",1,,1874.79821777344
"H01601-04-01","P01601-008",10,,1874.79821777344
"H01601-04-01","P01601-008",2,,1874.79821777344
"H01601-04-01","P01601-008",9,,1874.79821777344
"H01601-04-01","P01601-008",8,,1874.79821777344
"H01607-04-01","P01607-011",9,,1874.79821777344
"H01607-04-01","P01607-011",10,,1874.79821777344
"H01607-04-01","P01607-011",1,,1874.79821777344
"H01607-04-01","P01607-011",2,,1874.79821777344
"H01607-04-01","P01607-011",8,,1874.79821777344
"H01612-04-01","P01612-008",9,,1874.79821777344
"H01612-04-01","P01612-008",8,,1874.79821777344
"H01612-04-01","P01612-008",2,,1874.79821777344
"H01612-04-01","P01612-008",1,,1874.79821777344
"H01612-04-01","P01612-008",10,,1874.79821777344
"H01806-04-01","P01806-009",2,,937.399108886719
"H01806-04-01","P01806-009",1,,937.399108886719
"H01806-04-01","P01806-009",8,,937.399108886719
"H01806-04-01","P01806-009",10,,937.399108886719
"H01806-04-01","P01806-009",9,,937.399108886719
"H01806-04-02","P01806-013",10,,937.399108886719
"H01806-04-02","P01806-014",2,,937.399108886719
"H01806-04-02","P01806-015",10,,937.399108886719
"H01806-04-02","P01806-014",10,,937.399108886719
"H01806-04-02","P01806-015",2,,937.399108886719
"H01806-04-02","P01806-015",8,,937.399108886719
"H01806-04-02","P01806-014",1,,937.399108886719
"H01806-04-02","P01806-015",1,,937.399108886719
"H01806-04-02","P01806-014",9,,937.399108886719
"H01806-04-02","P01806-014",8,,937.399108886719
"H01806-04-02","P01806-015",9,,937.399108886719
"H01806-04-02","P01806-013",1,,937.399108886719
"H01806-04-02","P01806-013",8,,937.399108886719
"H01806-04-02","P01806-013",9,,937.399108886719
"H01806-04-02","P01806-013",2,,937.399108886719
"H01813-04-01","P01813-015",10,,1874.79821777344
"H01813-04-01","P01813-016",9,,1874.79821777344
"H01813-04-01","P01813-009",9,,1874.79821777344
"H01813-04-01","P01813-016",10,,1874.79821777344
"H01813-04-01","P01813-009",8,,1874.79821777344
"H01813-04-01","P01813-009",10,,1874.79821777344
"H01813-04-01","P01813-016",2,,1874.79821777344
"H01813-04-01","P01813-015",8,,1874.79821777344
"H01813-04-01","P01813-015",1,,1874.79821777344
"H01813-04-01","P01813-009",2,,1874.79821777344
"H01813-04-01","P01813-015",2,,1874.79821777344
"H01813-04-01","P01813-009",1,,1874.79821777344
"H01813-04-01","P01813-016",8,,1874.79821777344
"H01813-04-01","P01813-016",1,,1874.79821777344
"H01813-04-01","P01813-015",9,,1874.79821777344
"H02108-04-01","P02108-005",2,,1874.79821777344
"H02108-04-01","P02108-005",3,,1874.79821777344
"H02108-04-01","P02108-005",8,,1874.79821777344
"H02108-04-01","P02108-005",1,,1874.79821777344
"H02108-04-01","P02108-005",9,,1874.79821777344
"H02108-04-01","P02108-005",10,,1874.79821777344
"H02111-04-01","P02111-009",1,,1874.79821777344
"H02111-04-01","P02111-009",2,,1874.79821777344
"H02111-04-01","P02111-009",9,,1874.79821777344
"H02111-04-01","P02111-009",8,,1874.79821777344
"H02111-04-01","P02111-009",10,,1874.79821777344
"H02206-04-01","P02206-006",8,,1874.79821777344
"H02206-04-01","P02206-006",9,,1874.79821777344
"H02206-04-01","P02206-006",1,,1874.79821777344
"H02206-04-01","P02206-006",2,,1874.79821777344
"H02206-04-01","P02206-006",10,,1874.79821777344
"H02412-04-01","P02412-005",9,,1874.79821777344
"H02412-04-01","P02412-007",8,,1874.79821777344
"H02412-04-01","P02412-007",2,,1874.79821777344
"H02412-04-01","P02412-007",9,,1874.79821777344
"H02412-04-01","P02412-005",8,,1874.79821777344
"H02412-04-01","P02412-005",1,,1874.79821777344
"H02412-04-01","P02412-005",2,,1874.79821777344
"H02412-04-01","P02412-007",1,,1874.79821777344
"H02412-04-01","P02412-007",10,,1874.79821777344
"H02412-04-01","P02412-005",10,,1874.79821777344
"H02507-04-01","P02507-006",2,,1874.79809570313
"H02507-04-01","P02507-006",1,,1874.79809570313
"H02507-04-01","P02507-006",9,,1874.79809570313
"H02507-04-01","P02507-006",8,,1874.79809570313
"H02507-04-01","P02507-006",10,,1874.79809570313
"H02601-04-02","P02601-012",10,,937.399108886719
"H02601-04-02","P02601-012",1,,937.399108886719
"H02601-04-02","P02601-012",9,,937.399108886719
"H02601-04-02","P02601-012",2,,937.399108886719
"H02601-04-02","P02601-012",8,,937.399108886719
"H02602-04-01","P02602-023",1,,1874.79821777344
"H02602-04-01","P02602-023",2,,1874.79821777344
"H02602-04-01","P02602-023",8,,1874.79821777344
"H02602-04-01","P02602-023",9,,1874.79821777344
"H02602-04-01","P02602-023",10,,1874.79821777344
"H02608-04-01","P02608-010",10,,937.399108886719
"H02608-04-01","P02608-010",1,,937.399108886719
"H02608-04-01","P02608-010",2,,937.399108886719
"H02608-04-01","P02608-010",9,,937.399108886719
"H02608-04-01","P02608-010",8,,937.399108886719
"H02608-04-02","P02608-012",9,,937.399108886719
"H02608-04-02","P02608-012",8,,937.399108886719
"H02608-04-02","P02608-012",2,,937.399108886719
"H02608-04-02","P02608-012",10,,937.399108886719
"H02608-04-02","P02608-012",1,,937.399108886719
"H02706-04-01","P02706-015",3,,1874.79821777344
"H02706-04-01","P02706-015",1,,1874.79821777344
"H02706-04-01","P02706-015",2,,1874.79821777344
"H02710-04-01","P02710-012",10,,1874.79821777344
"H02710-04-01","P02710-012",9,,1874.79821777344
"H02710-04-01","P02710-012",1,,1874.79821777344
"H02710-04-01","P02710-012",8,,1874.79821777344
"H02710-04-01","P02710-012",3,,1874.79821777344
"H02710-04-01","P02710-012",2,,1874.79821777344
"H02711-04-03","P02711-011",9,,624.932739257813
"H02711-04-03","P02711-011",1,,624.932739257813
"H02711-04-03","P02711-010",8,,624.932739257813
"H02711-04-03","P02711-011",10,,624.932739257813
"H02711-04-03","P02711-010",9,,624.932739257813
"H02711-04-03","P02711-011",2,,624.932739257813
"H02711-04-03","P02711-010",3,,624.932739257813
"H02711-04-03","P02711-010",2,,624.932739257813
"H02711-04-03","P02711-010",1,,624.932739257813
"H02711-04-03","P02711-011",8,,624.932739257813
"H02711-04-03","P02711-011",3,,624.932739257813
"H02711-04-03","P02711-010",10,,624.932739257813
"H03001-04-01","P03001-006",9,,1874.79821777344
"H03001-04-01","P03001-003",8,,1874.79821777344
"H03001-04-01","P03001-006",10,,1874.79821777344
"H03001-04-01","P03001-003",9,,1874.79821777344
"H03001-04-01","P03001-003",2,,1874.79821777344
"H03001-04-01","P03001-006",2,,1874.79821777344
"H03001-04-01","P03001-003",1,,1874.79821777344
"H03001-04-01","P03001-006",1,,1874.79821777344
"H03001-04-01","P03001-006",8,,1874.79821777344
"H03001-04-01","P03001-003",10,,1874.79821777344
"H03003-04-01","P03003-004",8,,1874.79821777344
"H03003-04-01","P03003-006",2,,1874.79821777344
"H03003-04-01","P03003-004",10,,1874.79821777344
"H03003-04-01","P03003-006",9,,1874.79821777344
"H03003-04-01","P03003-006",10,,1874.79821777344
"H03003-04-01","P03003-004",2,,1874.79821777344
"H03003-04-01","P03003-004",1,,1874.79821777344
"H03003-04-01","P03003-006",1,,1874.79821777344
"H03003-04-01","P03003-004",9,,1874.79821777344
"H03003-04-01","P03003-006",8,,1874.79821777344
"H03005-04-01","P03005-005",10,,1874.79821777344
"H03005-04-01","P03005-005",8,,1874.79821777344
"H03005-04-01","P03005-005",9,,1874.79821777344
"H03005-04-01","P03005-005",2,,1874.79821777344
"H03005-04-01","P03005-005",1,,1874.79821777344
"H03408-04-01","P03408-005",9,,1874.79821777344
"H03408-04-01","P03408-006",9,,1874.79821777344
"H03408-04-01","P03408-005",2,,1874.79821777344
"H03408-04-01","P03408-005",1,,1874.79821777344
"H03408-04-01","P03408-006",10,,1874.79821777344
"H03408-04-01","P03408-006",1,,1874.79821777344
"H03408-04-01","P03408-006",2,,1874.79821777344
"H03408-04-01","P03408-005",8,,1874.79821777344
"H03408-04-01","P03408-006",8,,1874.79821777344
"H03408-04-01","P03408-005",10,,1874.79821777344
"H03409-04-01","P03409-035",1,,937.399108886719
"H03409-04-01","P03409-035",9,,937.399108886719
"H03409-04-01","P03409-035",10,,937.399108886719
"H03409-04-01","P03409-035",2,,937.399108886719
"H03409-04-01","P03409-035",8,,937.399108886719
"H03409-04-02","P03409-037",9,,937.399108886719
"H03409-04-02","P03409-037",2,,937.399108886719
"H03409-04-02","P03409-037",10,,937.399108886719
"H03409-04-02","P03409-037",8,,937.399108886719
"H03409-04-02","P03409-037",1,,937.399108886719
"H03410-04-02","P03410-016",2,,937.399108886719
"H03410-04-02","P03410-016",10,,937.399108886719
"H03410-04-02","P03410-016",9,,937.399108886719
"H03410-04-02","P03410-016",1,,937.399108886719
"H03410-04-02","P03410-016",8,,937.399108886719
"H03511-04-01","P03511-005",9,,1874.79809570313
"H03511-04-01","P03511-005",10,,1874.79809570313
"H03511-04-01","P03511-005",1,,1874.79809570313
"H03511-04-01","P03511-005",2,,1874.79809570313
"H03511-04-01","P03511-005",8,,1874.79809570313
"H03601-04-01","P03601-012",10,,2551.70141601563
"H03601-04-01","P03601-014",1,,2551.70141601563
"H03601-04-01","P03601-012",9,,2551.70141601563
"H03601-04-01","P03601-014",8,,2551.70141601563
"H03601-04-01","P03601-012",1,,2551.70141601563
"H03601-04-01","P03601-014",2,,2551.70141601563
"H03601-04-01","P03601-012",8,,2551.70141601563
"H03601-04-01","P03601-014",10,,2551.70141601563
"H03601-04-01","P03601-012",3,,2551.70141601563
"H03601-04-01","P03601-014",9,,2551.70141601563
"H03601-04-01","P03601-012",2,,2551.70141601563
"H03601-04-01","P03601-014",3,,2551.70141601563
"H03602-04-04","P03602-011",1,,2551.70141601563
"H03602-04-04","P03602-013",8,,2551.70141601563
"H03602-04-04","P03602-015",3,,2551.70141601563
"H03602-04-04","P03602-011",10,,2551.70141601563
"H03602-04-04","P03602-013",3,,2551.70141601563
"H03602-04-04","P03602-015",1,,2551.70141601563
"H03602-04-04","P03602-015",8,,2551.70141601563
"H03602-04-04","P03602-013",2,,2551.70141601563
"H03602-04-04","P03602-015",9,,2551.70141601563
"H03602-04-04","P03602-013",9,,2551.70141601563
"H03602-04-04","P03602-015",10,,2551.70141601563
"H03602-04-04","P03602-013",10,,2551.70141601563
"H03602-04-04","P03602-011",8,,2551.70141601563
"H03602-04-04","P03602-011",2,,2551.70141601563
"H03602-04-04","P03602-015",2,,2551.70141601563
"H03602-04-04","P03602-011",9,,2551.70141601563
"H03602-04-04","P03602-011",3,,2551.70141601563
"H03602-04-04","P03602-013",1,,2551.70141601563
"H03604-04-04","P03604-049",8,,850.567138671875
"H03604-04-04","P03604-049",1,,850.567138671875
"H03604-04-04","P03604-049",10,,850.567138671875
"H03604-04-04","P03604-049",9,,850.567138671875
"H03604-04-04","P03604-049",2,,850.567138671875
"H03605-04-02","P03605-008",10,,2551.70141601563
"H03605-04-02","P03605-005",8,,2551.70141601563
"H03605-04-02","P03605-008",2,,2551.70141601563
"H03605-04-02","P03605-005",9,,2551.70141601563
"H03605-04-02","P03605-008",1,,2551.70141601563
"H03605-04-02","P03605-008",9,,2551.70141601563
"H03605-04-02","P03605-005",10,,2551.70141601563
"H03605-04-02","P03605-008",8,,2551.70141601563
