"PID","HHID","h6q23_1","h6q23","wgt_X"
"P00104-007","H00104-04-01",8,2,2792.466796875
"P00104-007","H00104-04-01",1,2,2792.466796875
"P00104-007","H00104-04-01",18,2,2792.466796875
"P00104-007","H00104-04-01",16,2,2792.466796875
"P00104-007","H00104-04-01",15,2,2792.466796875
"P00104-007","H00104-04-01",13,2,2792.466796875
"P00104-007","H00104-04-01",17,2,2792.466796875
"P00104-007","H00104-04-01",2,1,2792.466796875
"P00104-007","H00104-04-01",7,2,2792.466796875
"P00104-007","H00104-04-01",99,2,2792.466796875
"P00104-007","H00104-04-01",19,2,2792.466796875
"P00104-007","H00104-04-01",6,2,2792.466796875
"P00104-007","H00104-04-01",11,2,2792.466796875
"P00104-007","H00104-04-01",14,2,2792.466796875
"P00104-007","H00104-04-01",12,2,2792.466796875
"P00803-009","H00803-04-01",19,2,1874.79821777344
"P00803-009","H00803-04-01",1,2,1874.79821777344
"P00803-009","H00803-04-01",14,2,1874.79821777344
"P00803-009","H00803-04-01",18,2,1874.79821777344
"P00803-009","H00803-04-01",17,2,1874.79821777344
"P00803-009","H00803-04-01",6,2,1874.79821777344
"P00803-009","H00803-04-01",13,2,1874.79821777344
"P00803-009","H00803-04-01",2,1,1874.79821777344
"P00803-009","H00803-04-01",7,2,1874.79821777344
"P00803-009","H00803-04-01",15,2,1874.79821777344
"P00803-009","H00803-04-01",11,2,1874.79821777344
"P00803-009","H00803-04-01",99,2,1874.79821777344
"P00803-009","H00803-04-01",16,1,1874.79821777344
"P00803-009","H00803-04-01",12,2,1874.79821777344
"P00803-009","H00803-04-01",8,2,1874.79821777344
"P00809-010","H00809-04-01",2,2,1874.79821777344
"P00809-010","H00809-04-01",6,2,1874.79821777344
"P00809-010","H00809-04-01",13,2,1874.79821777344
"P00809-010","H00809-04-01",8,2,1874.79821777344
"P00809-010","H00809-04-01",12,2,1874.79821777344
"P00809-010","H00809-04-01",11,2,1874.79821777344
"P00809-011","H00809-04-01",15,2,1874.79821777344
"P00809-011","H00809-04-01",2,2,1874.79821777344
"P00809-011","H00809-04-01",6,2,1874.79821777344
"P00809-011","H00809-04-01",7,2,1874.79821777344
"P00809-011","H00809-04-01",14,2,1874.79821777344
"P00809-011","H00809-04-01",17,2,1874.79821777344
"P00809-011","H00809-04-01",18,2,1874.79821777344
"P00809-011","H00809-04-01",13,2,1874.79821777344
"P00809-010","H00809-04-01",99,2,1874.79821777344
"P00809-011","H00809-04-01",12,2,1874.79821777344
"P00809-011","H00809-04-01",19,2,1874.79821777344
"P00809-011","H00809-04-01",8,2,1874.79821777344
"P00809-010","H00809-04-01",16,2,1874.79821777344
"P00809-011","H00809-04-01",16,2,1874.79821777344
"P00809-010","H00809-04-01",1,1,1874.79821777344
"P00809-010","H00809-04-01",15,2,1874.79821777344
"P00809-011","H00809-04-01",99,2,1874.79821777344
"P00809-010","H00809-04-01",17,2,1874.79821777344
"P00809-010","H00809-04-01",19,2,1874.79821777344
"P00809-010","H00809-04-01",14,2,1874.79821777344
"P00809-011","H00809-04-01",11,2,1874.79821777344
"P00809-011","H00809-04-01",1,1,1874.79821777344
"P00809-010","H00809-04-01",18,2,1874.79821777344
"P00809-010","H00809-04-01",7,2,1874.79821777344
"P01210-010","H01210-04-01",16,2,1874.79809570313
"P01210-010","H01210-04-01",99,2,1874.79809570313
"P01210-010","H01210-04-01",17,2,1874.79809570313
"P01210-010","H01210-04-01",1,2,1874.79809570313
"P01210-010","H01210-04-01",12,2,1874.79809570313
"P01210-010","H01210-04-01",15,2,1874.79809570313
"P01210-010","H01210-04-01",7,2,1874.79809570313
"P01210-010","H01210-04-01",8,2,1874.79809570313
"P01210-010","H01210-04-01",18,2,1874.79809570313
"P01210-010","H01210-04-01",19,2,1874.79809570313
