"HHID","h9q0","h9q1","h9q2","h9q3","h9q4","h9q5","h9q6","h9q7","h9q8","h9q9a","h9q9b","h9q10","h9q11b","h9q12","h9q13","h9q14","h9q15a","h9q15b","h9q15c","h9q16","h9q17","h9q18","h9q19","h9q20","h9q21","h9q22","h9q22a","h9q22b","h9q23","wgt_X"
"H00101-04-01",1,10,10,3,10,15,14,17,6,10,0,0.0500000007450581,5,2,,,"P00101-008","P00101-009",,1,2,2,1,2,5,17,,,,2792.466796875
"H00102-04-01",2,15,16,1,10,12,14,16,1,60,0,2.40000009536743,2,2,,,"P00102-001","P00102-002","P00102-003",9,2,2,2,2,1,13,2,,1,2792.466796875
"H00104-04-01",1,15,10,1,10,15,14,17,96,1,0,0.00999999977648258,3,2,,,"P00104-002",,,2,2,2,1,2,8,17,,,,2792.466796875
"H00110-04-01",1,10,10,1,10,15,14,14,96,7,5,0.25,2,2,,,"P00110-004","P00110-001",,1,4,8,2,2,4,12,1,2,1,2792.466796875
"H00208-04-01",1,10,10,2,10,11,10,11,,,,,3,1,1,52000,,,,2,2,2,1,,5,12,2,,1,1874.79821777344
"H00209-04-01",1,11,16,2,10,12,13,11,,,,,10,1,1,6000,,,,1,1,2,1,,3,13,1,7,1,1874.79821777344
"H00211-04-01",1,10,10,5,10,12,13,11,,,,,20,1,1,12000,,,,1,1,2,1,,5,12,2,,1,1874.79821777344
"H00213-04-01",1,11,10,3,10,11,14,11,,,,,5,1,2,20000,,,,2,2,2,2,,5,11,1,30,1,1874.79821777344
"H00301-04-01",1,11,16,2,10,12,13,12,2,2,2,0.400000005960464,5,1,1,15000,"P00301-002","P00301-004","P00301-003",1,2,2,1,1,3,12,1,10,1,1874.79821777344
"H00302-04-01",2,15,15,1,10,15,14,12,6,5,2,0,4,1,1,21600,"P00302-003",,,1,2,2,1,2,1,12,1,90,1,1874.79821777344
"H00303-04-01",1,10,16,1,10,12,13,16,1,2,4,0.100000001490116,10,2,,,"P00303-001","P00303-002","P00303-005",1,1,2,1,1,2,13,1,15,1,1874.79821777344
"H00304-04-01",2,15,16,1,96,15,14,15,,3,2,0.0399999991059303,0,2,,,"P00304-001",,,1,4,8,2,,5,10,1,4,2,1874.79821777344
"H00307-04-01",1,15,15,1,10,12,13,12,6,3,2,0,3,1,1,6000,"P00307-002","P00307-003",,2,1,8,1,1,5,12,1,15,1,1874.79821777344
"H00312-04-01",2,15,16,2,10,12,13,12,6,3,2,0.0199999995529652,10,1,1,15000,"P00312-002","P00312-001",,9,2,1,1,1,5,10,1,8,2,1874.79821777344
"H00313-04-01",1,10,10,4,10,12,13,10,,,,,10,1,1,100000,,,,2,2,2,1,,5,10,2,,1,1874.79821777344
"H00606-04-01",1,15,15,1,10,12,13,11,,,,,2,2,,,,,,1,2,2,1,,5,12,2,,3,1874.79821777344
