"HHID","PID","w2q1a","w2q1b","w2q1c","w2q2","w2q3","w2q4","w2q5","wgt_X"
"H00101-04-01","P00101-001",3,,,1,2,16,20,2792.466796875
"H00102-04-01","P00102-001",3,,,2,3,17,30,2792.466796875
"H00104-04-01","P00104-002",1,"P00104-001",1,,,23,24,2792.466796875
"H00208-04-01","P00208-006",3,,,3,,,,1874.79821777344
"H00209-04-01","P00209-003",3,,,3,,,,1874.79821777344
"H00209-04-01","P00209-001",3,,,1,3,20,25,1874.79821777344
"H00213-04-01","P00213-011",3,,,3,,,,1874.79821777344
"H00301-04-01","P00301-002",1,"P00301-001",1,,,16,18,1874.79821777344
"H00302-04-01","P00302-003",3,,,3,,,,1874.79821777344
"H00307-04-01","P00307-002",1,"P00307-001",2,,,18,20,1874.79821777344
"H00312-04-01","P00312-002",3,,,3,,,,1874.79821777344
"H00606-04-01","P00606-002",2,"P00606-001",1,,,22,36,1874.79821777344
"H00704-04-01","P00704-004",3,,,3,,,,1874.79821777344
"H00704-04-01","P00704-002",1,"P00704-001",1,,,20,21,1874.79821777344
"H00707-04-01","P00707-018",3,,,3,,,,1874.79821777344
"H00707-04-01","P00707-008",3,,,3,,,,1874.79821777344
"H00710-04-01","P00710-003",3,,,3,,,,1874.79821777344
"H00710-04-01","P00710-005",3,,,3,,,,1874.79821777344
"H00802-04-01","P00802-002",1,"P00802-001",2,,,32,40,1874.79821777344
"H00803-04-01","P00803-002",3,,,3,,,,1874.79821777344
"H00805-04-01","P00805-002",2,"P00805-001",1,,,18,27,1874.79821777344
"H00809-04-01","P00809-002",1,"P00809-001",1,,,16,29,1874.79821777344
"H00810-04-03","P00810-005",1,"P00810-026",1,,,21,22,937.399108886719
"H00811-04-01","P00811-002",1,"P00811-001",1,,,18,23,1874.79821777344
"H01209-04-01","P01209-006",3,,,3,,,,624.932739257813
"H01209-04-02","P01209-024",1,"P01209-023",1,,,17,20,624.932739257813
"H01209-04-03","P01209-014",1,"P01209-013",1,,,23,40,624.932739257813
"H01210-04-01","P01210-004",3,,,3,,,,1874.79809570313
"H01210-04-01","P01210-002",1,"P01210-001",1,,,17,20,1874.79809570313
"H01401-04-01","P01401-010",3,,,3,,,,1874.79821777344
"H01402-04-01","P01402-008",3,,,3,,,,1874.79821777344
"H01402-04-01","P01402-001",3,,,2,1,26,35,1874.79821777344
"H01402-04-01","P01402-009",3,,,3,,,,1874.79821777344
"H01406-04-01","P01406-002",3,,,3,,,,1874.79821777344
"H01406-04-01","P01406-003",3,,,3,,,,1874.79821777344
"H01601-04-01","P01601-007",2,"P01601-001",1,,,19,30,1874.79821777344
"H01605-04-01","P01605-026",3,,,3,,,,1874.79821777344
"H01605-04-01","P01605-015",1,"P01605-021",1,,,13,48,1874.79821777344
"H01607-04-01","P01607-005",3,,,3,,,,1874.79821777344
"H01612-04-01","P01612-002",3,,,3,,,,1874.79821777344
"H01801-04-01","P01801-002",1,"P01801-001",2,,,18,16,1874.79821777344
"H01806-04-01","P01806-002",3,,,2,3,20,23,937.399108886719
"H01806-04-02","P01806-010",1,"P01806-001",1,,,22,28,937.399108886719
"H01809-04-01","P01809-001",3,,,1,1,20,45,1874.79821777344
"H01809-04-01","P01809-006",3,,,3,,,,1874.79821777344
"H02108-04-01","P02108-001",3,,,1,3,17,19,1874.79821777344
"H02110-04-01","P02110-002",1,"P02110-001",1,,,18,47,1874.79821777344
"H02110-04-01","P02110-003",3,,,3,,,,1874.79821777344
"H02111-04-01","P02111-011",3,,,3,,,,1874.79821777344
"H02111-04-01","P02111-002",1,"P02111-001",1,,,22,26,1874.79821777344
"H02203-04-01","P02203-002",2,,1,,,21,28,1874.79821777344
"H02203-04-01","P02203-003",3,,,3,,,,1874.79821777344
"H02203-04-01","P02203-006",3,,,3,,,,1874.79821777344
"H02203-04-01","P02203-005",3,,,3,,,,1874.79821777344
"H02205-04-01","P02205-004",3,,,3,,,,1874.79821777344
"H02206-04-01","P02206-005",2,"P02206-001",1,,,24,39,1874.79821777344
"H02207-04-01","P02207-001",2,"P02207-005",2,,,20,23,1874.79821777344
"H02304-04-01","P02304-002",1,"P02304-001",1,,,25,27,1874.79821777344
"H02310-04-01","P02310-002",3,,,1,3,17,20,1874.79821777344
"H02409-04-01","P02409-001",3,,,2,3,16,23,1874.79821777344
"H02507-04-01","P02507-002",1,"P02507-001",1,,,22,31,1874.79809570313
"H02601-04-02","P02601-005",3,,,2,3,20,25,937.399108886719
"H02602-04-01","P02602-005",2,"P02602-001",1,,,18,61,1874.79821777344
"H02602-04-01","P02602-009",3,,,3,,,,1874.79821777344
"H02608-04-01","P02608-009",2,"P02608-001",1,,,37,63,937.399108886719
"H02609-04-01","P02609-002",3,,,3,,,,1874.79821777344
"H02703-04-02","P02703-016",1,"P02703-001",1,,,27,32,1874.79821777344
"H02705-04-01","P02705-008",2,"P02705-001",2,,,22,30,937.399108886719
"H02706-04-01","P02706-014",2,"P02706-009",1,,,25,25,1874.79821777344
"H02711-04-03","P02711-012",3,,,1,3,16,20,624.932739257813
"H02711-04-03","P02711-005",1,"P02711-008",1,,,19,32,624.932739257813
"H02802-04-01","P02802-002",2,"P02802-001",1,,,17,25,1874.79821777344
"H02802-04-01","P02802-005",3,,,3,,,,1874.79821777344
"H02803-04-01","P02803-002",1,"P02803-001",1,,,19,34,1874.79821777344
"H02811-04-01","P02811-001",3,,,1,3,27,45,1874.79821777344
"H02811-04-01","P02811-004",3,,,3,,,,1874.79821777344
"H03001-04-01","P03001-002",1,"P03001-001",1,,,18,26,1874.79821777344
"H03003-04-01","P03003-002",1,"P03003-001",1,,,18,27,1874.79821777344
"H03005-04-01","P03005-002",3,,,3,,,,1874.79821777344
"H03006-04-01","P03006-013",3,,,3,,,,1874.79821777344
"H03006-04-01","P03006-011",3,,,3,,,,1874.79821777344
"H03010-04-01","P03010-003",3,,,3,,,,1874.79821777344
"H03010-04-01","P03010-002",1,"P03010-001",1,,,21,24,1874.79821777344
"H03401-04-01","P03401-007",3,,,3,,,,1874.79821777344
"H03401-04-01","P03401-002",3,,,3,,,,1874.79821777344
"H03408-04-01","P03408-001",3,,,2,3,17,23,1874.79821777344
"H03409-04-01","P03409-006",1,,2,,,18,28,937.399108886719
"H03409-04-02","P03409-002",2,"P03409-036",1,,,20,22,937.399108886719
"H03410-04-01","P03410-002",2,"P03410-001",1,,,15,20,937.399108886719
"H03410-04-02","P03410-007",2,"P03410-015",1,,,20,24,937.399108886719
