"HHID","PID","w5q2","w5q3","w5q4","w5q6","w5q7a","w5q7b","w5q7c","w5q10","w5q11a","w5q11b","w5q11c","w5q11d","w5q11e","w5q11f","w5q11g","w5q11h","w5q11i","w5q11o","w5q11p","w5q11x","w5q13c","w5q13a","w5q13b","wgt_X"
"H00101-04-01","P00101-001",,,,2,,,,2,0,0,0,0,0,0,0,1,0,1,"stoped men isses",0,993,1,2,2792.466796875
"H00102-04-01","P00102-001",,,,2,,,,9,0,0,0,0,0,0,0,0,0,0,,0,993,10,1,2792.466796875
"H00104-04-01","P00104-002",,,,8,,,,1,0,0,0,0,0,0,0,0,0,0,,0,995,,,2792.466796875
"H00208-04-01","P00208-006",,,,1,991,5,0,1,0,0,0,0,0,0,0,0,0,0,,0,993,3,1,1874.79821777344
"H00209-04-01","P00209-001",,,,2,,,,9,0,0,0,0,0,0,0,0,0,0,,0,993,1,2,1874.79821777344
"H00209-04-01","P00209-003",,,,1,995,,,,0,0,0,0,0,0,0,0,0,0,,0,993,0,1,1874.79821777344
"H00213-04-01","P00213-011",,,,2,,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,2,2,1874.79821777344
"H00301-04-01","P00301-002",,,,2,,,,9,0,0,0,0,0,0,0,0,0,0,,0,993,2,2,1874.79821777344
"H00302-04-01","P00302-003",,,,1,995,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,18,1,1874.79821777344
"H00303-04-01","P00303-005",,,,8,,,,9,0,0,0,0,0,0,0,0,0,0,,0,993,1,3,1874.79821777344
"H00307-04-01","P00307-002",,,,3,,,,,0,0,0,0,1,0,0,0,0,0,,0,993,1,3,1874.79821777344
"H00312-04-01","P00312-002",,,,1,995,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,8,1,1874.79821777344
"H00606-04-01","P00606-002",,,,2,,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,5,1,1874.79821777344
"H00704-04-01","P00704-002",,,,2,,,,9,0,0,0,0,0,0,0,0,0,0,,0,993,4,1,1874.79821777344
"H00704-04-01","P00704-004",,,,8,,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,2,2,1874.79821777344
"H00707-04-01","P00707-008",,,,8,,,,9,0,0,0,0,0,0,0,0,0,0,,0,993,2,2,1874.79821777344
"H00707-04-01","P00707-018",,,,1,995,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,7,1,1874.79821777344
"H00710-04-01","P00710-005",,,,8,,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,1,1,1874.79821777344
"H00710-04-01","P00710-003",,,,1,995,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,3,2,1874.79821777344
"H00802-04-01","P00802-002",,,,2,,,,9,0,0,0,0,0,0,0,0,0,0,,0,994,,,1874.79821777344
"H00803-04-01","P00803-002",,,,8,,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,2,2,1874.79821777344
"H00805-04-01","P00805-002",,,,1,991,0,6,,0,0,0,0,0,0,0,0,0,0,,0,993,1,3,1874.79821777344
"H00809-04-01","P00809-002",,,,8,,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,3,2,1874.79821777344
"H00810-04-02","P00810-005",,,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,,,,937.399108886719
"H00810-04-03","P00810-005",,,,1,991,5,0,,0,0,0,0,0,0,0,0,0,0,,0,993,7,1,937.399108886719
"H00811-04-01","P00811-002",,,,1,993,,,,0,0,0,0,0,0,0,0,0,0,,0,993,3,2,1874.79821777344
"H01209-04-01","P01209-006",,,,1,995,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,8,2,624.932739257813
"H01209-04-02","P01209-024",,,,1,991,4,48,,0,0,0,0,0,0,0,0,0,0,,0,993,4,3,624.932739257813
"H01209-04-03","P01209-014",,,,1,998,,,,0,0,0,0,0,0,0,0,0,0,,0,993,2,2,624.932739257813
"H01210-04-01","P01210-004",,,,1,995,,,1,0,0,0,0,0,0,0,0,0,0,,0,,,,1874.79809570313
"H01210-04-01","P01210-002",,,,2,,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,3,3,1874.79809570313
"H01401-04-01","P01401-010",,,,1,991,4,0,1,0,0,0,0,0,0,0,0,0,0,,0,993,10,1,1874.79821777344
"H01402-04-01","P01402-008",,,,1,991,1,0,,0,0,0,0,0,0,0,0,0,0,,0,993,2,2,1874.79821777344
"H01402-04-01","P01402-009",,,,1,994,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,3,2,1874.79821777344
"H01402-04-01","P01402-001",,,,2,,,,9,0,0,0,0,0,0,0,0,0,0,,0,993,2,2,1874.79821777344
"H01406-04-01","P01406-003",,,,8,,,,1,0,0,0,0,0,0,0,0,0,0,,0,993,3,2,1874.79821777344
"H01406-04-01","P01406-002",,,,1,991,5,60,1,0,0,0,0,0,0,0,0,0,0,,0,993,3,2,1874.79821777344
"H01601-04-01","P01601-007",,,,1,991,2,6,1,0,0,0,0,0,0,0,0,0,0,,0,993,10,3,1874.79821777344
"H01605-04-01","P01605-026",,,,1,991,10,0,1,0,0,0,0,0,0,0,0,0,0,,0,993,4,1,1874.79821777344
"H01605-04-01","P01605-015",1,,1,,991,4,0,,0,0,0,0,0,0,0,0,0,0,,0,993,6,3,1874.79821777344
