"id_hh","wgt","ea","rural"
"H00101-04-01",8509.0029296875,1,2
"H00102-04-01",0,1,2
"H00104-04-01",5105.40185546875,1,1
"H00110-04-01",0,1,2
"H00208-04-01",9335.5107421875,2,1
"H00209-04-01",0,2,1
"H00211-04-01",6317.57177734375,2,1
"H00213-04-01",4335.94580078125,2,1
"H00301-04-01",18496.880859375,3,1
"H00302-04-01",0,3,1
"H00303-04-01",NA,3,1
"H00304-04-01",0,3,1
"H00307-04-01",8317.0458984375,3,1
"H00312-04-01",13384.783203125,3,1
"H00313-04-01",14541.7490234375,3,1
"H00606-04-01",5638.8046875,6,1
"H00704-04-01",7432.66259765625,7,1
"H00707-04-01",2649.068359375,7,1
"H00710-04-01",4893.1787109375,7,1
"H00712-04-01",6047.96484375,7,1
"H00801-04-01",2248.71069335938,8,1
"H00802-04-01",4436.29443359375,8,1
"H00803-04-01",9480.21484375,8,1
"H00805-04-01",7756.5390625,8,1
"H00809-04-01",0,8,1
"H00810-04-02",2721.5927734375,8,1
"H00810-04-03",0,8,1
"H00811-04-01",6885.0205078125,8,1
"H01209-04-01",4844.5263671875,12,1
"H01209-04-02",3113.435546875,12,1
"H01209-04-03",2436.439453125,12,1
"H01210-04-01",386.365051269531,12,1
"H01401-04-01",0,14,1
"H01402-04-01",4160.9921875,14,1
"H01406-04-01",21713.75390625,14,1
"H01409-04-01",17567.7734375,14,1
"H01601-04-01",5152.521484375,16,1
"H01604-04-01",7728.78271484375,16,1
"H01605-04-01",2256.85473632813,16,1
"H01607-04-01",3278.87719726563,16,1
"H01612-04-01",1579.79833984375,16,1
"H01801-04-01",8882.4296875,18,1
"H01806-04-01",2609.00732421875,18,1
"H01806-04-02",0,18,2
"H01809-04-01",3806.75561523438,18,1
"H01813-04-01",3404.26831054688,18,1
"H02108-04-01",3528.55883789063,21,1
"H02110-04-01",6732.40869140625,21,1
"H02111-04-01",5613.6162109375,21,1
"H02113-04-01",7192.75830078125,21,1
"H02203-04-01",7011.400390625,22,1
"H02205-04-01",0,22,1
"H02206-04-01",4084.31396484375,22,1
"H02207-04-01",3691.49462890625,22,1
"H02304-04-01",7353.66552734375,23,2
"H02305-04-01",2398.40209960938,23,1
"H02310-04-01",7195.20654296875,23,1
"H02401-04-01",7144.07421875,24,2
"H02407-04-01",0,24,1
"H02409-04-01",27073.59765625,24,1
"H02412-04-01",7568.630859375,24,1
"H02507-04-01",7690.921875,25,1
"H02601-04-01",0,26,1
"H02601-04-02",1878.6708984375,26,1
"H02602-04-01",5374.99462890625,26,1
"H02608-04-01",964.181640625,26,1
"H02608-04-02",0,26,1
"H02609-04-01",1560.16552734375,26,1
"H02703-04-02",3040.47412109375,27,1
"H02705-04-01",1221.35522460938,27,1
"H02705-04-02",3664.06567382813,27,1
"H02706-04-01",0,27,1
"H02710-04-01",4453.953125,27,1
"H02711-04-01",10021.39453125,27,1
"H02711-04-02",10021.39453125,27,1
"H02711-04-03",0,27,1
"H02802-04-01",3054.6962890625,28,1
"H02803-04-01",2697.33374023438,28,1
"H02811-04-01",6077.53369140625,28,1
"H03001-04-01",738.003479003906,30,2
"H03003-04-01",885.604125976563,30,1
"H03005-04-01",885.604125976563,30,1
"H03006-04-01",738.003479003906,30,1
"H03010-04-01",1476.00695800781,30,1
"H03401-04-01",0,34,1
"H03408-04-01",0,34,2
"H03409-04-01",4259.14208984375,34,1
"H03409-04-02",3447.876953125,34,1
"H03410-04-01",3275.32373046875,34,1
"H03410-04-02",0,34,1
"H03503-04-01",9324.16796875,35,1
"H03511-04-01",1551.845703125,35,1
"H03512-04-01",2460.42431640625,35,1
"H03515-04-01",0,35,1
"H03601-04-01",3473.80932617188,36,2
"H03602-04-04",1551.61462402344,36,2
"H03603-04-05",1854.84423828125,36,2
"H03604-04-04",6368.64892578125,36,2
"H03604-04-08",10007.537109375,36,2
"H03604-04-09",0,36,2
"H03605-04-02",0,36,2
"H03607-04-01",11223.3486328125,36,2
"H03608-04-01",2782.26635742188,36,2
"H03704-04-01",6882.4482421875,37,2
"H03705-04-01",4669.0556640625,37,2
"H03706-04-01",3732.669921875,37,2
"H03707-04-01",3534.50073242188,37,2
"H03707-04-02",NA,37,1
"H03709-04-01",13370.9326171875,37,2
"H03711-04-02",0,37,2
"H03711-04-03",11310.40234375,37,2
"H03711-04-04",0,37,2
"H03804-04-01",NA,38,1
"H03807-04-01",NA,38,1
"H03809-04-01",NA,38,1
"H03810-04-01",NA,38,1
"H03811-04-01",NA,38,1
"H03813-04-01",NA,38,1
"H03901-04-01",NA,39,2
"H03902-04-01",NA,39,2
"H03903-04-01",NA,39,2
"H03906-04-01",NA,39,2
"H03907-04-01",NA,39,2
"H03908-04-01",NA,39,2
"H03909-04-01",12473.36328125,39,2
"H03909-04-02",NA,39,2
"H03910-04-01",NA,39,2
"H04001-04-01",NA,40,2
"H04002-04-01",NA,40,2
"H04003-04-01",NA,40,2
"H04003-04-03",0,40,1
"H04004-04-01",NA,40,1
"H04005-04-01",NA,40,2
"H04006-04-01",NA,40,2
"H04007-04-01",NA,40,2
"H04009-04-01",NA,40,2
"H04010-04-01",NA,40,2
"H04010-04-02",NA,40,2
"H04011-04-01",NA,40,1
"H04011-04-02",13652.5166015625,40,1
"H04201-04-01",0,42,2
"H04202-04-01",2505.0283203125,42,1
"H04203-04-01",0,42,2
"H04204-04-01",10674.1572265625,42,2
"H04205-04-01",1897.62817382813,42,2
"H04206-04-01",23533.884765625,42,2
"H04207-04-01",2862.88940429688,42,2
"H04208-04-01",NA,42,1
"H04208-04-02",0,42,2
"H04209-04-01",0,42,2
