"id_hh","id_ind","ind_sex","ind_position","ind_age","ind_marital_status","ind_years_in_location","n_ind_household","ind_permanent","n_child_15","n_child_5"
"H00101-04-01","P00101-001",2,1,48,3,17,3,1,0,0
"H00101-04-01","P00101-008",1,3,18,5,1,3,1,0,0
"H00101-04-01","P00101-009",1,3,20,5,1,3,1,0,0
"H00102-04-01","P00102-001",2,1,46,3,24,4,1,3,1
"H00102-04-01","P00102-002",1,3,10,5,6,4,1,3,1
"H00102-04-01","P00102-003",2,8,9,NA,2,4,1,3,1
"H00102-04-01","P00102-004",2,3,2,NA,100,4,1,3,1
"H00104-04-01","P00104-001",1,1,39,1,18,5,1,3,2
"H00104-04-01","P00104-002",2,2,37,1,15,5,2,3,2
"H00104-04-01","P00104-003",2,3,11,5,100,5,1,3,2
"H00104-04-01","P00104-006",2,3,3,NA,100,5,1,3,2
"H00104-04-01","P00104-007",2,3,0,NA,100,5,1,3,2
"H00110-04-01","P00110-001",1,1,41,4,18,2,1,0,0
"H00110-04-01","P00110-004",1,10,25,5,1,2,1,0,0
"H00208-04-01","P00208-001",1,1,75,1,60,5,1,0,0
"H00208-04-01","P00208-002",2,2,64,1,37,5,1,0,0
"H00208-04-01","P00208-004",1,3,28,5,100,5,1,0,0
"H00208-04-01","P00208-005",1,3,25,5,100,5,1,0,0
"H00208-04-01","P00208-006",2,3,21,5,100,5,1,0,0
"H00209-04-01","P00209-001",2,1,43,3,20,5,1,1,0
"H00209-04-01","P00209-003",2,3,20,5,100,5,1,1,0
"H00209-04-01","P00209-004",1,3,16,5,100,5,1,1,0
"H00209-04-01","P00209-005",1,8,23,5,7,5,1,1,0
"H00209-04-01","P00209-006",2,4,5,NA,100,5,1,1,0
"H00211-04-01","P00211-001",1,1,50,3,100,7,1,0,0
"H00211-04-01","P00211-003",1,3,19,5,100,7,2,0,0
"H00211-04-01","P00211-004",1,3,17,5,100,7,2,0,0
"H00211-04-01","P00211-007",2,8,24,5,100,7,1,0,0
"H00211-04-01","P00211-008",1,8,23,5,100,7,1,0,0
"H00211-04-01","P00211-009",1,8,20,5,100,7,1,0,0
"H00211-04-01","P00211-010",1,8,21,5,100,7,1,0,0
"H00213-04-01","P00213-001",1,1,51,4,35,7,1,2,0
"H00213-04-01","P00213-003",1,3,24,5,100,7,2,2,0
"H00213-04-01","P00213-004",1,3,18,5,100,7,2,2,0
"H00213-04-01","P00213-005",2,3,16,5,100,7,2,2,0
"H00213-04-01","P00213-006",1,3,14,5,100,7,2,2,0
"H00213-04-01","P00213-007",1,3,9,NA,100,7,2,2,0
"H00213-04-01","P00213-011",2,10,27,5,0,7,2,2,0
"H00301-04-01","P00301-001",1,1,45,1,20,6,1,3,2
"H00301-04-01","P00301-002",2,2,43,2,20,6,1,3,2
